global_step,value
38.0,1.6094179
52.0,1.6093744
98.0,1.609374
112.0,1.6093998
158.0,1.6068381
172.0,1.6093354
220.0,1.6093659
234.0,1.6093855
280.0,1.609418
294.0,1.609199
342.0,1.6089977
356.0,1.6089914
402.0,1.6085097
416.0,1.6089313
464.0,1.60207
478.0,1.608706
526.0,1.6094272
540.0,1.6045184
586.0,1.6028653
600.0,1.6091994
648.0,1.6023971
662.0,1.6085489
708.0,1.6085604
722.0,1.5973444
770.0,1.5990218
784.0,1.600646
832.0,1.6054416
846.0,1.6074232
894.0,1.6079047
908.0,1.5849243
954.0,1.6046208
968.0,1.6006687
1016.0,1.606108
1030.0,1.5800794
1078.0,1.6076139
1092.0,1.6085368
1140.0,1.5927206
1154.0,1.5578263
1202.0,1.5762234
1216.0,1.6052138
1264.0,1.602713
1278.0,1.5356268
1326.0,1.6046517
1340.0,1.6018003
1388.0,1.5852816
1402.0,1.6079776
1450.0,1.6064372
1464.0,1.5414131
1512.0,1.5390465
1526.0,1.5200789
1574.0,1.6001511
1588.0,1.6014299
1636.0,1.5886678
1650.0,1.5114856
1698.0,1.510044
1712.0,1.4989313
1762.0,1.5834368
1776.0,1.5589935
1824.0,1.5769752
1838.0,1.475631
1886.0,1.5811232
1900.0,1.554214
1950.0,1.5030292
1964.0,1.5372878
2012.0,1.5577025
2026.0,1.4715198
2074.0,1.47886
2088.0,1.5116533
2138.0,1.5804414
2152.0,1.5726604
2202.0,1.5165886
2216.0,1.5186818
2264.0,1.4919411
2278.0,1.4226114
2328.0,1.4854312
2342.0,1.5160396
2392.0,1.4574398
2406.0,1.4978627
2456.0,1.4354492
2470.0,1.5548104
2518.0,1.4506817
2532.0,1.5767301
2582.0,1.5790832
2596.0,1.4369594
2646.0,1.5021079
2660.0,1.4037212
2710.0,1.5155069
2724.0,1.469038
2774.0,1.451422
2788.0,1.4556236
2838.0,1.4203675
2852.0,1.4672738
2902.0,1.4659371
2916.0,1.5095721
2966.0,1.5705132
2980.0,1.4707747
3030.0,1.3476869
3044.0,1.4594988
3094.0,1.4834104
3108.0,1.4680471
3158.0,1.3337462
3172.0,1.4350541
3222.0,1.4506212
3236.0,1.3448881
3286.0,1.3168175
3300.0,1.4785028
3350.0,1.3568968
3364.0,1.4482728
3414.0,1.2589602
3428.0,1.5264851
3480.0,1.312401
3494.0,1.4456327
3544.0,1.3927414
3558.0,1.3374714
3608.0,1.3762283
3622.0,1.3526525
3672.0,1.445206
3686.0,1.3785707
3736.0,1.3926119
3750.0,1.3628987
3800.0,1.3797443
3814.0,1.380356
3866.0,1.3442633
3880.0,1.3620324
3930.0,1.3667113
3944.0,1.404098
3994.0,1.3928524
4008.0,1.4516615
4060.0,1.3674606
4074.0,1.3590709
4124.0,1.3890423
4138.0,1.3556052
4188.0,1.352826
4202.0,1.3084139
4254.0,1.3201852
4268.0,1.3916843
4318.0,1.4260353
4332.0,1.3258408
4382.0,1.2972175
4396.0,1.324799
4448.0,1.4399285
4462.0,1.3355091
4512.0,1.3269036
4526.0,1.3307102
4576.0,1.2566372
4590.0,1.3414924
4642.0,1.2760043
4656.0,1.3626102
4706.0,1.4313508
4720.0,1.3793194
4772.0,1.3562374
4786.0,1.4392711
4836.0,1.2192882
4850.0,1.4754088
4902.0,1.3701959
4916.0,1.2310983
4966.0,1.2790202
4980.0,1.3072101
5032.0,1.3043385
5046.0,1.3837261
5096.0,1.3751259
5110.0,1.3448169
5160.0,1.2308116
5174.0,1.3270131
5226.0,1.3757961
5240.0,1.4467187
5290.0,1.3789899
5304.0,1.4310772
5356.0,1.3386462
5370.0,1.2894627
5420.0,1.2541753
5434.0,1.3750625
5486.0,1.3423997
5500.0,1.3416609
5550.0,1.3117392
5564.0,1.3039539
5616.0,1.3862619
5630.0,1.3548783
5680.0,1.3575336
5694.0,1.3214948
5746.0,1.2653209
5760.0,1.2809477
5812.0,1.3968781
5826.0,1.3383152
5876.0,1.2855588
5890.0,1.3054641
5942.0,1.3527434
5956.0,1.273953
6006.0,1.4036111
6020.0,1.3191797
6072.0,1.3085912
6086.0,1.381769
6138.0,1.2294607
6152.0,1.397638
6202.0,1.2739884
6216.0,1.4240775
6268.0,1.2811041
6282.0,1.4174894
6332.0,1.3347824
6346.0,1.2937493
6398.0,1.3920375
6412.0,1.3406607
6464.0,1.3002919
6478.0,1.3271971
6528.0,1.4358006
6542.0,1.4223967
6594.0,1.4281585
6608.0,1.3881887
6660.0,1.3786905
6674.0,1.3016443
6724.0,1.175791
6738.0,1.3431652
6790.0,1.3416474
6804.0,1.3411723
6856.0,1.3565458
6870.0,1.3319441
6922.0,1.3881674
6936.0,1.2867283
6986.0,1.3801314
7000.0,1.2251681
7052.0,1.4074794
7066.0,1.2606014
7118.0,1.3559644
7132.0,1.3181107
7184.0,1.2585835
7198.0,1.3995651
7248.0,1.3307462
7262.0,1.3083711
7314.0,1.3664953
7328.0,1.3896742
7380.0,1.3032919
7394.0,1.369588
7444.0,1.2744088
7458.0,1.3150535
7510.0,1.2969172
7524.0,1.3629116
7576.0,1.3409635
7590.0,1.3089802
7642.0,1.276854
7656.0,1.3409026
7706.0,1.4330049
7720.0,1.3067493
7772.0,1.3398427
7786.0,1.3141242
7838.0,1.2367814
7852.0,1.2912848
7904.0,1.2977469
7918.0,1.2947147
7968.0,1.2974484
7982.0,1.3390331
8034.0,1.3648411
8048.0,1.2830577
8100.0,1.2837108
8114.0,1.224836
8164.0,1.30133
8178.0,1.2727535
8230.0,1.2955192
8244.0,1.4001783
8296.0,1.3053414
8310.0,1.3461636
8362.0,1.3367987
8376.0,1.285652
8426.0,1.3233334
8440.0,1.2476646
8492.0,1.3532629
8506.0,1.4162608
8558.0,1.3613335
8572.0,1.3347056
8624.0,1.3445481
8638.0,1.2897652
8688.0,1.3214575
8702.0,1.1997131
8754.0,1.2327286
8768.0,1.3589138
8820.0,1.3200467
8834.0,1.3979768
8886.0,1.3703365
8900.0,1.2828127
8952.0,1.2883891
8966.0,1.2256199
9018.0,1.3192259
9032.0,1.301865
9084.0,1.3824186
9098.0,1.334651
9150.0,1.3125813
9164.0,1.3248116
9216.0,1.2018601
9230.0,1.2997185
9282.0,1.363405
9296.0,1.191976
9348.0,1.376058
9362.0,1.2569458
9412.0,1.3369908
9426.0,1.2951956
9478.0,1.2565284
9492.0,1.384844
9544.0,1.3405175
9558.0,1.348743
9610.0,1.401074
9624.0,1.2768961
9676.0,1.3548923
9690.0,1.3004144
9742.0,1.3425537
9756.0,1.3420182
9808.0,1.3428239
9822.0,1.325674
9874.0,1.3467855
9888.0,1.320523
9940.0,1.3159711
9954.0,1.313014
10006.0,1.3127625
10020.0,1.333524
10072.0,1.4122672
10086.0,1.3095815
10140.0,1.3008265
10154.0,1.2836992
10206.0,1.3087312
10220.0,1.2915765
10272.0,1.2871376
10286.0,1.244327
10338.0,1.281669
10352.0,1.2695167
10404.0,1.2639992
10418.0,1.2959872
10470.0,1.2930435
10484.0,1.3145547
10536.0,1.3483579
10550.0,1.2564675
10602.0,1.3589026
10616.0,1.3408453
10668.0,1.2757052
10682.0,1.3533138
10734.0,1.222471
10748.0,1.3167125
10800.0,1.2785993
10814.0,1.2720767
10866.0,1.3432989
10880.0,1.3343959
10932.0,1.3532212
10946.0,1.3499868
11000.0,1.3869826
11014.0,1.22007
11066.0,1.2873948
11080.0,1.3630064
11132.0,1.250904
11146.0,1.355628
11198.0,1.2735543
11212.0,1.3731817
11264.0,1.2853777
11278.0,1.3028443
11330.0,1.2559283
11344.0,1.2933073
11398.0,1.3411427
11412.0,1.2805895
11464.0,1.3664638
11478.0,1.2671916
11530.0,1.3436753
11544.0,1.2480758
11598.0,1.3424808
11612.0,1.3767525
11664.0,1.3046672
11678.0,1.3751278
11730.0,1.2861198
11744.0,1.2649465
11796.0,1.2155471
11810.0,1.2958428
11864.0,1.3217373
11878.0,1.273931
11930.0,1.2101276
11944.0,1.2409027
11996.0,1.216188
12010.0,1.2381588
12062.0,1.2799411
12076.0,1.3172102
12130.0,1.373755
12144.0,1.2773083
12196.0,1.3295597
12210.0,1.2975239
12262.0,1.2697753
12276.0,1.3502629
12328.0,1.366692
12342.0,1.3773891
12396.0,1.2778981
12410.0,1.3404589
12462.0,1.3615078
12476.0,1.2612219
12530.0,1.2897449
12544.0,1.3462474
12596.0,1.3574663
12610.0,1.3318403
12664.0,1.3076401
12678.0,1.2271467
12730.0,1.3260816
12744.0,1.225986
12796.0,1.3233474
12810.0,1.3689362
12864.0,1.3286556
12878.0,1.2686096
12930.0,1.3687452
12944.0,1.2890588
12996.0,1.2763034
13010.0,1.2759049
13064.0,1.3567779
13078.0,1.2777904
13130.0,1.3168068
13144.0,1.2751838
13196.0,1.3488185
13210.0,1.2941236
13264.0,1.2226778
13278.0,1.3133764
13330.0,1.3314708
13344.0,1.2836993
13398.0,1.2504584
13412.0,1.3276659
13464.0,1.3149542
13478.0,1.3219953
13532.0,1.2832386
13546.0,1.2378831
13600.0,1.3386856
13614.0,1.2842349
13666.0,1.3215342
13680.0,1.2747862
13734.0,1.2939564
13748.0,1.3018486
13800.0,1.311557
13814.0,1.3191682
13868.0,1.3389835
13882.0,1.2599276
13936.0,1.3547623
13950.0,1.1960535
14002.0,1.2908928
14016.0,1.2601793
14070.0,1.2781769
14084.0,1.2786498
14138.0,1.2355546
14152.0,1.3688551
14204.0,1.2648008
14218.0,1.3340327
14272.0,1.2767065
14286.0,1.2449594
14340.0,1.3240864
14354.0,1.2732389
14408.0,1.3068022
14422.0,1.3011674
14476.0,1.2954229
14490.0,1.1984645
14542.0,1.3239388
14556.0,1.2862065
14610.0,1.1207557
14624.0,1.274187
14678.0,1.3096478
14692.0,1.3901333
14744.0,1.2737577
14758.0,1.3055263
14812.0,1.2618968
14826.0,1.2386861
14880.0,1.2662194
14894.0,1.2881602
14948.0,1.3132538
14962.0,1.3615873
15016.0,1.2195178
15030.0,1.2075009
15084.0,1.2694921
15098.0,1.3383299
15152.0,1.2167051
15166.0,1.2426565
15220.0,1.366638
15234.0,1.1843827
15288.0,1.223216
15302.0,1.2846683
15358.0,1.3540345
15372.0,1.3408276
15426.0,1.3566744
15440.0,1.2308757
15494.0,1.2511564
15508.0,1.2961726
15562.0,1.3097364
15576.0,1.3415635
15630.0,1.327161
15644.0,1.2740296
15698.0,1.2342733
15712.0,1.3742746
15766.0,1.3522549
15780.0,1.2350414
15836.0,1.3472134
15850.0,1.2616199
15904.0,1.2566007
15918.0,1.3496858
15972.0,1.3022456
15986.0,1.2798733
16040.0,1.3131506
16054.0,1.231767
16108.0,1.3122058
16122.0,1.3490119
16178.0,1.4156228
16192.0,1.2154251
16246.0,1.3257569
16260.0,1.2894957
16314.0,1.302623
16328.0,1.3052418
16384.0,1.3000538
16398.0,1.2743844
16454.0,1.3099203
16468.0,1.3454654
16522.0,1.2735093
16536.0,1.2293028
16592.0,1.2460591
16606.0,1.1389503
16660.0,1.195489
16674.0,1.2708074
16730.0,1.2813966
16744.0,1.2975752
16798.0,1.0831171
16812.0,1.2547066
16866.0,1.3178008
16880.0,1.2931422
16936.0,1.2516465
16950.0,1.2017131
17004.0,1.1514354
17018.0,1.20428
17074.0,1.3159099
17088.0,1.2139672
17142.0,1.2710394
17156.0,1.3457457
17212.0,1.2872541
17226.0,1.2670478
17280.0,1.1977876
17294.0,1.2417799
17350.0,1.1759257
17364.0,1.3625083
17420.0,1.2563804
17434.0,1.2901483
17488.0,1.3944082
17502.0,1.2225894
17558.0,1.3085676
17572.0,1.2734386
17628.0,1.3627734
17642.0,1.2426844
17696.0,1.2844936
17710.0,1.2532499
17766.0,1.2765788
17780.0,1.2085174
17836.0,1.2019547
17850.0,1.2238885
17906.0,1.3240396
17920.0,1.2946066
17974.0,1.2506573
17988.0,1.3209379
18044.0,1.2412535
18058.0,1.2332358
18114.0,1.0344882
18128.0,1.2512366
18184.0,1.3877274
18198.0,1.2147034
18254.0,1.1758419
18268.0,1.2068759
18324.0,1.2718151
18338.0,1.1810728
18392.0,1.3654412
18406.0,1.257567
18462.0,1.273537
18476.0,1.1989387
18532.0,1.2508073
18546.0,1.3730538
18602.0,1.1717488
18616.0,1.3342612
18672.0,1.3288109
18686.0,1.1949928
18744.0,1.2552104
18758.0,1.2559
18814.0,1.3106381
18828.0,1.268251
18884.0,1.3438755
18898.0,1.2018956
18954.0,1.2051911
18968.0,1.3119475
19024.0,1.2087805
19038.0,0.9477239
19094.0,1.1152153
19108.0,1.2942897
19164.0,1.1350065
19178.0,1.2055509
19234.0,1.1070546
19248.0,1.2881464
19306.0,1.206794
19320.0,1.0792488
19376.0,1.1885377
19390.0,1.2574573
19446.0,1.2427915
19460.0,1.2059597
19516.0,1.2496054
19530.0,1.149348
19586.0,1.108502
19600.0,1.2796072
19658.0,1.1224948
19672.0,1.1200926
19728.0,1.2280496
19742.0,1.1942195
19800.0,1.1395003
19814.0,1.2538631
19870.0,1.2115531
19884.0,1.1772394
19940.0,1.3235704
19954.0,1.1570768
20012.0,1.176573
20026.0,1.0855544
20082.0,1.1621169
20096.0,1.3056538
20152.0,1.1912924
20166.0,1.202051
20222.0,1.0942963
20236.0,1.2981551
20294.0,1.0789407
20308.0,1.1329184
20364.0,1.1436213
20378.0,1.0642561
20436.0,1.2975018
20450.0,1.1159053
20508.0,1.1247516
20522.0,1.1047622
20578.0,1.1363499
20592.0,1.3340296
20650.0,1.3213223
20664.0,1.2153097
20720.0,1.2383876
20734.0,1.1226423
20790.0,1.2083616
20804.0,1.2341206
20860.0,1.1903092
20874.0,1.2188554
20932.0,1.2457945
20946.0,1.039887
21002.0,1.1829138
21016.0,1.19904
21074.0,1.2498305
21088.0,1.1793692
21144.0,1.1445041
21158.0,1.2560252
21216.0,1.2147921
21230.0,1.247193
21288.0,1.1782563
21302.0,1.2059456
21360.0,1.1733222
21374.0,1.0356452
21432.0,1.3365906
21446.0,1.1941503
21502.0,1.1261777
21516.0,1.0575436
21574.0,1.1175575
21588.0,1.1946446
21644.0,1.2034936
21658.0,1.3224959
21716.0,1.2356806
21730.0,1.149612
21788.0,1.3127091
21802.0,1.1538471
21858.0,1.2908298
21872.0,1.3171825
21930.0,1.1747179
21944.0,1.0793537
22002.0,1.0837611
22016.0,1.074036
22074.0,1.1741476
22088.0,1.3180605
22146.0,1.1981894
22160.0,1.3164064
22218.0,1.22677
22232.0,1.1585532
22290.0,1.0044246
22304.0,1.1001987
22362.0,1.2650083
22376.0,1.3461114
22432.0,1.1807457
22446.0,1.2975523
22504.0,1.1462963
22518.0,1.0776645
22576.0,1.2029264
22590.0,1.0529804
22648.0,1.2791296
22662.0,1.0050788
22720.0,1.1294277
22734.0,1.1120774
22792.0,1.3370744
22806.0,1.0911187
22864.0,1.1681544
22878.0,1.1303295
22936.0,1.1195236
22950.0,1.2469532
23008.0,1.0942086
23022.0,1.1220176
23080.0,1.0171218
23094.0,1.1057986
23152.0,1.0228906
23166.0,1.2237961
23224.0,1.1391124
23238.0,1.0797547
23296.0,1.1847899
23310.0,1.0409479
23370.0,1.13912
23384.0,1.137538
23442.0,1.0981926
23456.0,1.1422639
23514.0,1.2059466
23528.0,1.2359648
23586.0,1.141624
23600.0,1.09546
23660.0,1.1207073
23674.0,1.1253579
23732.0,1.243911
23746.0,1.0949763
23804.0,1.1163821
23818.0,0.9527793
23876.0,1.2751554
23890.0,1.2423254
23948.0,1.1126267
23962.0,1.1531624
24020.0,0.87464136
24034.0,1.139613
24094.0,1.1076554
24108.0,0.98078495
24166.0,1.174067
24180.0,1.1259636
24240.0,1.1092379
24254.0,1.1702813
24312.0,1.124261
24326.0,1.1478646
24384.0,0.9957128
24398.0,1.2437013
24456.0,1.0467918
24470.0,1.1171306
24530.0,1.1385206
24544.0,1.1573645
24602.0,0.9536783
24616.0,1.2343745
24674.0,0.9687007
24688.0,1.1206741
24748.0,1.0541964
24762.0,1.1274794
24822.0,1.1344333
24836.0,1.0879906
24894.0,1.3167764
24908.0,1.2713428
24966.0,1.1320504
24980.0,1.1694777
25040.0,1.1737646
25054.0,1.0101752
25112.0,1.1613901
25126.0,1.1911685
25184.0,1.1994925
25198.0,1.0553979
25256.0,1.2457861
25270.0,1.1014513
25330.0,1.2225271
25344.0,1.1830819
25402.0,1.2390378
25416.0,1.1260926
25474.0,1.2302283
25488.0,1.0920225
25548.0,1.1797655
25562.0,1.1276225
25622.0,1.1626782
25636.0,1.280853
25694.0,1.2740853
25708.0,1.1404501
25768.0,1.227429
25782.0,1.1813534
25840.0,1.145167
25854.0,1.1003273
25912.0,1.0341856
25926.0,1.2130053
25986.0,0.9152222
26000.0,1.2213342
26060.0,1.2577817
26074.0,1.1413432
26134.0,1.022309
26148.0,1.250249
26206.0,1.1640414
26220.0,1.1064848
26280.0,0.94090325
26294.0,1.0516069
26352.0,1.2050254
26366.0,1.0268064
26426.0,1.0681814
26440.0,1.1584306
