global_step,value
39.0,1.3862752
53.0,1.3862848
99.0,1.3860885
113.0,1.3862845
159.0,1.3848997
173.0,1.3862501
221.0,1.3862426
235.0,1.3862892
281.0,1.3862668
295.0,1.38623
343.0,1.3858815
357.0,1.3861679
403.0,1.3862199
417.0,1.3861407
465.0,1.3843848
479.0,1.3859079
527.0,1.386079
541.0,1.3860731
587.0,1.3833901
601.0,1.3862755
649.0,1.3848559
663.0,1.386182
709.0,1.3857788
723.0,1.3847005
771.0,1.385859
785.0,1.3851203
833.0,1.3862079
847.0,1.3856958
895.0,1.3862317
909.0,1.3860773
955.0,1.3855052
969.0,1.3853009
1017.0,1.3854306
1031.0,1.3848703
1079.0,1.3856305
1093.0,1.3860152
1141.0,1.3853801
1155.0,1.3711374
1203.0,1.3844764
1217.0,1.3862351
1265.0,1.3842671
1279.0,1.3815076
1327.0,1.3858823
1341.0,1.3848785
1389.0,1.3846085
1403.0,1.3860658
1451.0,1.3862681
1465.0,1.3804015
1513.0,1.3851115
1527.0,1.3831251
1575.0,1.3852906
1589.0,1.3857701
1637.0,1.3775136
1651.0,1.3826176
1699.0,1.3852047
1713.0,1.3752217
1763.0,1.3803144
1777.0,1.3837255
1825.0,1.3859028
1839.0,1.3563513
1887.0,1.3836068
1901.0,1.3852088
1951.0,1.3708999
1965.0,1.3817679
2013.0,1.3846809
2027.0,1.383034
2075.0,1.3679024
2089.0,1.3757849
2139.0,1.3861487
2153.0,1.3840262
2203.0,1.3820132
2217.0,1.3705306
2265.0,1.3628443
2279.0,1.3655664
2329.0,1.3660884
2343.0,1.3847122
2393.0,1.3826104
2407.0,1.3817143
2457.0,1.3738377
2471.0,1.3750823
2519.0,1.3776973
2533.0,1.3853633
2583.0,1.3857422
2597.0,1.3422301
2647.0,1.3855321
2661.0,1.3547382
2711.0,1.3854715
2725.0,1.3429487
2775.0,1.3840381
2789.0,1.3563552
2839.0,1.3488549
2853.0,1.3323662
2903.0,1.3589005
2917.0,1.3591359
2967.0,1.3830869
2981.0,1.3630594
3031.0,1.376127
3045.0,1.3758988
3095.0,1.378616
3109.0,1.3497502
3159.0,1.3798858
3173.0,1.378056
3223.0,1.3569012
3237.0,1.3127006
3287.0,1.3160789
3301.0,1.3659792
3351.0,1.3629941
3365.0,1.3825715
3415.0,1.2354962
3429.0,1.3791684
3481.0,1.3518363
3495.0,1.3592995
3545.0,1.3787535
3559.0,1.353616
3609.0,1.3657222
3623.0,1.329914
3673.0,1.3757254
3687.0,1.3776284
3737.0,1.378783
3751.0,1.3632455
3801.0,1.3688346
3815.0,1.3759425
3867.0,1.364898
3881.0,1.3515892
3931.0,1.3527292
3945.0,1.3543974
3995.0,1.3441981
4009.0,1.331696
4061.0,1.3338294
4075.0,1.3823566
4125.0,1.384129
4139.0,1.2957729
4189.0,1.3744042
4203.0,1.352263
4255.0,1.3550537
4269.0,1.3801988
4319.0,1.3578256
4333.0,1.3847268
4383.0,1.3373924
4397.0,1.3802171
4449.0,1.381318
4463.0,1.3813757
4513.0,1.3115745
4527.0,1.3352357
4577.0,1.2938981
4591.0,1.3708243
4643.0,1.3777243
4657.0,1.3511487
4707.0,1.3605372
4721.0,1.364145
4773.0,1.3840184
4787.0,1.3584934
4837.0,1.3620442
4851.0,1.3452718
4903.0,1.3659468
4917.0,1.246185
4967.0,1.3652983
4981.0,1.379809
5033.0,1.3151618
5047.0,1.3349937
5097.0,1.3494891
5111.0,1.3399317
5161.0,1.3662959
5175.0,1.2923585
5227.0,1.3487996
5241.0,1.3497636
5291.0,1.3749238
5305.0,1.3325675
5357.0,1.3662398
5371.0,1.3118429
5421.0,1.3689367
5435.0,1.3259952
5487.0,1.3678815
5501.0,1.383814
5551.0,1.3474033
5565.0,1.2866453
5617.0,1.3572738
5631.0,1.3091902
5681.0,1.3689533
5695.0,1.3252894
5747.0,1.361791
5761.0,1.3447776
5813.0,1.3232883
5827.0,1.1590586
5877.0,1.3802695
5891.0,1.3726641
5943.0,1.3553401
5957.0,1.3539175
6007.0,1.382686
6021.0,1.3149137
6073.0,1.3126999
6087.0,1.3597409
6139.0,1.3662889
6153.0,1.3715606
6203.0,1.3511966
6217.0,1.3091279
6269.0,1.3720177
6283.0,1.1732631
6333.0,1.3792136
6347.0,1.3129854
6399.0,1.3377779
6413.0,1.3618777
6465.0,1.3610008
6479.0,1.3408577
6529.0,1.3500404
6543.0,1.3625567
6595.0,1.3836267
6609.0,1.3798128
6661.0,1.3326119
6675.0,1.3783374
6725.0,1.180765
6739.0,1.3245236
6791.0,1.2953568
6805.0,1.3386645
6857.0,1.3534881
6871.0,1.377944
6923.0,1.3551717
6937.0,1.3265624
6987.0,1.3743911
7001.0,1.19034
7053.0,1.3616846
7067.0,1.3178806
7119.0,1.3442901
7133.0,1.3411629
7185.0,1.3673056
7199.0,1.3694248
7249.0,1.3795877
7263.0,1.3848134
7315.0,1.3598254
7329.0,1.3752161
7381.0,1.3825045
7395.0,1.3624407
7445.0,1.2949861
7459.0,1.367343
7511.0,1.3462692
7525.0,1.3202888
7577.0,1.361745
7591.0,1.2428727
7643.0,1.3629214
7657.0,1.3596733
7707.0,1.3588448
7721.0,1.3837113
7773.0,1.1455933
7787.0,1.3162024
7839.0,1.2824426
7853.0,1.223182
7905.0,1.3481513
7919.0,1.3390146
7969.0,1.3705598
7983.0,1.3747206
8035.0,1.3560526
8049.0,1.3505822
8101.0,1.3828232
8115.0,1.1417719
8165.0,1.2369751
8179.0,1.2740537
8231.0,1.3612127
8245.0,1.3582219
8297.0,1.3781672
8311.0,1.36146
8363.0,1.2812086
8377.0,1.2861389
8427.0,1.3066478
8441.0,1.2614784
8493.0,1.2719014
8507.0,1.3694167
8559.0,1.3609952
8573.0,1.2574404
8625.0,1.3630425
8639.0,1.3579683
8689.0,1.2792661
8703.0,1.0830786
8755.0,1.1287669
8769.0,1.3525523
8821.0,1.2777529
8835.0,1.3688816
8887.0,1.2805731
8901.0,1.3597496
8953.0,1.3503155
8967.0,1.2234339
9019.0,1.3671055
9033.0,1.3759763
9085.0,1.3663046
9099.0,1.3500644
9151.0,1.3499478
9165.0,1.3346368
9217.0,1.2528857
9231.0,1.3493851
9283.0,1.3496298
9297.0,1.3788621
9349.0,1.3734775
9363.0,1.3593283
9413.0,1.3571411
9427.0,1.2481687
9479.0,1.3201017
9493.0,1.3248379
9545.0,1.2496307
9559.0,1.3316852
9611.0,1.2940673
9625.0,1.1575357
9677.0,1.3565512
9691.0,1.155956
9743.0,1.3522538
9757.0,1.2955111
9809.0,1.3693638
9823.0,1.3483727
9875.0,1.3075345
9889.0,1.3215559
9941.0,1.3266904
9955.0,1.3004079
10007.0,1.3741137
10021.0,1.364965
10073.0,1.304655
10087.0,1.3652012
10141.0,1.3415003
10155.0,1.3472487
10207.0,1.3629677
10221.0,1.3113973
10273.0,1.3662382
10287.0,1.3275312
10339.0,1.3174309
10353.0,1.3285747
10405.0,1.3592749
10419.0,1.3622981
10471.0,1.3261684
10485.0,1.31184
10537.0,1.3250564
10551.0,1.1832886
10603.0,1.358905
10617.0,1.3646922
10669.0,1.3205793
10683.0,1.3643627
10735.0,1.1321902
10749.0,1.346426
10801.0,1.3403304
10815.0,1.173831
10867.0,1.3664654
10881.0,1.3602858
10933.0,1.3059175
10947.0,1.3033674
11001.0,1.2972788
11015.0,1.3603076
11067.0,1.3494802
11081.0,1.3185552
11133.0,1.3464273
11147.0,1.343839
11199.0,1.2470834
11213.0,1.344558
11265.0,1.3039678
11279.0,1.3611994
11331.0,1.3062557
11345.0,1.3816075
11399.0,1.2839448
11413.0,1.1388267
11465.0,1.3153119
11479.0,1.3006431
11531.0,1.3764586
11545.0,1.2322671
11599.0,1.371377
11613.0,1.3799635
11665.0,1.3711191
11679.0,1.3707209
11731.0,1.3494129
11745.0,1.2344154
11797.0,1.193341
11811.0,1.3379297
11865.0,1.3582925
11879.0,1.2688042
11931.0,1.3524637
11945.0,1.3223994
11997.0,1.2846442
12011.0,1.3353308
12063.0,1.313446
12077.0,1.3324991
12131.0,1.3427964
12145.0,1.3216736
12197.0,1.3632936
12211.0,1.3621875
12263.0,1.3701779
12277.0,1.3677366
12329.0,1.3685836
12343.0,1.2711862
12397.0,1.3624963
12411.0,1.3251219
12463.0,1.3618284
12477.0,1.339519
12531.0,1.3475368
12545.0,1.322735
12597.0,1.3776987
12611.0,1.3477349
12665.0,1.3735524
12679.0,1.0563318
12731.0,1.360091
12745.0,1.2743515
12797.0,1.3772043
12811.0,1.3454629
12865.0,1.3236583
12879.0,1.3292199
12931.0,1.3266773
12945.0,1.3351587
12997.0,1.3237996
13011.0,1.2591184
13065.0,1.3425702
13079.0,1.2804908
13131.0,1.3630028
13145.0,1.2044566
13197.0,1.3602861
13211.0,1.2751579
13265.0,1.3389928
13279.0,1.3736851
13331.0,1.2832755
13345.0,1.3676664
13399.0,1.3495973
13413.0,1.2734611
13465.0,1.3635737
13479.0,1.3301091
13533.0,1.2563561
13547.0,1.2927303
13601.0,1.3438393
13615.0,1.3772722
13667.0,1.3342307
13681.0,1.2994643
13735.0,1.2982701
13749.0,1.3247081
13801.0,1.263562
13815.0,1.3449528
13869.0,1.2221508
13883.0,1.3514253
13937.0,1.285793
13951.0,1.2539134
14003.0,1.3107265
14017.0,1.2641429
14071.0,1.361292
14085.0,1.2385709
14139.0,1.282287
14153.0,1.3592558
14205.0,1.2963176
14219.0,1.3058847
14273.0,1.3139523
14287.0,1.3311903
14341.0,1.2988825
14355.0,1.2965186
14409.0,1.3599147
14423.0,1.281009
14477.0,1.3391364
14491.0,1.1703024
14543.0,1.3583355
14557.0,1.2255449
14611.0,1.2894363
14625.0,1.2310086
14679.0,1.3316319
14693.0,1.3499446
14745.0,1.3437694
14759.0,1.3346647
14813.0,1.229402
14827.0,1.3607286
14881.0,1.2875797
14895.0,1.3347652
14949.0,1.3499103
14963.0,1.2910712
15017.0,1.3440876
15031.0,1.2458522
15085.0,1.3376645
15099.0,1.3528855
15153.0,1.3379651
15167.0,1.1601126
15221.0,1.219367
15235.0,1.3368831
15289.0,1.3492789
15303.0,1.109521
15359.0,1.2473277
15373.0,1.3446008
15427.0,1.3687584
15441.0,1.2030537
15495.0,1.3691818
15509.0,1.3547028
15563.0,1.3577554
15577.0,1.3252286
15631.0,1.2458874
15645.0,1.3201835
15699.0,1.1599411
15713.0,1.3793597
15767.0,1.3758166
15781.0,1.0776793
15837.0,1.3248354
15851.0,1.2866603
15905.0,1.3781409
15919.0,1.2322813
15973.0,1.371447
15987.0,1.3433489
16041.0,1.3077048
16055.0,1.3025243
16109.0,1.2868791
16123.0,1.3407068
16179.0,1.3771448
16193.0,1.3509444
16247.0,1.3001275
16261.0,1.3531154
16315.0,1.2716268
16329.0,1.348173
16385.0,1.3616359
16399.0,1.1989375
16455.0,1.3218021
16469.0,1.3230528
16523.0,1.0944034
16537.0,1.3434714
16593.0,1.3483111
16607.0,1.3250316
16661.0,1.3685505
16675.0,1.3315194
16731.0,1.270265
16745.0,1.3590103
16799.0,1.3405043
16813.0,1.1464275
16867.0,1.3406221
16881.0,1.1037648
16937.0,1.233947
16951.0,1.3302208
17005.0,1.3399585
17019.0,1.2100947
17075.0,1.3176978
17089.0,1.3211381
17143.0,1.2026064
17157.0,1.3046737
17213.0,1.2677758
17227.0,1.1227062
17281.0,1.341721
17295.0,1.1910117
17351.0,1.3168448
17365.0,1.3315156
17421.0,1.3590333
17435.0,1.336011
17489.0,1.3448218
17503.0,1.3669385
17559.0,1.1421307
17573.0,1.3097811
17629.0,1.1567597
17643.0,1.1777376
17697.0,1.2412663
17711.0,1.0675294
17767.0,1.1732211
17781.0,1.3806993
17837.0,1.3279699
17851.0,1.354412
17907.0,1.2933909
17921.0,1.261381
17975.0,1.2443844
17989.0,1.3142226
18045.0,1.2602471
18059.0,1.3423215
18115.0,1.2106726
18129.0,1.3702148
18185.0,1.2444935
18199.0,1.367462
18255.0,1.3118852
18269.0,1.2236683
18325.0,1.2249573
18339.0,1.3068669
18393.0,1.2748153
18407.0,1.3675989
18463.0,1.1905304
18477.0,1.148613
18533.0,1.2805235
18547.0,1.3443644
18603.0,1.1603562
18617.0,1.2325423
18673.0,1.2224911
18687.0,1.3157854
18745.0,1.3782365
18759.0,1.3567994
18815.0,1.3123006
18829.0,1.1732312
18885.0,1.361195
18899.0,1.3693292
18955.0,1.1963639
18969.0,1.2914605
19025.0,1.3365692
19039.0,1.1883574
19095.0,1.227434
19109.0,1.3538591
19165.0,1.3110555
19179.0,1.2522461
19235.0,1.3375798
19249.0,1.2079947
19307.0,1.2486652
19321.0,1.362789
19377.0,1.3291792
19391.0,1.3280276
19447.0,1.3272327
19461.0,1.3612686
19517.0,1.2204344
19531.0,1.3306695
19587.0,1.2521722
19601.0,1.3595248
19659.0,1.2324363
19673.0,1.2938888
19729.0,1.3278325
19743.0,1.3711724
19801.0,1.2974541
19815.0,1.1273035
19871.0,1.354879
19885.0,1.1621934
19941.0,1.2565554
19955.0,1.3298944
20013.0,1.1910641
20027.0,1.334686
20083.0,1.2769221
20097.0,1.3469211
20153.0,1.2150524
20167.0,1.3576313
20223.0,1.3596239
20237.0,1.2554975
20295.0,1.3093287
20309.0,1.2993772
20365.0,1.285839
20379.0,1.2584796
20437.0,1.1068951
20451.0,1.2646428
20509.0,1.2787918
20523.0,1.2409245
20579.0,1.2813026
20593.0,1.333325
20651.0,1.1078616
20665.0,1.2825228
20721.0,1.2295343
20735.0,1.2500365
20791.0,1.2282715
20805.0,1.3445721
20861.0,1.3164604
20875.0,1.3328788
20933.0,1.3483515
20947.0,1.3225163
21003.0,1.3008387
21017.0,1.3117447
21075.0,1.3332912
21089.0,1.3001835
21145.0,1.1693041
21159.0,1.2353562
21217.0,1.2739353
21231.0,1.2726728
21289.0,1.2673374
21303.0,1.3432053
21361.0,1.182565
21375.0,1.2430521
21433.0,1.2862121
21447.0,1.2468283
21503.0,1.3387663
21517.0,1.3431704
21575.0,1.2545377
21589.0,1.2434016
21645.0,1.3803595
21659.0,1.3702276
21717.0,1.1285474
21731.0,1.2409133
21789.0,1.3013245
21803.0,1.26042
21859.0,1.2682588
21873.0,1.0787513
21931.0,1.115604
21945.0,1.3164858
22003.0,1.3511192
22017.0,1.2725514
22075.0,1.3656669
