global_step,value
38.0,1.5367904
52.0,1.5019912
102.0,1.37596
116.0,1.4087383
166.0,1.3625255
180.0,1.3207837
232.0,1.3745635
246.0,1.3976797
296.0,1.37311
310.0,1.3291252
362.0,1.2923305
376.0,1.2600836
430.0,1.3137902
444.0,1.2293346
496.0,1.2649654
510.0,1.3030224
564.0,1.2857784
578.0,1.2469041
634.0,1.2717136
648.0,1.249866
706.0,1.2059166
720.0,1.1461369
778.0,1.1775763
792.0,1.2226641
850.0,1.0508814
864.0,1.0932685
924.0,1.1554816
938.0,1.042422
998.0,0.9056035
1012.0,1.1558845
1072.0,1.0586854
1086.0,1.0353868
1146.0,1.0019127
1160.0,1.0235378
1220.0,0.9817199
1234.0,0.8989008
1296.0,0.98457533
1310.0,0.9831853
1372.0,0.93366766
1386.0,0.94682056
1450.0,0.96942157
1464.0,0.92954934
1528.0,0.91509855
1542.0,0.8246576
1606.0,0.99867177
1620.0,0.7854035
1684.0,0.9276879
1698.0,0.8172847
1764.0,0.80389893
1778.0,0.8454647
1844.0,0.81812525
1858.0,0.8524491
1924.0,0.8311849
1938.0,0.90070057
2004.0,0.80682504
2018.0,0.8971362
2086.0,0.8229409
2100.0,0.91811246
2166.0,0.82534504
2180.0,0.8360914
2250.0,0.8245065
2264.0,0.777345
2332.0,0.81163913
2346.0,0.76528054
2414.0,0.87213147
2428.0,0.832349
2498.0,0.7735703
2512.0,0.73999333
2582.0,0.6822916
2596.0,0.80389243
2664.0,0.6955267
2678.0,0.7156347
2746.0,0.67705697
2760.0,0.6192669
2830.0,0.75765806
2844.0,0.68820125
2912.0,0.7246337
2926.0,0.62819356
2996.0,0.57822686
3010.0,0.5790145
3080.0,0.60938686
3094.0,0.6473543
3164.0,0.6509699
3178.0,0.61082375
3250.0,0.6239765
3264.0,0.5808211
3338.0,0.57456934
3352.0,0.56048477
3424.0,0.5138757
3438.0,0.55156463
3512.0,0.5559591
3526.0,0.50302505
3602.0,0.55388355
3616.0,0.505635
3692.0,0.4979138
3706.0,0.5040263
3780.0,0.5398828
3794.0,0.5392908
3870.0,0.48793915
3884.0,0.59146327
3960.0,0.4977783
3974.0,0.5371557
4052.0,0.47703904
4066.0,0.5420893
4142.0,0.5115824
4156.0,0.48188537
4234.0,0.4653288
4248.0,0.5087843
4326.0,0.46086666
4340.0,0.42855304
4418.0,0.45605904
4432.0,0.4712402
4510.0,0.38222438
4524.0,0.5015489
4604.0,0.42804623
4618.0,0.48350468
4698.0,0.41921696
4712.0,0.41990894
4792.0,0.44631758
4806.0,0.45242763
4886.0,0.41730246
4900.0,0.47298047
4982.0,0.35049856
4996.0,0.422973
5080.0,0.46495745
5094.0,0.42875236
5176.0,0.44267872
5190.0,0.36148348
5274.0,0.34869513
5288.0,0.4847661
5372.0,0.41800913
5386.0,0.4403329
5470.0,0.44276246
5484.0,0.36586443
5568.0,0.43034574
5582.0,0.35228056
5670.0,0.3465462
5684.0,0.43409234
5770.0,0.40357667
5784.0,0.36432508
5872.0,0.34036258
5886.0,0.35856953
5976.0,0.42076668
5990.0,0.31274623
6078.0,0.348075
6092.0,0.38875
6182.0,0.39894164
6196.0,0.34893304
6288.0,0.3405383
6302.0,0.2955055
6394.0,0.32731858
6408.0,0.397642
6500.0,0.40915915
6514.0,0.31344643
6608.0,0.29344448
6622.0,0.35071552
6716.0,0.3728601
6730.0,0.32227752
6826.0,0.30298516
6840.0,0.3483365
6936.0,0.3523062
6950.0,0.29867467
7046.0,0.25277898
7060.0,0.30300277
7158.0,0.30185834
7172.0,0.24777934
7270.0,0.25951305
7284.0,0.33108014
7384.0,0.2877918
7398.0,0.24099007
7498.0,0.32556033
7512.0,0.25164413
7614.0,0.32354382
7628.0,0.28162277
7730.0,0.28624588
7744.0,0.2590275
7848.0,0.29763898
7862.0,0.2706269
7966.0,0.2184079
7980.0,0.25860417
8086.0,0.28821972
8100.0,0.24806762
8206.0,0.23623455
8220.0,0.21921495
8326.0,0.22551532
8340.0,0.20148276
8446.0,0.260423
8460.0,0.20746931
8568.0,0.26735294
8582.0,0.24327299
8690.0,0.18848586
8704.0,0.2351019
8812.0,0.2004533
8826.0,0.22233048
8936.0,0.24168213
8950.0,0.2364688
9060.0,0.21896331
9074.0,0.22740117
9184.0,0.21176606
9198.0,0.20429628
9310.0,0.20716538
9324.0,0.19410299
9436.0,0.22625749
9450.0,0.19897589
9562.0,0.24168986
9576.0,0.1798493
9692.0,0.1775279
9706.0,0.20733145
9820.0,0.19029486
9834.0,0.20004731
9948.0,0.19331221
9962.0,0.22169025
10078.0,0.16636881
10092.0,0.195417
10206.0,0.18311788
10220.0,0.15008275
10338.0,0.2119999
10352.0,0.20808306
10470.0,0.20628785
10484.0,0.16549648
10600.0,0.18977624
10614.0,0.16513264
10730.0,0.20224349
10744.0,0.16758169
10862.0,0.19194658
10876.0,0.1552357
10994.0,0.18131836
11008.0,0.19465414
11124.0,0.18258181
11138.0,0.15654433
11256.0,0.16253996
11270.0,0.1747008
11390.0,0.16628152
11404.0,0.16859907
11522.0,0.17184813
11536.0,0.14655098
11654.0,0.16739437
11668.0,0.15113199
11786.0,0.1661975
11800.0,0.15802307
11920.0,0.16734627
11934.0,0.17165758
12056.0,0.19036303
12070.0,0.1712046
12188.0,0.16049136
12202.0,0.17133245
12324.0,0.15592936
12338.0,0.15560393
12458.0,0.15173504
12472.0,0.14344779
12594.0,0.17720625
12608.0,0.14644319
12730.0,0.17001443
12744.0,0.14741056
12866.0,0.14946553
12880.0,0.13805728
13002.0,0.15697743
13016.0,0.15267612
13138.0,0.17870246
13152.0,0.15601042
13278.0,0.16226159
13292.0,0.156434
13416.0,0.14236915
13430.0,0.13726413
13556.0,0.15867403
13570.0,0.15283464
13696.0,0.15684536
13710.0,0.1466107
13838.0,0.16102664
13852.0,0.1489339
13978.0,0.14393201
13992.0,0.144527
14118.0,0.1570815
14132.0,0.1438883
14260.0,0.14463626
14274.0,0.14390507
14402.0,0.13522278
14416.0,0.12473047
14544.0,0.1353591
14558.0,0.15766895
14686.0,0.1449468
14700.0,0.1401761
14828.0,0.12973931
14842.0,0.14030653
14970.0,0.14812116
14984.0,0.14710304
15112.0,0.14193408
15126.0,0.14288394
15256.0,0.14809301
15270.0,0.14286448
15398.0,0.13000159
15412.0,0.15472798
15542.0,0.1435282
15556.0,0.14154966
15684.0,0.14506736
15698.0,0.14524782
15826.0,0.13952656
15840.0,0.15816642
15970.0,0.14211693
15984.0,0.14772864
16114.0,0.13841312
16128.0,0.14409213
16256.0,0.13594043
16270.0,0.13213743
16400.0,0.14952886
16414.0,0.12902717
16544.0,0.14759567
16558.0,0.13283162
16688.0,0.1319838
16702.0,0.13106757
16832.0,0.12236975
16846.0,0.13958779
16974.0,0.13119005
16988.0,0.13406971
17118.0,0.1396646
17132.0,0.15729482
17262.0,0.1380843
17276.0,0.14096518
17406.0,0.13454369
17420.0,0.105581
17550.0,0.13735563
17564.0,0.12845226
17694.0,0.121545464
17708.0,0.14362133
17838.0,0.1186476
17852.0,0.13066939
17982.0,0.11771811
17996.0,0.14095733
18126.0,0.12428601
18140.0,0.1243197
18270.0,0.124063835
18284.0,0.124941304
18414.0,0.13492143
18428.0,0.1288103
18558.0,0.118806414
18572.0,0.12423403
18702.0,0.124406286
18716.0,0.11869118
18846.0,0.14340052
18860.0,0.10167555
18990.0,0.10899766
19004.0,0.13347153
19134.0,0.123850815
19148.0,0.13543732
19280.0,0.12122886
19294.0,0.12598005
19424.0,0.11689099
19438.0,0.11901032
19568.0,0.10734943
19582.0,0.12541233
19712.0,0.13828796
19726.0,0.14000684
19858.0,0.11432806
19872.0,0.12370102
20002.0,0.11408466
20016.0,0.13255878
20148.0,0.13513108
20162.0,0.1302073
20292.0,0.13235734
20306.0,0.118175514
20438.0,0.13154882
20452.0,0.10942489
20582.0,0.1055109
20596.0,0.12817305
20726.0,0.1314908
20740.0,0.12678249
20872.0,0.13010305
20886.0,0.11644588
21018.0,0.11835803
21032.0,0.13099141
21162.0,0.124956265
21176.0,0.11862307
