global_step,value
39.0,1.3819703
53.0,1.3656354
103.0,1.3067439
117.0,1.3714442
167.0,1.3335408
181.0,1.3209215
233.0,1.3742266
247.0,1.314683
297.0,1.3646864
311.0,1.3005993
363.0,1.3786666
377.0,1.1648505
431.0,1.3728765
445.0,1.1450361
497.0,1.1126049
511.0,1.3592972
565.0,1.1972058
579.0,1.1270863
635.0,1.2618251
649.0,1.1240528
707.0,1.0671278
721.0,1.213265
779.0,1.1976292
793.0,0.9011928
851.0,1.135009
865.0,1.1847873
925.0,0.9458269
939.0,1.1376787
999.0,1.0071247
1013.0,1.0309174
1073.0,1.234737
1087.0,1.0631915
1147.0,1.1420326
1161.0,1.1636544
1221.0,1.208781
1235.0,1.1624954
1297.0,1.2159271
1311.0,1.006352
1373.0,0.9763097
1387.0,1.149757
1451.0,1.167241
1465.0,1.2151062
1529.0,1.0395722
1543.0,1.2252704
1607.0,1.0567911
1621.0,1.1968228
1685.0,1.1029587
1699.0,1.2188549
1765.0,1.2427685
1779.0,1.1542147
1845.0,1.2048008
1859.0,1.1780057
1925.0,1.172468
1939.0,1.1950743
2005.0,1.1816732
2019.0,1.1909606
2087.0,1.1758962
2101.0,1.1548469
2167.0,1.1189407
2181.0,1.1947081
2251.0,1.0591177
2265.0,1.0964345
2333.0,1.0144202
2347.0,1.0910525
2415.0,1.174128
2429.0,1.0512702
2499.0,1.0560228
2513.0,0.9915688
2583.0,0.9376103
2597.0,1.0149246
2665.0,0.9334137
2679.0,1.0250161
2747.0,0.9184195
2761.0,0.973645
2831.0,0.8919975
2845.0,0.9810183
2913.0,0.9751169
2927.0,0.92537755
2997.0,0.8826352
3011.0,0.8289622
3081.0,0.8179313
3095.0,0.71342826
3165.0,0.80241823
3179.0,0.88954717
3251.0,0.7072975
3265.0,0.6492688
3339.0,0.819463
3353.0,0.60607886
3425.0,0.7766241
3439.0,0.61330414
3513.0,0.6548018
3527.0,0.73562837
3603.0,0.64405245
3617.0,0.7230095
3693.0,0.69886833
3707.0,0.5610339
3781.0,0.543286
3795.0,0.59002095
3871.0,0.52320606
3885.0,0.6201143
3961.0,0.5905867
3975.0,0.6837154
4053.0,0.60961
4067.0,0.5837116
4143.0,0.5597444
4157.0,0.5986107
4235.0,0.5754069
4249.0,0.57206076
4327.0,0.55779696
