global_step,value
2.0,-0.820155
4.0,-0.8382066
6.0,-0.83486885
8.0,-0.8395156
10.0,-0.83161247
12.0,-0.7866667
14.0,-0.7844402
16.0,-0.826177
18.0,-0.7661738
20.0,-0.78583795
22.0,-0.8201107
24.0,-0.74003655
26.0,-0.7805353
28.0,-0.78418803
30.0,-0.67697793
32.0,-0.6972973
62.0,-0.64536864
64.0,-0.70278305
66.0,-0.6436937
68.0,-0.67385113
70.0,-0.6688679
72.0,-0.69161904
74.0,-0.6751923
76.0,-0.5887821
78.0,-0.5861647
80.0,-0.61733335
82.0,-0.57066166
84.0,-0.57626265
86.0,-0.62041587
88.0,-0.61717755
90.0,-0.69277346
92.0,-0.62864584
94.0,-0.60833335
96.0,-0.6454545
126.0,-0.60611856
128.0,-0.58763754
130.0,-0.56114286
132.0,-0.618993
134.0,-0.6181298
136.0,-0.61276597
138.0,-0.6517662
140.0,-0.5978697
142.0,-0.6103295
144.0,-0.6430149
146.0,-0.5703704
148.0,-0.66309065
150.0,-0.5982524
152.0,-0.6622482
154.0,-0.58352715
156.0,-0.6379288
158.0,-0.646404
160.0,-0.6355683
190.0,-0.6087012
192.0,-0.6365633
194.0,-0.5754557
196.0,-0.5995452
198.0,-0.5910807
200.0,-0.55757
202.0,-0.6031506
204.0,-0.64790493
206.0,-0.60312897
208.0,-0.5389841
210.0,-0.6496521
212.0,-0.55387074
214.0,-0.6151629
216.0,-0.67152107
218.0,-0.60956967
220.0,-0.6188546
222.0,-0.5716825
224.0,-0.5837429
226.0,-0.61800253
256.0,-0.5145631
258.0,-0.6226896
260.0,-0.5628279
262.0,-0.5879845
264.0,-0.5867314
266.0,-0.59631044
268.0,-0.519975
270.0,-0.5786667
272.0,-0.6015326
274.0,-0.62823987
276.0,-0.5641604
278.0,-0.62994987
280.0,-0.59650487
282.0,-0.5363049
284.0,-0.5138996
286.0,-0.5911488
288.0,-0.6100715
290.0,-0.5755639
320.0,-0.58055556
322.0,-0.56666666
324.0,-0.48545223
326.0,-0.5661587
328.0,-0.55243665
330.0,-0.49352562
332.0,-0.52013755
334.0,-0.54211193
336.0,-0.44870296
338.0,-0.55620533
340.0,-0.62044024
342.0,-0.56531113
344.0,-0.54831743
346.0,-0.52692306
348.0,-0.5660377
350.0,-0.55692005
352.0,-0.5697377
354.0,-0.5262452
356.0,-0.52200896
386.0,-0.5353886
388.0,-0.5162197
390.0,-0.46641123
392.0,-0.4891262
394.0,-0.5396641
396.0,-0.57463354
398.0,-0.59980506
400.0,-0.5157161
402.0,-0.6014157
404.0,-0.5446317
406.0,-0.5074646
408.0,-0.5620668
410.0,-0.53447187
412.0,-0.52485436
414.0,-0.5005693
416.0,-0.4985228
418.0,-0.54448694
420.0,-0.44261363
422.0,-0.47881088
424.0,-0.52830434
454.0,-0.48213384
456.0,-0.5618123
458.0,-0.5456698
460.0,-0.4862898
462.0,-0.55328137
464.0,-0.56843436
466.0,-0.42521846
468.0,-0.5401645
470.0,-0.5529262
472.0,-0.5111538
474.0,-0.5430189
476.0,-0.42163187
478.0,-0.49599484
480.0,-0.38326848
482.0,-0.49717402
484.0,-0.5568998
486.0,-0.45893535
488.0,-0.5250641
490.0,-0.48854366
520.0,-0.44507575
522.0,-0.38298807
524.0,-0.503576
526.0,-0.4623718
528.0,-0.5254302
530.0,-0.42700186
532.0,-0.48811817
534.0,-0.48746818
536.0,-0.47190294
538.0,-0.41009524
540.0,-0.48793772
542.0,-0.4711832
544.0,-0.4175641
546.0,-0.44336447
548.0,-0.43734628
550.0,-0.40723515
552.0,-0.3992894
554.0,-0.54936385
556.0,-0.5345631
558.0,-0.47346032
588.0,-0.47738317
590.0,-0.3840156
592.0,-0.37374917
594.0,-0.4397096
596.0,-0.41640925
598.0,-0.32858023
600.0,-0.43673596
602.0,-0.42297733
604.0,-0.45284238
606.0,-0.43327057
608.0,-0.38667953
610.0,-0.37330827
612.0,-0.3890181
614.0,-0.23263623
616.0,-0.4736775
618.0,-0.47393483
620.0,-0.27061823
622.0,-0.39830187
624.0,-0.3053103
626.0,-0.32020012
628.0,-0.3651866
658.0,-0.2671036
660.0,-0.38601533
662.0,-0.2732177
664.0,-0.3468223
666.0,-0.275769
668.0,-0.26035157
670.0,-0.40364584
672.0,-0.30566978
674.0,-0.23139097
676.0,-0.34711537
678.0,-0.31651205
680.0,-0.3281109
682.0,-0.2678317
684.0,-0.325919
686.0,-0.31653646
688.0,-0.33108193
690.0,-0.28746867
692.0,-0.2921826
694.0,-0.26208895
696.0,-0.2905783
698.0,-0.3884085
700.0,-0.24918778
730.0,-0.28566796
732.0,-0.30753294
734.0,-0.27700257
736.0,-0.2762445
738.0,-0.19591314
740.0,-0.22327043
742.0,-0.10480648
744.0,-0.23346329
746.0,-0.20234375
748.0,-0.2818993
750.0,-0.23936567
752.0,-0.1395085
754.0,-0.23709774
756.0,-0.13201505
758.0,-0.24792825
760.0,-0.23586337
762.0,-0.2630545
764.0,-0.145519
766.0,-0.32487178
768.0,-0.20071197
770.0,-0.36622307
772.0,-0.23707935
802.0,-0.31635338
804.0,-0.16791509
806.0,-0.27826923
808.0,-0.20444027
810.0,-0.17058456
812.0,-0.10929174
814.0,-0.27011928
816.0,-0.20745021
818.0,-0.32020947
820.0,-0.10561867
822.0,-0.23187578
824.0,-0.20589742
826.0,-0.24506769
828.0,-0.26034155
830.0,-0.08023032
832.0,-0.24376975
834.0,-0.15276152
836.0,-0.19436182
838.0,-0.14071195
840.0,-0.17840466
842.0,-0.17433459
844.0,-0.15732086
874.0,-0.1672503
876.0,-0.24763753
878.0,-0.09685533
880.0,-0.14516538
882.0,-0.044850692
884.0,-0.1726923
886.0,-0.16765799
888.0,-0.055810977
890.0,-0.17156307
892.0,-0.23352416
894.0,-0.24038833
896.0,-0.14457141
898.0,-0.038623314
900.0,-0.05839645
902.0,-0.09870044
904.0,-0.13090675
906.0,-0.21393228
908.0,-0.12867044
910.0,-0.033081267
912.0,-0.17285621
914.0,-0.08732832
916.0,-0.18003766
918.0,-0.30114067
948.0,-0.21705577
950.0,-0.02937419
952.0,-0.264411
954.0,-0.18339717
956.0,-0.188588
958.0,-0.23027343
960.0,-0.091471344
962.0,-0.19003236
964.0,-0.15621793
966.0,-0.059487168
968.0,-0.13908917
970.0,-0.10341555
972.0,-0.063762605
974.0,-0.072178975
976.0,-0.18708253
978.0,-0.18708876
980.0,-0.1725146
982.0,-0.10878787
984.0,-0.17264149
986.0,-0.029532691
988.0,-0.22675438
990.0,-0.09562736
992.0,-0.07623697
1022.0,-0.24736841
1024.0,-0.12739898
1026.0,-0.010522981
1028.0,-0.12380951
1030.0,-0.04247103
1032.0,-0.07831402
1034.0,-0.06511192
1036.0,-0.04490048
1038.0,-0.034237716
1040.0,-0.036936928
1042.0,0.0048531424
1044.0,-0.077405326
1046.0,-0.09915856
1048.0,-0.0027670409
1050.0,-0.009308164
1052.0,-0.05611978
1054.0,-0.05785439
1056.0,-0.058429107
1058.0,0.10087392
1060.0,-0.021130368
1062.0,-0.11358729
1064.0,-0.13428934
1066.0,-0.04034748
1096.0,0.04182158
1098.0,-0.12964399
1100.0,-0.12104246
1102.0,-0.12166344
1104.0,-0.023711966
1106.0,0.083018884
1108.0,-0.076354355
1110.0,-0.12860696
1112.0,-0.057080187
1114.0,-0.15598455
1116.0,-0.0029671611
1118.0,0.041931476
1120.0,0.041113228
1122.0,-0.061666656
1124.0,-0.099201955
1126.0,0.011985031
1128.0,-0.0021144177
1130.0,-0.0029374138
1132.0,-0.055911936
1134.0,0.043537423
1136.0,0.0039622737
1138.0,0.052023135
1140.0,-0.028404651
1170.0,0.008082721
1172.0,-0.10416666
1174.0,-0.15661079
1176.0,-0.20600885
1178.0,0.0050523826
1180.0,-0.07330754
1182.0,0.020075765
1184.0,0.02076081
1186.0,0.024870813
1188.0,0.002666677
1190.0,-0.14072631
1192.0,0.048608545
1194.0,0.019330867
1196.0,-0.04436089
1198.0,0.00044701085
1200.0,0.021949695
1202.0,0.0063164597
1204.0,-0.04433593
1206.0,0.020671848
1208.0,0.060372528
1210.0,0.115667924
1212.0,0.04863186
1214.0,-0.035987046
1244.0,0.01673005
1246.0,0.09435798
1248.0,0.0863118
1250.0,0.10916181
1252.0,0.0725681
1254.0,-0.020498073
1256.0,0.003832128
1258.0,0.041699104
1260.0,0.047005218
1262.0,0.061583027
1264.0,0.05264859
1266.0,0.11093852
1268.0,0.04876785
1270.0,0.1639847
1272.0,0.018566191
1274.0,0.11406553
1276.0,0.1308318
1278.0,0.10334622
1280.0,0.13643701
1282.0,0.09058382
1284.0,-0.047885556
1286.0,0.11615582
1288.0,0.12147736
1290.0,0.01564497
1320.0,0.10924529
1322.0,0.11223303
1324.0,0.16191408
1326.0,0.19017014
1328.0,0.077799365
1330.0,0.069303215
1332.0,0.068208106
1334.0,0.13936447
1336.0,0.11647288
1338.0,-0.09486691
1340.0,0.1310409
1342.0,0.1833645
1344.0,0.14219332
1346.0,0.09054822
1348.0,0.032293715
1350.0,0.09443379
1352.0,0.16145834
1354.0,0.12118864
1356.0,0.11842449
1358.0,0.15797943
1360.0,0.13689569
1362.0,0.1723701
1364.0,0.22347933
1366.0,0.1182214
1396.0,0.18214734
1398.0,0.17985706
1400.0,0.18288115
1402.0,0.056756772
1404.0,0.0529151
1406.0,0.20759575
1408.0,0.10032364
1410.0,0.10179488
1412.0,0.17716286
1414.0,0.19809888
1416.0,0.18299194
1418.0,0.13320611
1420.0,0.115022585
1422.0,0.13242543
1424.0,0.24199626
1426.0,0.111711726
1428.0,0.15409414
1430.0,0.19846451
1432.0,0.16473244
1434.0,0.08282053
1436.0,0.22034551
1438.0,0.22310607
1440.0,0.19418389
1442.0,0.27819788
1444.0,0.118362136
1474.0,0.19231723
1476.0,0.2518868
1478.0,0.13961801
1480.0,0.24651313
1482.0,0.3019534
1484.0,0.26228896
1486.0,0.15364487
1488.0,0.273805
1490.0,0.20879543
1492.0,0.12161656
1494.0,0.25615042
1496.0,0.06394688
1498.0,0.14484054
1500.0,0.16277885
1502.0,0.15077822
1504.0,0.16902037
1506.0,0.19511442
1508.0,0.14469557
1510.0,0.21312542
1512.0,0.21882954
1514.0,0.23370647
1516.0,0.27254152
1518.0,0.18978195
1520.0,0.16712151
1522.0,0.20965253
1552.0,0.16923572
1554.0,0.20453689
1556.0,0.26666668
1558.0,0.27136832
1560.0,0.24448696
1562.0,0.15542786
1564.0,0.20402932
1566.0,0.17053516
1568.0,0.24317154
1570.0,0.2657286
1572.0,0.24735144
1574.0,0.2475379
1576.0,0.23048545
1578.0,0.1257463
1580.0,0.30713844
1582.0,0.27748594
1584.0,0.1553016
1586.0,0.2881323
1588.0,0.13793105
1590.0,0.22309615
1592.0,0.22058459
1594.0,0.23598276
1596.0,0.1362508
1598.0,0.22045456
1600.0,0.25065422
1630.0,0.20397437
1632.0,0.17847224
1634.0,0.22102565
1636.0,0.10130355
1638.0,0.36853933
1640.0,0.24037738
1642.0,0.22633211
1644.0,0.20265374
1646.0,0.20423079
1648.0,0.1980469
1650.0,0.2901809
1652.0,0.123708025
1654.0,0.23320489
1656.0,0.27987057
1658.0,0.18652484
1660.0,0.2904215
1662.0,0.13580248
1664.0,0.27313918
1666.0,0.25198182
1668.0,0.27026692
1670.0,0.27521527
1672.0,0.1705919
1674.0,0.22713922
1676.0,0.29652512
1678.0,0.21962315
1708.0,0.32789245
1710.0,0.27503148
1712.0,0.12657659
1714.0,0.24785157
1716.0,0.19220127
1718.0,0.22207296
1720.0,0.25666016
1722.0,0.23359275
