global_step,value
38.0,1.6088878
52.0,1.6093199
98.0,1.6056734
112.0,1.6088833
160.0,1.5971977
174.0,1.6007655
222.0,1.5453176
236.0,1.5995123
284.0,1.5168499
298.0,1.5805156
346.0,1.4753728
360.0,1.516789
410.0,1.3901782
424.0,1.4900829
474.0,1.3293464
488.0,1.3732042
538.0,1.41087
552.0,1.4102714
604.0,1.4203429
618.0,1.3760941
668.0,1.3727366
682.0,1.3718697
732.0,1.4283965
746.0,1.3947132
798.0,1.3936833
812.0,1.3379276
862.0,1.396615
876.0,1.3240865
928.0,1.4050256
942.0,1.4344293
992.0,1.4211131
1006.0,1.3719274
1058.0,1.3064983
1072.0,1.3657675
1122.0,1.3756183
1136.0,1.3439487
1188.0,1.3651844
1202.0,1.2453169
1254.0,1.351359
1268.0,1.3239346
1318.0,1.4288175
1332.0,1.2692987
1384.0,1.3305292
1398.0,1.3426838
1450.0,1.338274
1464.0,1.414154
1516.0,1.3516629
1530.0,1.1761394
1582.0,1.300826
1596.0,1.255696
1648.0,1.397645
1662.0,1.235026
1716.0,1.2325213
1730.0,1.2692175
1782.0,1.3655475
1796.0,1.2585301
1848.0,1.347783
1862.0,1.2858018
1916.0,1.2604424
1930.0,1.3445885
1982.0,1.3014642
1996.0,1.2415749
2050.0,1.3012646
2064.0,1.313038
2118.0,1.3559154
2132.0,1.2440516
2186.0,1.2538241
2200.0,1.293534
2252.0,1.3534306
2266.0,1.3493395
2322.0,1.345193
2336.0,1.3716606
2390.0,1.2840965
2404.0,1.2090383
2458.0,1.3650824
2472.0,1.3486677
2528.0,1.3760887
2542.0,1.2098372
2596.0,1.2270095
2610.0,1.3057138
2666.0,1.2282922
2680.0,1.2802653
2736.0,1.275139
2750.0,1.2209278
2806.0,1.1836703
2820.0,1.2592636
2876.0,1.2982891
2890.0,1.1644942
2946.0,1.1878105
2960.0,1.1919893
3016.0,1.2395266
3030.0,1.2795532
3088.0,1.1532009
3102.0,1.1574814
3158.0,1.1647619
3172.0,1.1600958
3230.0,1.1993737
3244.0,1.087026
3302.0,1.2621015
3316.0,1.215784
3374.0,1.2335805
3388.0,1.0823447
3446.0,1.1732994
3460.0,1.0670925
3518.0,1.1023425
3532.0,1.0687381
3588.0,1.1395081
3602.0,1.2190092
3660.0,1.1885301
3674.0,1.0652469
3732.0,1.0267109
3746.0,1.1078843
3806.0,1.1459316
3820.0,1.1727105
3878.0,1.1675615
3892.0,1.0766228
3952.0,1.1861514
3966.0,1.1747388
4024.0,1.1294314
4038.0,1.1694428
4098.0,0.9817858
4112.0,1.1426901
4172.0,1.0167578
4186.0,1.0660447
4246.0,1.0281765
4260.0,1.110832
4318.0,1.0000932
4332.0,0.92840755
4392.0,1.0536804
4406.0,1.0350279
4466.0,1.0405346
4480.0,1.0290041
4540.0,0.9476777
4554.0,0.9784213
4614.0,0.95212865
4628.0,0.9036648
4688.0,0.9608613
4702.0,1.0301512
4764.0,0.91021407
4778.0,1.0024464
4838.0,1.0409368
4852.0,1.0663499
4914.0,0.9748695
4928.0,0.98841375
4990.0,0.91044265
5004.0,0.91034156
5064.0,0.8946691
5078.0,0.9029093
5140.0,0.9255253
5154.0,0.96583176
5216.0,0.8967446
5230.0,1.0233434
5292.0,0.9138837
5306.0,0.9318853
5366.0,0.936803
5380.0,1.0141089
5442.0,0.9324155
5456.0,0.95655257
5518.0,0.9167293
5532.0,0.9144239
5596.0,0.9032977
5610.0,0.9163881
5672.0,0.86781454
5686.0,0.890445
5750.0,0.8620836
5764.0,0.77945095
5826.0,0.8483251
5840.0,0.9299176
5902.0,0.86548966
5916.0,0.8189647
5980.0,0.92007405
5994.0,0.9315976
6058.0,0.9505344
6072.0,0.90607077
6134.0,0.85552895
6148.0,0.788011
6214.0,0.81098217
6228.0,0.91518676
6290.0,1.0071163
6304.0,0.8543025
6368.0,0.8864717
6382.0,0.7759016
6446.0,0.9169246
6460.0,0.87842244
6522.0,0.9115749
6536.0,0.88344437
6600.0,0.8845785
6614.0,0.7876668
6678.0,0.8904122
6692.0,0.8584179
6756.0,0.7400282
6770.0,0.8833076
6832.0,0.8533814
6846.0,0.94317555
6912.0,0.8915663
6926.0,0.78418607
6990.0,0.81936157
7004.0,0.85943544
7068.0,0.99654925
7082.0,0.87458074
7148.0,0.7973089
7162.0,0.78220665
7228.0,0.78778094
7242.0,1.0303211
7306.0,0.912684
7320.0,0.7556716
7386.0,0.8251232
7400.0,0.9460357
7466.0,0.8635804
7480.0,0.7504055
7546.0,0.8000181
7560.0,0.8186964
7624.0,0.8599957
7638.0,0.74369097
7702.0,0.88038117
7716.0,0.8264353
7782.0,0.99154085
7796.0,0.78486246
7864.0,0.9181687
7878.0,0.81964684
7944.0,0.8119279
7958.0,0.75642943
8024.0,0.756418
8038.0,0.6967635
8104.0,0.8668555
8118.0,0.78913045
8184.0,0.78777754
8198.0,0.79222405
8264.0,0.9123241
8278.0,0.7293528
8344.0,0.7659162
8358.0,0.7922833
8424.0,0.7564189
8438.0,0.8055902
8504.0,0.9075082
8518.0,0.83936834
8584.0,0.68615013
8598.0,0.77778924
8664.0,0.8124514
8678.0,0.66672343
8746.0,0.74647945
8760.0,0.67861843
8826.0,0.9191461
8840.0,0.8927211
8908.0,0.79683894
8922.0,0.8666185
8988.0,0.8620595
9002.0,0.83599055
9070.0,0.74396276
9084.0,0.78678477
9150.0,0.7765686
9164.0,0.6961185
9230.0,0.67142123
9244.0,0.66931206
9312.0,0.68714976
9326.0,0.7562804
