global_step,value
39.0,1.3861411
53.0,1.3862202
99.0,1.3852794
113.0,1.3861647
161.0,1.3850784
175.0,1.3856273
223.0,1.3763778
237.0,1.3856685
285.0,1.3802966
299.0,1.3850982
347.0,1.3834016
361.0,1.3779244
411.0,1.3608952
425.0,1.3804058
475.0,1.3861392
489.0,1.3238903
539.0,1.3505
553.0,1.3774903
605.0,1.3548583
619.0,1.3821706
669.0,1.3742728
683.0,1.383842
733.0,1.3751069
747.0,1.3751638
799.0,1.3642279
813.0,1.3663532
863.0,1.3486984
877.0,1.2683105
929.0,1.3585569
943.0,1.3739017
993.0,1.3692638
1007.0,1.3800917
1059.0,1.324265
1073.0,1.3604925
1123.0,1.3811414
1137.0,1.3388088
1189.0,1.3810079
1203.0,1.3532842
1255.0,1.3342233
1269.0,1.2876183
1319.0,1.3387047
1333.0,1.3439339
1385.0,1.2784419
1399.0,1.2318755
1451.0,1.3727943
1465.0,1.3791776
1517.0,1.3001447
1531.0,1.3017879
1583.0,1.317819
1597.0,1.323853
1649.0,1.3778696
1663.0,1.3548526
1717.0,1.2643094
1731.0,1.3799628
1783.0,1.2792958
1797.0,1.3265483
1849.0,1.1503453
1863.0,1.2450739
1917.0,1.3403549
1931.0,1.3718377
1983.0,1.3390955
1997.0,1.2712058
2051.0,1.346775
2065.0,1.3759925
2119.0,1.1695468
2133.0,1.0896626
2187.0,1.2983211
2201.0,1.3046305
2253.0,1.2680393
2267.0,1.3465374
2323.0,1.3441334
2337.0,1.3585843
2391.0,1.3405226
2405.0,1.3489805
2459.0,1.1730169
2473.0,1.3391736
2529.0,1.3400339
2543.0,1.3734373
2597.0,1.1197332
2611.0,1.0974455
2667.0,1.3399811
2681.0,1.3242683
2737.0,1.3527753
2751.0,1.3452281
2807.0,1.3639338
2821.0,1.0449934
2877.0,1.1723415
2891.0,1.3607786
2947.0,1.1400099
2961.0,1.3486463
3017.0,1.3551989
3031.0,1.3097115
3089.0,1.3703932
3103.0,1.3040323
3159.0,1.320937
3173.0,1.2733442
3231.0,1.3483496
3245.0,1.3336166
3303.0,1.3638008
3317.0,1.1023932
3375.0,1.2841119
3389.0,1.3336205
3447.0,1.1373878
3461.0,1.3362874
3519.0,1.297297
3533.0,1.3647681
3589.0,1.1775709
3603.0,1.283753
3661.0,1.3080524
3675.0,1.3292072
3733.0,1.3673799
3747.0,1.1835177
3807.0,0.90199304
3821.0,1.3221816
3879.0,1.2751217
3893.0,1.2674062
3953.0,1.2865795
3967.0,1.3034599
4025.0,1.3215907
4039.0,1.3581485
4099.0,1.2198887
4113.0,1.3602633
4173.0,1.2507881
4187.0,1.3709348
4247.0,1.2962215
4261.0,1.1582234
4319.0,1.1828669
4333.0,1.3106132
4393.0,1.1977228
4407.0,1.2913772
4467.0,1.2375453
4481.0,1.332621
4541.0,1.2257857
4555.0,1.1281075
4615.0,1.3257685
4629.0,1.2690837
4689.0,1.1531488
4703.0,1.1799529
4765.0,1.2710196
4779.0,1.2825764
4839.0,1.2974979
4853.0,1.3199226
4915.0,1.3044908
4929.0,1.298872
4991.0,1.2551
5005.0,1.1975929
5065.0,1.0794756
5079.0,1.2683885
5141.0,1.118388
5155.0,1.2289792
5217.0,1.2473187
5231.0,1.0257367
5293.0,1.2496282
5307.0,1.3177024
5367.0,1.2351812
5381.0,1.3227462
5443.0,1.2167338
5457.0,1.1474999
5519.0,1.3299185
5533.0,1.3092557
5597.0,1.1664779
5611.0,1.2862464
5673.0,1.3097088
5687.0,1.1384279
5751.0,1.2437037
5765.0,1.2665857
5827.0,1.233385
5841.0,1.3316882
5903.0,1.1544684
5917.0,1.2334744
5981.0,1.1647675
5995.0,1.1671687
6059.0,1.1615627
6073.0,1.124728
6135.0,1.2933359
6149.0,1.2361325
6215.0,1.1913217
6229.0,1.2988455
6291.0,1.3615202
