global_step,value
2.0,-0.8924626
4.0,-0.8499354
6.0,-0.83835876
8.0,-0.8621967
10.0,-0.8585271
12.0,-0.8596018
14.0,-0.8503774
16.0,-0.8248728
18.0,-0.8161673
20.0,-0.85503143
22.0,-0.8930424
24.0,-0.83862334
26.0,-0.85397124
28.0,-0.8552239
30.0,-0.8447352
32.0,-0.8994921
62.0,-0.8876798
64.0,-0.8504673
66.0,-0.87001896
68.0,-0.8090056
70.0,-0.8248756
72.0,-0.91065675
74.0,-0.85943395
76.0,-0.88692933
78.0,-0.8741433
80.0,-0.7966146
82.0,-0.89677626
84.0,-0.81383526
86.0,-0.86545104
88.0,-0.80341053
90.0,-0.86500317
92.0,-0.88384616
122.0,-0.81775224
124.0,-0.83982015
126.0,-0.85968554
128.0,-0.84553456
130.0,-0.7839975
132.0,-0.86413664
134.0,-0.8259401
136.0,-0.7656035
138.0,-0.78183556
140.0,-0.89420015
142.0,-0.8509955
144.0,-0.829408
146.0,-0.8027673
148.0,-0.7595979
150.0,-0.82501614
152.0,-0.7025292
154.0,-0.826615
184.0,-0.826528
186.0,-0.89073014
188.0,-0.76786613
190.0,-0.8257982
192.0,-0.82597566
194.0,-0.7543758
196.0,-0.75656563
198.0,-0.77228683
200.0,-0.8012845
202.0,-0.82967865
204.0,-0.7440179
206.0,-0.7415723
208.0,-0.7063492
210.0,-0.7729049
212.0,-0.8168932
214.0,-0.75297844
216.0,-0.7913836
246.0,-0.77477986
248.0,-0.7786967
250.0,-0.7340425
252.0,-0.77394056
254.0,-0.7904222
256.0,-0.75596154
258.0,-0.7361757
260.0,-0.7565302
262.0,-0.6915364
264.0,-0.74305016
266.0,-0.6666667
268.0,-0.66822004
270.0,-0.6609395
272.0,-0.6713178
274.0,-0.677381
276.0,-0.826972
278.0,-0.7612492
308.0,-0.75072736
310.0,-0.7300063
312.0,-0.74148864
314.0,-0.7992935
316.0,-0.779408
318.0,-0.65825367
320.0,-0.70656663
322.0,-0.72158366
324.0,-0.64637125
326.0,-0.69285715
328.0,-0.657411
330.0,-0.75498086
332.0,-0.685
334.0,-0.68345815
336.0,-0.63686496
338.0,-0.6593848
340.0,-0.6999363
370.0,-0.7119593
372.0,-0.71516925
374.0,-0.6014858
376.0,-0.68982524
378.0,-0.71229774
380.0,-0.70303607
382.0,-0.63256705
384.0,-0.5856866
386.0,-0.67991126
388.0,-0.7018205
390.0,-0.6624359
392.0,-0.6091146
394.0,-0.6576172
396.0,-0.65176624
398.0,-0.75009745
400.0,-0.6884688
402.0,-0.6422094
404.0,-0.7239268
434.0,-0.6059524
436.0,-0.6006173
438.0,-0.65074724
440.0,-0.5959596
442.0,-0.65651894
444.0,-0.69722223
446.0,-0.6791747
448.0,-0.72383684
450.0,-0.6199616
452.0,-0.7296086
454.0,-0.63428754
456.0,-0.6333972
458.0,-0.6266032
460.0,-0.6339707
462.0,-0.6346743
464.0,-0.61178386
466.0,-0.6161249
468.0,-0.67226464
498.0,-0.6812899
500.0,-0.6409669
502.0,-0.6727745
504.0,-0.6525292
506.0,-0.61293817
508.0,-0.6311454
510.0,-0.64414924
512.0,-0.6495513
514.0,-0.67479205
516.0,-0.65957856
518.0,-0.6344961
520.0,-0.5601562
522.0,-0.7014295
524.0,-0.64412516
526.0,-0.6114563
528.0,-0.6020434
530.0,-0.68017846
532.0,-0.61691916
562.0,-0.6185874
564.0,-0.6890805
566.0,-0.6664751
568.0,-0.59580153
570.0,-0.595641
572.0,-0.6261548
574.0,-0.6333333
576.0,-0.5771318
578.0,-0.6516927
580.0,-0.67259115
582.0,-0.6123666
584.0,-0.63076925
586.0,-0.6028314
588.0,-0.64837474
590.0,-0.6915364
592.0,-0.6363806
594.0,-0.56958175
596.0,-0.63775176
598.0,-0.6046044
628.0,-0.6241806
630.0,-0.5294922
632.0,-0.6388145
634.0,-0.642803
636.0,-0.66128206
638.0,-0.6402937
640.0,-0.54400253
642.0,-0.58258903
644.0,-0.6223072
646.0,-0.5925641
648.0,-0.668214
650.0,-0.63703704
652.0,-0.6353459
654.0,-0.6083979
656.0,-0.59704405
658.0,-0.6601368
660.0,-0.6380861
662.0,-0.6717997
692.0,-0.5681524
694.0,-0.60750806
696.0,-0.6074074
698.0,-0.6681242
700.0,-0.5756483
702.0,-0.6211321
704.0,-0.583649
706.0,-0.59382236
708.0,-0.57150227
710.0,-0.5997475
712.0,-0.5776101
714.0,-0.6236925
716.0,-0.6118774
718.0,-0.5734978
720.0,-0.6387729
722.0,-0.60303617
724.0,-0.5252564
726.0,-0.5999354
756.0,-0.58238274
758.0,-0.7051332
760.0,-0.65360624
762.0,-0.63236624
764.0,-0.60712034
766.0,-0.6104762
768.0,-0.5162264
770.0,-0.6191489
772.0,-0.5699092
774.0,-0.5753623
776.0,-0.6284802
778.0,-0.54878956
780.0,-0.5653179
782.0,-0.5678753
784.0,-0.51784575
786.0,-0.59655833
788.0,-0.58241963
790.0,-0.62088126
792.0,-0.59076226
822.0,-0.53483427
824.0,-0.6352867
826.0,-0.61100626
828.0,-0.5847953
830.0,-0.58781564
832.0,-0.54814816
834.0,-0.5934353
836.0,-0.6963671
838.0,-0.58288115
840.0,-0.5936988
842.0,-0.5801648
844.0,-0.49844357
846.0,-0.5703417
848.0,-0.65648854
850.0,-0.62141025
852.0,-0.64288497
854.0,-0.6760025
856.0,-0.5675607
886.0,-0.5196338
888.0,-0.6570327
890.0,-0.58362347
892.0,-0.52576053
894.0,-0.56439245
896.0,-0.5509114
898.0,-0.5032113
900.0,-0.6027044
902.0,-0.6011605
904.0,-0.60677755
906.0,-0.6007722
908.0,-0.606078
910.0,-0.6657795
912.0,-0.6220542
