global_step,value
38.0,1.5239002
52.0,1.5206668
102.0,1.3615166
116.0,1.4223857
166.0,1.3686721
180.0,1.3276979
232.0,1.3869431
246.0,1.2860637
298.0,1.3733845
312.0,1.3419839
364.0,1.3072749
378.0,1.3256526
432.0,1.3537718
446.0,1.3161894
500.0,1.2091461
514.0,1.3745354
570.0,1.1069746
584.0,1.2858884
640.0,1.2549874
654.0,1.2048694
714.0,1.1358656
728.0,1.132413
788.0,1.0408485
802.0,1.1383166
862.0,1.0538344
876.0,1.1082416
938.0,1.0412644
952.0,0.9768221
1012.0,1.0524272
1026.0,1.0409813
1088.0,0.88119775
1102.0,0.951475
1164.0,0.9763595
1178.0,0.9358596
1240.0,0.9003173
1254.0,0.9490498
1318.0,0.873477
1332.0,0.9491471
1396.0,0.8821662
1410.0,0.9370183
1474.0,0.90915215
1488.0,0.8268723
1552.0,0.8837132
1566.0,0.8057712
1632.0,0.8050265
1646.0,0.86532825
1710.0,0.87470937
1724.0,0.8043695
1790.0,0.7482651
1804.0,0.80885035
1870.0,0.8440435
1884.0,0.7708997
1950.0,0.8698058
1964.0,0.8032
2032.0,0.7800119
2046.0,0.7490143
2112.0,0.763697
2126.0,0.83850306
2194.0,0.88226354
2208.0,0.62209046
2276.0,0.64116377
2290.0,0.7468001
2358.0,0.7507452
2372.0,0.8255531
2440.0,0.67300236
2454.0,0.7805915
2524.0,0.81401694
2538.0,0.7190832
2608.0,0.6879402
2622.0,0.7676916
2690.0,0.80397254
2704.0,0.6893651
2774.0,0.7670025
2788.0,0.6914681
2858.0,0.7302507
2872.0,0.55949724
2942.0,0.7765937
2956.0,0.54152733
3026.0,0.75692374
3040.0,0.5003833
3112.0,0.64521426
3126.0,0.7024476
3196.0,0.73477405
3210.0,0.6431301
3280.0,0.48144376
3294.0,0.6361123
3366.0,0.4555103
3380.0,0.68484056
3452.0,0.5194911
3466.0,0.5981215
3536.0,0.5400102
3550.0,0.5611315
3622.0,0.5545457
3636.0,0.5151064
3708.0,0.6301525
3722.0,0.53933
3794.0,0.5049845
3808.0,0.52959764
3880.0,0.48898947
3894.0,0.56994087
3968.0,0.6306824
3982.0,0.48596835
4054.0,0.4992758
4068.0,0.5487011
4142.0,0.55345714
4156.0,0.48985517
4230.0,0.4148459
4244.0,0.5183822
4320.0,0.5830131
4334.0,0.46646616
4408.0,0.4404378
4422.0,0.55811363
4500.0,0.40515903
4514.0,0.55340886
4590.0,0.4257087
4604.0,0.43504697
4684.0,0.5294851
4698.0,0.38946375
4776.0,0.41482455
4790.0,0.4191665
4868.0,0.4387955
4882.0,0.46219864
4960.0,0.4027341
4974.0,0.46569404
5054.0,0.35618383
5068.0,0.3797806
5148.0,0.35127437
5162.0,0.4808379
5242.0,0.45937228
5256.0,0.38848865
5338.0,0.4196269
5352.0,0.2979953
5432.0,0.35928816
5446.0,0.36813185
5530.0,0.47228155
5544.0,0.38303414
5626.0,0.3321211
5640.0,0.29597646
5726.0,0.32853663
5740.0,0.31992775
5824.0,0.3646204
5838.0,0.34976515
5922.0,0.44819212
5936.0,0.3027391
6020.0,0.38665682
6034.0,0.31506738
6122.0,0.30284014
6136.0,0.28002352
6224.0,0.30658585
6238.0,0.2897801
6326.0,0.28107417
6340.0,0.38029853
6428.0,0.30241668
6442.0,0.2853735
6532.0,0.37992716
6546.0,0.26770198
6638.0,0.29122967
6652.0,0.2629258
6742.0,0.3138845
6756.0,0.2261074
6850.0,0.3070052
6864.0,0.2565938
6954.0,0.35054144
6968.0,0.2677376
7060.0,0.35235244
7074.0,0.2245984
7168.0,0.32997617
7182.0,0.2538733
7276.0,0.22412123
7290.0,0.23519787
7384.0,0.3160655
7398.0,0.22296318
7494.0,0.20484899
7508.0,0.27970818
7604.0,0.20579068
7618.0,0.2240873
7716.0,0.2154362
7730.0,0.33439857
7828.0,0.28906292
7842.0,0.22073925
7942.0,0.22390303
7956.0,0.20951387
8056.0,0.20684074
8070.0,0.2626928
8172.0,0.1945065
8186.0,0.19827485
8286.0,0.22190388
8300.0,0.25652117
8402.0,0.18972312
8416.0,0.23291682
8520.0,0.1670037
8534.0,0.20890765
8638.0,0.20708688
8652.0,0.24739096
8756.0,0.191604
8770.0,0.18276073
8874.0,0.1672154
8888.0,0.233033
8992.0,0.18649316
9006.0,0.24206306
9112.0,0.22043362
9126.0,0.18315402
9232.0,0.19501735
9246.0,0.22823869
9354.0,0.17566809
9368.0,0.15607753
9474.0,0.20222494
9488.0,0.18147047
9594.0,0.18203092
9608.0,0.15780409
9716.0,0.19290698
9730.0,0.15621097
9840.0,0.17252052
9854.0,0.20556265
9962.0,0.19227767
9976.0,0.17274742
10086.0,0.15597083
10100.0,0.16943727
10212.0,0.17459165
10226.0,0.1734719
10336.0,0.13040741
10350.0,0.15221073
10462.0,0.14203124
10476.0,0.1850251
10590.0,0.16049261
10604.0,0.13791291
10718.0,0.15662783
10732.0,0.14007701
10844.0,0.14204969
10858.0,0.16136968
10970.0,0.1309948
10984.0,0.15137066
11098.0,0.16951567
11112.0,0.13544908
11226.0,0.13500707
11240.0,0.14050233
11354.0,0.15859097
11368.0,0.15929636
11482.0,0.17629802
11496.0,0.15801413
11612.0,0.15223671
11626.0,0.13313207
11742.0,0.15185365
11756.0,0.13072205
11870.0,0.14992401
11884.0,0.13588607
12000.0,0.14481132
12014.0,0.13801897
12132.0,0.13226068
12146.0,0.13769074
12262.0,0.13340697
12276.0,0.12675256
12392.0,0.12699755
12406.0,0.13449617
12522.0,0.1395642
12536.0,0.12584761
12654.0,0.13176277
12668.0,0.13531154
12784.0,0.13097541
12798.0,0.13083056
12916.0,0.12956865
12930.0,0.13019808
13046.0,0.13650809
13060.0,0.12670077
13178.0,0.13267152
13192.0,0.14546464
13310.0,0.12594317
13324.0,0.1430737
13442.0,0.13856114
13456.0,0.115657
13576.0,0.13128452
13590.0,0.12691778
13708.0,0.14002603
13722.0,0.11538642
13842.0,0.1271327
13856.0,0.13076878
13974.0,0.115560226
13988.0,0.12961689
14106.0,0.14506634
14120.0,0.12212649
14238.0,0.120892756
14252.0,0.12809141
14372.0,0.12005713
14386.0,0.11777416
14508.0,0.124540605
14522.0,0.12379052
14642.0,0.12167236
14656.0,0.11548513
14778.0,0.12011813
14792.0,0.1305526
14912.0,0.13433984
14926.0,0.13325329
15048.0,0.13535917
15062.0,0.12862758
15182.0,0.13525882
15196.0,0.117772326
15318.0,0.123617455
15332.0,0.11322234
15454.0,0.11341151
15468.0,0.11578939
15590.0,0.11491453
15604.0,0.11787326
15726.0,0.109210834
15740.0,0.11314893
15864.0,0.109299146
15878.0,0.13031414
16000.0,0.12645434
16014.0,0.1271921
