global_step,value
39.0,1.3822451
53.0,1.3812959
103.0,1.3707228
117.0,1.3252637
167.0,1.30434
181.0,1.3641595
233.0,1.363425
247.0,1.3527745
299.0,1.3545012
313.0,1.3705777
365.0,1.236321
379.0,1.3519543
433.0,1.3525004
447.0,1.3499948
501.0,1.2942052
515.0,1.3662941
571.0,1.325955
585.0,1.3378687
641.0,1.2932583
655.0,1.3215802
715.0,1.3070709
729.0,1.3384976
789.0,1.341902
803.0,1.2788056
863.0,1.2521018
877.0,1.3411127
939.0,1.2254483
953.0,1.2747686
1013.0,1.2416737
1027.0,1.2201966
1089.0,1.0349785
1103.0,1.251249
1165.0,1.0083613
1179.0,1.251375
1241.0,1.2562416
1255.0,1.0003947
1319.0,1.1790316
1333.0,0.965383
1397.0,1.0698835
1411.0,0.9966918
1475.0,0.9612269
1489.0,1.1234007
1553.0,0.99016064
1567.0,1.0586728
1633.0,1.1226695
1647.0,0.96153784
1711.0,1.0980948
1725.0,0.86996764
1791.0,0.8428156
1805.0,1.1253327
1871.0,0.8890304
1885.0,1.0560479
1951.0,1.2026244
1965.0,0.88324326
2033.0,0.82692844
2047.0,1.0115222
2113.0,0.82377505
2127.0,1.1534026
2195.0,1.2245941
2209.0,0.9709365
2277.0,0.9942813
2291.0,0.7676405
2359.0,0.68217725
2373.0,1.2417185
2441.0,0.9600371
2455.0,1.196869
2525.0,1.1217546
2539.0,0.6485184
2609.0,0.6235836
2623.0,1.0469488
2691.0,1.07196
2705.0,0.5906914
2775.0,1.0997922
2789.0,0.57398915
2859.0,0.5367095
2873.0,0.824536
2943.0,1.0591173
2957.0,0.773535
3027.0,0.9663205
3041.0,0.7510521
3113.0,0.4854033
3127.0,0.8821589
3197.0,0.8573505
3211.0,0.4778271
3281.0,0.65196484
3295.0,0.47782648
3367.0,0.6247063
3381.0,0.78279823
3453.0,0.6246981
3467.0,0.4274812
3537.0,0.60543287
3551.0,0.3639819
3623.0,0.3723045
3637.0,0.66192913
3709.0,0.74555856
3723.0,0.3641634
3795.0,0.6099649
3809.0,0.33991888
3881.0,0.5890291
3895.0,0.6684771
3969.0,0.7397111
3983.0,0.5254671
4055.0,0.37563396
4069.0,0.62607056
4143.0,0.6103838
4157.0,0.37921235
4231.0,0.55590296
4245.0,0.38677204
4321.0,0.65906936
4335.0,0.5271827
4409.0,0.45063248
4423.0,0.6292729
4501.0,0.4348489
4515.0,0.6728244
4591.0,0.2857315
4605.0,0.53695023
4685.0,0.6705852
4699.0,0.4449154
4777.0,0.5270609
4791.0,0.27495217
4869.0,0.28905958
4883.0,0.54975575
4961.0,0.4444257
4975.0,0.5144696
5055.0,0.4645387
5069.0,0.28465033
5149.0,0.41740462
5163.0,0.48123208
5243.0,0.4750268
5257.0,0.46581504
5339.0,0.26335186
5353.0,0.42089087
5433.0,0.2446631
5447.0,0.5520836
5531.0,0.51940835
5545.0,0.51159996
5627.0,0.23315598
5641.0,0.46434125
5727.0,0.20818223
5741.0,0.47221962
5825.0,0.23047191
5839.0,0.40994334
5923.0,0.4942214
5937.0,0.4012867
6021.0,0.42663234
6035.0,0.40403017
6123.0,0.43216068
6137.0,0.22353871
6225.0,0.20984372
6239.0,0.43689558
6327.0,0.20601486
6341.0,0.42477176
6429.0,0.4638596
6443.0,0.20230691
6533.0,0.4571616
6547.0,0.19666727
6639.0,0.43671933
6653.0,0.21279158
6743.0,0.39479518
6757.0,0.18569036
6851.0,0.40925032
6865.0,0.19868499
6955.0,0.5066239
6969.0,0.3836701
7061.0,0.43415692
7075.0,0.15862523
7169.0,0.45785525
7183.0,0.39833564
7277.0,0.17989868
7291.0,0.44183815
7385.0,0.4555069
7399.0,0.36821675
7495.0,0.18840137
7509.0,0.42607388
7605.0,0.18002424
7619.0,0.3851635
7717.0,0.3624912
7731.0,0.46051311
7829.0,0.4261319
7843.0,0.33442172
7943.0,0.3840195
7957.0,0.18752195
8057.0,0.16595973
8071.0,0.36199248
8173.0,0.17332837
8187.0,0.3184632
8287.0,0.32052827
8301.0,0.35433134
8403.0,0.18549229
8417.0,0.35016605
8521.0,0.1738973
8535.0,0.32512537
8639.0,0.31100798
8653.0,0.35928383
