global_step,value
2.0,-0.8286731
4.0,-0.8955987
6.0,-0.8367439
8.0,-0.9
10.0,-0.8170469
12.0,-0.8616603
14.0,-0.84145874
16.0,-0.8213014
18.0,-0.82213837
20.0,-0.8053383
22.0,-0.79672843
24.0,-0.7929697
26.0,-0.78169936
28.0,-0.7246377
30.0,-0.67568696
32.0,-0.6593951
62.0,-0.6865262
64.0,-0.64089745
66.0,-0.5969579
68.0,-0.6695201
70.0,-0.72729605
72.0,-0.6209948
74.0,-0.68688214
76.0,-0.6518447
78.0,-0.6725714
80.0,-0.61985815
82.0,-0.62101585
84.0,-0.6081883
86.0,-0.6456238
88.0,-0.61944443
90.0,-0.6448864
92.0,-0.65755206
94.0,-0.5712151
96.0,-0.61055017
126.0,-0.6433145
128.0,-0.6235142
130.0,-0.55262136
132.0,-0.6434783
134.0,-0.6413815
136.0,-0.62501585
138.0,-0.57915056
140.0,-0.6224127
142.0,-0.5481553
144.0,-0.60277253
146.0,-0.58410853
148.0,-0.49202335
150.0,-0.56420714
152.0,-0.6133721
154.0,-0.63194704
156.0,-0.5952751
158.0,-0.63141394
160.0,-0.5676394
190.0,-0.57069737
192.0,-0.5401152
194.0,-0.5444229
196.0,-0.56884736
198.0,-0.5697143
200.0,-0.57728446
202.0,-0.54758316
204.0,-0.5246433
206.0,-0.58005196
208.0,-0.62383646
210.0,-0.6346329
212.0,-0.59152544
214.0,-0.4680917
216.0,-0.54399747
218.0,-0.5926629
220.0,-0.4665372
222.0,-0.5868726
224.0,-0.6197674
226.0,-0.6443604
256.0,-0.63728154
258.0,-0.61241955
260.0,-0.6304743
262.0,-0.5079517
264.0,-0.6011342
266.0,-0.5142308
268.0,-0.62150747
270.0,-0.585642
272.0,-0.60573614
274.0,-0.554557
276.0,-0.6010417
278.0,-0.59816223
280.0,-0.5686312
282.0,-0.49766082
284.0,-0.57019234
286.0,-0.5587719
288.0,-0.626343
290.0,-0.54182756
292.0,-0.5461733
322.0,-0.5485714
324.0,-0.5716981
326.0,-0.49889538
328.0,-0.5419355
330.0,-0.61030996
332.0,-0.6185326
334.0,-0.59832364
336.0,-0.55510336
338.0,-0.5072243
340.0,-0.5714286
342.0,-0.55676377
344.0,-0.5912484
346.0,-0.4936446
348.0,-0.5194605
350.0,-0.50711536
352.0,-0.4972973
354.0,-0.55226976
356.0,-0.50436956
358.0,-0.49254978
388.0,-0.48070174
390.0,-0.50726575
392.0,-0.5001923
394.0,-0.5077213
396.0,-0.43645036
