global_step,value
38.0,1.6090312
52.0,1.6081998
98.0,1.6044683
112.0,1.6091592
158.0,1.5944594
172.0,1.5954717
220.0,1.5339653
234.0,1.5947081
284.0,1.4467578
298.0,1.5040485
346.0,1.4802476
360.0,1.3745731
412.0,1.368898
426.0,1.5730702
476.0,1.3422155
490.0,1.5347449
540.0,1.4042492
554.0,1.3287364
604.0,1.4174907
618.0,1.3189223
668.0,1.3991977
682.0,1.2992692
732.0,1.3751411
746.0,1.3738185
798.0,1.3944795
812.0,1.3086632
862.0,1.4438419
876.0,1.3406101
928.0,1.3428053
942.0,1.3905362
992.0,1.4047636
1006.0,1.3181319
1058.0,1.3348852
1072.0,1.356352
1122.0,1.3012404
1136.0,1.2639853
1188.0,1.3400977
1202.0,1.3981324
1252.0,1.2053449
1266.0,1.3345116
1318.0,1.4401104
1332.0,1.2558664
1382.0,1.3225331
1396.0,1.4153634
1448.0,1.3209264
1462.0,1.3104625
1514.0,1.2874686
1528.0,1.3712412
1580.0,1.315
1594.0,1.3692386
1644.0,1.3954055
1658.0,1.2776253
1710.0,1.3646228
1724.0,1.3145559
1776.0,1.3905684
1790.0,1.3659832
1840.0,1.363877
1854.0,1.3953987
1906.0,1.2174267
1920.0,1.3769376
1972.0,1.2337444
1986.0,1.2293801
2038.0,1.3257767
2052.0,1.3922168
2106.0,1.311106
2120.0,1.2674977
2172.0,1.3205572
2186.0,1.207073
2240.0,1.2736232
2254.0,1.2967246
2306.0,1.2425557
2320.0,1.2507974
2374.0,1.2914684
2388.0,1.1982675
2442.0,1.3100647
2456.0,1.2933753
2510.0,1.2759957
2524.0,1.1891043
2578.0,1.2898735
2592.0,1.2553244
2646.0,1.3356012
2660.0,1.2696465
2716.0,1.2233602
2730.0,1.293852
2784.0,1.0895175
2798.0,1.3138406
2854.0,1.3271894
2868.0,1.2679222
2922.0,1.293515
2936.0,1.2444218
2992.0,1.2294679
3006.0,1.2434243
3062.0,1.3005029
3076.0,1.291781
3132.0,1.0777973
3146.0,1.1170737
3204.0,1.1243416
3218.0,1.1132892
3274.0,1.2065288
3288.0,1.0564791
3346.0,0.91596615
3360.0,1.1608342
3418.0,1.0316015
3432.0,1.1729484
3490.0,1.3231825
3504.0,1.0495021
3562.0,1.1220345
3576.0,1.1176256
3634.0,1.0668449
3648.0,1.1864899
3706.0,1.0953317
3720.0,1.0148972
3778.0,1.1283783
3792.0,1.2224509
3850.0,1.1197336
3864.0,1.0730646
3924.0,0.99500585
3938.0,0.9349443
3996.0,1.1448464
4010.0,1.1141864
4070.0,1.0715058
4084.0,1.059727
4142.0,0.95376277
4156.0,1.0081135
4216.0,0.9231083
4230.0,1.0401477
4290.0,1.0331545
4304.0,1.0109382
4364.0,0.9929774
4378.0,1.0197588
4438.0,0.9612607
4452.0,1.0309342
4510.0,1.2292658
4524.0,1.0873945
4584.0,0.99877304
4598.0,0.9690467
4658.0,1.1221815
4672.0,1.0694939
4732.0,1.0524911
4746.0,1.1630702
4806.0,0.9718595
4820.0,0.9698339
4880.0,0.9692574
4894.0,1.0834472
4954.0,0.994108
4968.0,1.0147525
5028.0,0.9737562
5042.0,1.1073436
5104.0,0.8765955
5118.0,0.9761844
5178.0,0.91521305
5192.0,0.9190708
5252.0,0.9653439
5266.0,0.9944151
5328.0,0.91302526
5342.0,1.0085529
5402.0,0.975306
5416.0,0.9215551
5476.0,1.0000149
5490.0,1.0497577
5552.0,1.0158411
5566.0,1.0334504
5626.0,0.96002275
5640.0,0.9853811
5702.0,0.8528175
5716.0,0.9053731
5778.0,0.94203633
5792.0,0.95484936
5854.0,0.7673556
5868.0,0.9723901
5930.0,0.994846
5944.0,0.9186514
6004.0,0.9375786
6018.0,0.90674675
6080.0,0.9671304
6094.0,0.8234698
6156.0,0.9664756
6170.0,0.94084555
6232.0,0.96005213
6246.0,0.9433424
6308.0,0.9889095
6322.0,0.8935215
6384.0,0.87412405
6398.0,1.006349
6462.0,0.97792846
6476.0,0.96668476
6538.0,0.96779805
6552.0,0.9500162
6614.0,0.83763355
6628.0,0.8641387
6690.0,0.940792
6704.0,0.95259535
6766.0,0.85823226
6780.0,0.9548263
6842.0,0.83698964
6856.0,1.0044266
6920.0,0.89829016
6934.0,0.97160393
6998.0,0.7447619
7012.0,0.84824234
7074.0,0.8444588
7088.0,0.857149
7150.0,0.8940919
7164.0,0.844793
7228.0,0.8357088
7242.0,0.8748778
7306.0,0.82447904
7320.0,0.9672647
7384.0,0.95004237
7398.0,0.97074896
7460.0,0.91756785
7474.0,0.9281365
7538.0,0.946518
7552.0,0.9375867
7616.0,0.8776833
7630.0,0.7474834
7694.0,0.961457
7708.0,0.7892973
7772.0,0.93504477
7786.0,0.8058164
7850.0,0.828529
7864.0,0.94289696
7928.0,0.88499355
