global_step,value
39.0,1.3861309
53.0,1.3860167
99.0,1.3850467
113.0,1.3861268
159.0,1.3846855
173.0,1.3857137
221.0,1.3808718
235.0,1.3859547
285.0,1.3857526
299.0,1.3668859
347.0,1.3586897
361.0,1.3803408
413.0,1.3493233
427.0,1.3853036
477.0,1.3620712
491.0,1.3742205
541.0,1.3514949
555.0,1.3370962
605.0,1.382538
619.0,1.3117958
669.0,1.3274106
683.0,1.3694555
733.0,1.3074338
747.0,1.3467338
799.0,1.2752848
813.0,1.3319459
863.0,1.3327961
877.0,1.316814
929.0,1.2987024
943.0,1.3627034
993.0,1.3429185
1007.0,1.280579
1059.0,1.3095874
1073.0,1.3613318
1123.0,1.2877934
1137.0,1.2269721
1189.0,1.3423544
1203.0,1.3013569
1253.0,1.3169017
1267.0,1.2788045
1319.0,1.375317
1333.0,1.2512708
1383.0,1.2952787
1397.0,1.3474932
1449.0,1.3000195
1463.0,1.328647
1515.0,1.3558801
1529.0,1.3184514
1581.0,1.2572517
1595.0,1.310686
1645.0,1.3438493
1659.0,1.2392194
1711.0,1.3131872
1725.0,1.2434747
1777.0,1.2435808
1791.0,1.2401019
1841.0,1.3702481
1855.0,1.3449513
1907.0,1.3703737
1921.0,1.3765084
1973.0,1.2706609
1987.0,1.3650169
2039.0,1.3729141
2053.0,1.3421737
2107.0,1.2684413
2121.0,1.2045251
2173.0,1.3054658
2187.0,1.3799405
2241.0,1.3779975
2255.0,1.3755252
2307.0,1.3110067
2321.0,1.1530308
2375.0,1.1908361
2389.0,1.3132422
2443.0,1.3604336
2457.0,1.221398
2511.0,1.3439996
2525.0,1.3027318
2579.0,1.1952585
2593.0,1.3721263
2647.0,1.2509519
2661.0,1.2585655
2717.0,1.3659074
2731.0,1.2765629
2785.0,1.2855067
2799.0,1.3333006
2855.0,1.332539
2869.0,1.3114244
2923.0,1.2702612
2937.0,1.3164169
2993.0,1.335842
3007.0,1.1851252
3063.0,1.2854522
3077.0,1.3235135
3133.0,1.2386463
3147.0,1.3036069
3205.0,1.2492685
3219.0,1.0939158
3275.0,1.350498
3289.0,1.2345775
3347.0,1.3632144
3361.0,1.1179339
3419.0,1.3728427
3433.0,1.3014979
3491.0,1.3066409
3505.0,1.3706548
3563.0,1.2889469
3577.0,1.270165
3635.0,1.3259457
