global_step,value
2.0,-0.88932294
4.0,-0.84272844
6.0,-0.9006435
8.0,-0.85307693
10.0,-0.8832051
12.0,-0.86692405
14.0,-0.8516414
16.0,-0.88125
18.0,-0.84126985
20.0,-0.8793742
22.0,-0.83415556
24.0,-0.87030077
26.0,-0.84588826
28.0,-0.8448718
30.0,-0.82164824
32.0,-0.9149206
62.0,-0.8034461
64.0,-0.8243993
66.0,-0.822057
68.0,-0.8596201
70.0,-0.837037
72.0,-0.8283518
74.0,-0.8702448
76.0,-0.8299878
78.0,-0.8348596
80.0,-0.90075046
82.0,-0.8297264
84.0,-0.8706692
86.0,-0.8609681
88.0,-0.82745826
90.0,-0.85500306
92.0,-0.8649969
122.0,-0.8554264
124.0,-0.8181934
126.0,-0.8317152
128.0,-0.77666664
130.0,-0.81470215
132.0,-0.84605944
134.0,-0.8048733
136.0,-0.7565892
138.0,-0.85197955
140.0,-0.8115776
142.0,-0.819987
144.0,-0.791521
146.0,-0.80158424
148.0,-0.75506973
150.0,-0.8073371
152.0,-0.73594147
182.0,-0.821224
184.0,-0.7589942
186.0,-0.73680824
188.0,-0.807457
190.0,-0.71653897
192.0,-0.8434245
194.0,-0.78590226
196.0,-0.7885732
198.0,-0.82942307
200.0,-0.7699745
202.0,-0.8185256
204.0,-0.73120564
206.0,-0.7102662
208.0,-0.74666667
210.0,-0.7833015
212.0,-0.7248577
214.0,-0.7684769
244.0,-0.76873785
246.0,-0.7033854
248.0,-0.7072877
250.0,-0.84273016
252.0,-0.7442098
254.0,-0.7842767
256.0,-0.8249527
258.0,-0.78403574
260.0,-0.7068876
262.0,-0.7168532
264.0,-0.77433395
266.0,-0.70715666
268.0,-0.7623077
270.0,-0.7256066
272.0,-0.644358
274.0,-0.71996164
276.0,-0.6259259
278.0,-0.67071474
308.0,-0.6570622
310.0,-0.6985228
312.0,-0.7538023
314.0,-0.7140655
316.0,-0.6126743
318.0,-0.65395916
320.0,-0.72188294
322.0,-0.6014157
324.0,-0.7789883
326.0,-0.74545455
328.0,-0.67053235
330.0,-0.67823
332.0,-0.6662136
334.0,-0.66589
336.0,-0.82056737
338.0,-0.7432145
340.0,-0.68030596
370.0,-0.6091262
372.0,-0.71241957
374.0,-0.64277565
376.0,-0.61455935
378.0,-0.56084144
380.0,-0.66917634
382.0,-0.6848837
384.0,-0.65916663
386.0,-0.6547436
388.0,-0.66481483
390.0,-0.6780566
392.0,-0.63056093
394.0,-0.6161905
396.0,-0.69572157
398.0,-0.68893176
400.0,-0.61856866
402.0,-0.58232325
404.0,-0.5845261
406.0,-0.72372663
436.0,-0.6154333
438.0,-0.6690385
440.0,-0.72010374
442.0,-0.669402
444.0,-0.6116732
446.0,-0.63065135
448.0,-0.68021834
450.0,-0.6821012
452.0,-0.6922179
454.0,-0.63159585
456.0,-0.6803059
458.0,-0.5856958
460.0,-0.5553447
462.0,-0.66122705
464.0,-0.60941476
466.0,-0.5760814
468.0,-0.72338504
470.0,-0.55749524
500.0,-0.6688802
502.0,-0.59014714
504.0,-0.6496109
506.0,-0.6284069
508.0,-0.6782248
510.0,-0.5930841
512.0,-0.5642539
514.0,-0.61431295
516.0,-0.651702
518.0,-0.6505897
520.0,-0.6419173
522.0,-0.6802005
524.0,-0.5893308
526.0,-0.5918117
528.0,-0.67061406
530.0,-0.71605414
532.0,-0.6007078
534.0,-0.6839015
564.0,-0.55281466
566.0,-0.6387159
568.0,-0.70253414
570.0,-0.6414603
572.0,-0.61372167
574.0,-0.6016667
576.0,-0.66245955
578.0,-0.6354776
580.0,-0.6585761
582.0,-0.6256705
584.0,-0.65839744
586.0,-0.54374605
588.0,-0.62691826
590.0,-0.574891
592.0,-0.5653048
594.0,-0.60776514
596.0,-0.55855685
598.0,-0.59277886
628.0,-0.6323271
630.0,-0.59993637
632.0,-0.6826309
634.0,-0.63326824
636.0,-0.6331425
638.0,-0.71944445
640.0,-0.6423423
642.0,-0.67349935
644.0,-0.69435894
646.0,-0.6802445
648.0,-0.59470284
650.0,-0.64796907
652.0,-0.65455115
654.0,-0.5885214
656.0,-0.5610148
658.0,-0.5812657
660.0,-0.6571795
662.0,-0.62787414
692.0,-0.6318674
694.0,-0.6301494
696.0,-0.5512274
698.0,-0.5522417
700.0,-0.66408765
702.0,-0.6302205
704.0,-0.5716352
706.0,-0.6489624
708.0,-0.6274131
710.0,-0.58495855
712.0,-0.6828776
714.0,-0.6017812
716.0,-0.5987844
718.0,-0.6633911
720.0,-0.6165399
722.0,-0.57245547
724.0,-0.5293893
726.0,-0.6726463
756.0,-0.6191299
758.0,-0.57938015
760.0,-0.5747416
762.0,-0.6045132
764.0,-0.5963035
766.0,-0.6163522
768.0,-0.5606349
770.0,-0.61126214
772.0,-0.62121797
774.0,-0.61161333
776.0,-0.66447026
778.0,-0.58031744
780.0,-0.63946867
782.0,-0.6283879
