global_step,value
1154.0,1.5578263
1838.0,1.475631
2980.0,1.4707747
12476.0,1.2612219
13196.0,1.3488185
18968.0,1.3119475
21230.0,1.247193
22432.0,1.1807457
22576.0,1.2029264
23962.0,1.1531624
25416.0,1.1260926
27174.0,1.1054366
35560.0,0.9593281
36632.0,0.95053434
39428.0,0.92927235
39734.0,0.8678603
43354.0,0.8759707
44126.0,0.90399873
46686.0,0.87246364
55160.0,0.85142386
60398.0,0.9134564
67408.0,0.80919677
76660.0,0.77323145
80510.0,0.773779
87516.0,0.7234693
87600.0,0.705554
93318.0,0.7075491
101056.0,0.65446097
108248.0,0.56830627
113222.0,0.5530812
114420.0,0.60628146
115338.0,0.6223531
121206.0,0.5059512
122246.0,0.503362
122574.0,0.49106097
124634.0,0.4957657
131638.0,0.42059928
143164.0,0.47506234
145864.0,0.43291888
147664.0,0.40102726
150360.0,0.34613135
151282.0,0.39403346
151922.0,0.34931618
156034.0,0.39431667
158144.0,0.39779252
166312.0,0.38620946
167740.0,0.35540962
170676.0,0.33249372
171434.0,0.35701934
174882.0,0.32196006
182138.0,0.3629848
184210.0,0.32991514
185492.0,0.35519823
186384.0,0.35328692
188558.0,0.37683418
196022.0,0.34755263
198852.0,0.38998896
199668.0,0.31459835
199888.0,0.33658865
210902.0,0.3484352
211218.0,0.31386283
212166.0,0.286405
212468.0,0.31189877
215548.0,0.27839166
215958.0,0.30570778
220354.0,0.32582158
231076.0,0.27546445
244054.0,0.2771267
247862.0,0.2505738
256624.0,0.25768438
267732.0,0.2512483
268198.0,0.23948078
274750.0,0.23182797
278866.0,0.21278563
289192.0,0.20412228
296606.0,0.20775941
309048.0,0.19665825
309156.0,0.18097761
313424.0,0.18751043
314294.0,0.20687355
321158.0,0.18869448
331512.0,0.1719493
333268.0,0.18586569
338860.0,0.1727281
340622.0,0.1780663
343130.0,0.16723311
359902.0,0.15525356
392574.0,0.15692098
395158.0,0.14762628
395404.0,0.14637235
396324.0,0.15463814
401356.0,0.1479905
409300.0,0.13601118
409934.0,0.14996383
411750.0,0.15444836
412142.0,0.14784992
413714.0,0.12810591
418788.0,0.14238448
423206.0,0.11625127
423728.0,0.13834114
431062.0,0.13441414
431322.0,0.13195617
433010.0,0.15005866
436802.0,0.12980214
445326.0,0.12130616
450330.0,0.13486806
451106.0,0.12869766
452554.0,0.124092005
454262.0,0.14093581
454672.0,0.1389235
456386.0,0.13046917
463240.0,0.11580076
472218.0,0.1286861
475800.0,0.14781497
485514.0,0.123179324
492962.0,0.11412947
499234.0,0.12729356
503638.0,0.11939905
508742.0,0.1258048
519350.0,0.13240546
523778.0,0.12850218
528896.0,0.13032079
538792.0,0.13809708
578454.0,0.11773882
603348.0,0.1207385
604330.0,0.1036247
608324.0,0.11324854
608614.0,0.11267204
623842.0,0.106363244
633576.0,0.12278587
643338.0,0.12321066
646968.0,0.108349405
657896.0,0.11437819
668246.0,0.099543355
674517.0,0.1719813
675231.0,0.19518831
680835.0,0.15388833
690507.0,0.16512
699225.0,0.17643389
704313.0,0.1556016
708201.0,0.1517843
714615.0,0.15988123
717837.0,0.1642914
720137.0,0.126616
730491.0,0.15620278
746231.0,0.13889264
748255.0,0.13889563
755709.0,0.14820911
769021.0,0.13946387
784927.0,0.13738796
796445.0,0.11439639
797783.0,0.12280388
808739.0,0.12585044
810553.0,0.12160835
810795.0,0.11537828
811637.0,0.119936585
811985.0,0.118834
812225.0,0.11615838
824065.0,0.11829711
828311.0,0.11812742
831691.0,0.12071638
840429.0,0.11523475
840915.0,0.11608328
846003.0,0.11361328
878397.0,0.10621699
880719.0,0.10437502
886113.0,0.109277494
887453.0,0.097000904
904209.0,0.09693632
908879.0,0.085352495
912439.0,0.09186092
915611.0,0.102821864
919537.0,0.091944955
928999.0,0.09232566
930351.0,0.09200133
930487.0,0.094648995
931101.0,0.1024206
940813.0,0.0927058
941557.0,0.09804167
941817.0,0.08422677
961049.0,0.09947062
964773.0,0.0950982
966259.0,0.09619039
972813.0,0.086483695
983197.0,0.10752669
984933.0,0.09394571
987799.0,0.09833712
994971.0,0.08887889
1006503.0,0.08739502
1022045.0,0.08511097
1046941.0,0.07401089
1076285.0,0.08626916
1077147.0,0.08567436
1078647.0,0.0828986
1084279.0,0.08585684
1096641.0,0.06880353
1101159.0,0.07821734
1102019.0,0.082972124
1102267.0,0.07400232
1104661.0,0.084129356
1114693.0,0.0775049
1123969.0,0.073891655
1128223.0,0.08418278
1137893.0,0.07444439
1142561.0,0.07093091
1149853.0,0.08888759
1157647.0,0.076142386
1162035.0,0.07409988
1165545.0,0.07382174
1167827.0,0.081779405
