global_step,value
587.0,1.3833901
5435.0,1.3259952
10669.0,1.3205793
12545.0,1.322735
12931.0,1.3266773
18829.0,1.1732312
30107.0,1.2634397
30491.0,1.2809851
31441.0,1.2403798
35953.0,1.1505772
41967.0,1.2140611
49887.0,1.2053314
55147.0,1.1836245
58401.0,1.2522249
60333.0,1.2519991
76417.0,1.346889
80593.0,1.3534833
86019.0,1.3334799
86939.0,1.3276558
90985.0,1.3153211
91081.0,1.3147696
95145.0,1.2850335
102309.0,1.1425949
103717.0,1.1553842
104319.0,1.176245
107073.0,1.175269
109849.0,1.1267537
115507.0,1.0940788
125321.0,0.88228333
133047.0,0.7761628
133121.0,0.7930108
134779.0,0.6721214
135739.0,0.6907256
135929.0,0.6862043
143447.0,0.64710605
146675.0,0.6412585
148749.0,0.59586596
150103.0,0.5454062
157045.0,0.5975852
159897.0,0.5827292
163785.0,0.5250539
165675.0,0.5036131
178355.0,0.48864412
180771.0,0.48629713
186273.0,0.49351582
188473.0,0.45000526
196415.0,0.5051034
201209.0,0.47272867
213417.0,0.38522086
215015.0,0.4106867
216705.0,0.3723851
218643.0,0.39175293
224129.0,0.39808506
225845.0,0.36647478
231419.0,0.399255
232189.0,0.42032036
240151.0,0.39985764
248089.0,0.39382818
269819.0,0.3248998
278633.0,0.32043117
280509.0,0.3624366
297193.0,0.3462255
300451.0,0.36250225
304441.0,0.4032949
311229.0,0.37038085
326443.0,0.36578122
346275.0,0.36216092
363727.0,0.36696938
367803.0,0.33354536
370355.0,0.36120823
376743.0,0.3764222
389597.0,0.33615452
402929.0,0.35904416
407725.0,0.34310213
411361.0,0.33453035
414497.0,0.3383926
421379.0,0.33120325
432747.0,0.27090275
443491.0,0.22486426
456373.0,0.22185981
460193.0,0.23125805
469179.0,0.21711563
473955.0,0.20987706
474355.0,0.21608622
477273.0,0.25099465
480981.0,0.2266519
485233.0,0.22273082
487513.0,0.22706571
489495.0,0.24090968
505795.0,0.21607272
512749.0,0.22396292
514241.0,0.2137419
517045.0,0.22206733
531195.0,0.24210632
532017.0,0.26622206
537841.0,0.25060615
542711.0,0.24987121
549655.0,0.23600087
556323.0,0.24470325
563815.0,0.24924983
587795.0,0.22884434
589307.0,0.22975022
590951.0,0.20659527
593847.0,0.18601407
612345.0,0.24682161
613575.0,0.25757757
623007.0,0.23493885
637617.0,0.25618944
640423.0,0.24543229
645851.0,0.24777202
646131.0,0.235453
649079.0,0.21949503
658877.0,0.23529322
659423.0,0.24368046
681064.0,0.24083227
686780.0,0.26534164
693730.0,0.23788354
703192.0,0.24399233
711978.0,0.26018438
720152.0,0.20317481
721770.0,0.24481314
728754.0,0.24876437
728856.0,0.24773674
743532.0,0.21869649
766280.0,0.23991823
773914.0,0.23114108
779770.0,0.24415646
781456.0,0.23845488
783130.0,0.2258231
787554.0,0.23433611
789248.0,0.21827902
811144.0,0.24182102
814998.0,0.24209976
815722.0,0.23544393
820088.0,0.25140885
820436.0,0.2223974
825894.0,0.2211591
830966.0,0.24640904
841282.0,0.23424204
845636.0,0.2298645
846140.0,0.26265514
850636.0,0.2262765
853542.0,0.22762941
857684.0,0.2260301
859022.0,0.24260171
893790.0,0.26377627
897830.0,0.28008002
904946.0,0.2684462
912548.0,0.26331002
915000.0,0.2718168
921640.0,0.2752224
923590.0,0.26625973
932934.0,0.29316324
933684.0,0.30768266
938226.0,0.33644676
941804.0,0.29105246
942176.0,0.3057404
942916.0,0.299805
965380.0,0.29583317
974036.0,0.27777058
975518.0,0.3049429
999314.0,0.2911602
1024274.0,0.264914
1024412.0,0.28991616
1035848.0,0.22727987
1043702.0,0.26909578
1060278.0,0.26924622
1071390.0,0.2369605
1088278.0,0.24878499
1091780.0,0.24324997
1119460.0,0.2188833
1125088.0,0.2536627
1129348.0,0.20404145
1133006.0,0.21384154
1139150.0,0.17842257
1139542.0,0.19154444
1146710.0,0.2001865
1148454.0,0.1725164
1148832.0,0.18597785
1150484.0,0.18213205
1156122.0,0.16933523
1157002.0,0.19216682
1160404.0,0.18621466
1162664.0,0.18749508
1162790.0,0.17592089
1164666.0,0.19463365
1171212.0,0.1984617
