global_step,value
0.0,0.0
1.0,0.0
2.0,15360.0
3.0,15360.0
4.0,30720.0
5.0,30720.0
6.0,46080.0
7.0,46080.0
8.0,61440.0
9.0,61440.0
10.0,76800.0
11.0,76800.0
12.0,92160.0
13.0,92160.0
14.0,107520.0
15.0,107520.0
16.0,122880.0
17.0,122880.0
18.0,138240.0
19.0,138240.0
20.0,153600.0
21.0,153600.0
22.0,168960.0
23.0,168960.0
24.0,184320.0
25.0,184320.0
26.0,199680.0
27.0,199680.0
28.0,215040.0
29.0,215040.0
30.0,230400.0
31.0,230400.0
32.0,245760.0
33.0,245760.0
34.0,245760.0
35.0,245760.0
36.0,245760.0
37.0,245760.0
38.0,245760.0
39.0,245760.0
40.0,245760.0
41.0,245760.0
42.0,245760.0
43.0,245760.0
44.0,245760.0
45.0,245760.0
46.0,245760.0
47.0,245760.0
48.0,245760.0
49.0,245760.0
50.0,245760.0
51.0,245760.0
52.0,245760.0
53.0,245760.0
54.0,245760.0
55.0,245760.0
56.0,245760.0
57.0,245760.0
58.0,245760.0
59.0,245760.0
60.0,245760.0
61.0,245760.0
62.0,261120.0
63.0,261120.0
64.0,276480.0
65.0,276480.0
66.0,291840.0
67.0,291840.0
68.0,307200.0
69.0,307200.0
70.0,322560.0
71.0,322560.0
72.0,337920.0
73.0,337920.0
74.0,353280.0
75.0,353280.0
76.0,368640.0
77.0,368640.0
78.0,384000.0
79.0,384000.0
80.0,399360.0
81.0,399360.0
82.0,414720.0
83.0,414720.0
84.0,430080.0
85.0,430080.0
86.0,445440.0
87.0,445440.0
88.0,460800.0
89.0,460800.0
90.0,476160.0
91.0,476160.0
92.0,491520.0
93.0,491520.0
94.0,491520.0
95.0,491520.0
96.0,491520.0
97.0,491520.0
98.0,491520.0
99.0,491520.0
100.0,491520.0
101.0,491520.0
102.0,491520.0
103.0,491520.0
104.0,491520.0
105.0,491520.0
106.0,491520.0
107.0,491520.0
108.0,491520.0
109.0,491520.0
110.0,491520.0
111.0,491520.0
112.0,491520.0
113.0,491520.0
114.0,491520.0
115.0,491520.0
116.0,491520.0
117.0,491520.0
118.0,491520.0
119.0,491520.0
120.0,491520.0
121.0,491520.0
122.0,506368.0
123.0,506368.0
124.0,521216.0
125.0,521216.0
126.0,535552.0
127.0,535552.0
128.0,550400.0
129.0,550400.0
130.0,565248.0
131.0,565248.0
132.0,579584.0
133.0,579584.0
134.0,593920.0
135.0,593920.0
136.0,608256.0
137.0,608256.0
138.0,623104.0
139.0,623104.0
140.0,637440.0
141.0,637440.0
142.0,651776.0
143.0,651776.0
144.0,666112.0
145.0,666112.0
146.0,680448.0
147.0,680448.0
148.0,694784.0
149.0,694784.0
150.0,709632.0
151.0,709632.0
152.0,723968.0
153.0,723968.0
154.0,737280.0
155.0,737280.0
156.0,737280.0
157.0,737280.0
158.0,737280.0
159.0,737280.0
160.0,737280.0
161.0,737280.0
162.0,737280.0
163.0,737280.0
164.0,737280.0
165.0,737280.0
166.0,737280.0
167.0,737280.0
168.0,737280.0
169.0,737280.0
170.0,737280.0
171.0,737280.0
172.0,737280.0
173.0,737280.0
174.0,737280.0
175.0,737280.0
176.0,737280.0
177.0,737280.0
178.0,737280.0
179.0,737280.0
180.0,737280.0
181.0,737280.0
182.0,738304.0
183.0,738304.0
184.0,752640.0
185.0,752640.0
186.0,766976.0
187.0,766976.0
188.0,781312.0
189.0,781312.0
190.0,795648.0
191.0,795648.0
192.0,810496.0
193.0,810496.0
194.0,824832.0
195.0,824832.0
196.0,839680.0
197.0,839680.0
198.0,854016.0
199.0,854016.0
200.0,868864.0
201.0,868864.0
202.0,883712.0
203.0,883712.0
204.0,897536.0
205.0,897536.0
206.0,911872.0
207.0,911872.0
208.0,926208.0
