global_step,value
6393.0,1.3790247
8497.0,1.3617479
15415.0,1.2966758
19703.0,1.3166416
21787.0,1.3142195
27207.0,1.2946174
34781.0,1.249913
50037.0,1.2447557
52551.0,1.2231758
54073.0,1.2058109
58707.0,1.1118094
59669.0,1.0715724
68907.0,0.9720417
71753.0,1.0016482
76763.0,0.98110205
82145.0,0.9306882
87313.0,1.003358
93243.0,0.9666873
98027.0,0.99911815
99795.0,0.9736027
101819.0,0.92364854
103241.0,0.89187455
107075.0,0.8958396
109459.0,0.90254205
128125.0,0.6482789
129777.0,0.6989671
132885.0,0.6221548
133771.0,0.6095437
134375.0,0.63644475
135619.0,0.6175766
136433.0,0.63428074
141451.0,0.65952665
145095.0,0.59520084
152661.0,0.50078446
156469.0,0.51983935
157501.0,0.5107047
160357.0,0.52477884
161023.0,0.51583654
164745.0,0.47073594
166661.0,0.46430308
170841.0,0.47743213
175847.0,0.39546576
187279.0,0.4363632
197405.0,0.4426651
199605.0,0.45885137
205859.0,0.42697674
207031.0,0.46223214
221413.0,0.43497828
228287.0,0.4242184
231967.0,0.41091186
244675.0,0.30749786
252593.0,0.349
253171.0,0.35999224
253405.0,0.33547124
253639.0,0.3336189
254115.0,0.36199087
254581.0,0.33251005
255509.0,0.33049288
258877.0,0.31499174
260067.0,0.30786985
265551.0,0.35634944
268159.0,0.3215842
268515.0,0.31562746
283049.0,0.312565
284615.0,0.31343558
285229.0,0.3450472
286197.0,0.32258472
290537.0,0.38075203
299315.0,0.34436238
301783.0,0.32793134
313121.0,0.337673
315345.0,0.3340641
321461.0,0.33656922
335481.0,0.2959527
338613.0,0.32201454
346997.0,0.2971616
352477.0,0.324304
352731.0,0.31265783
353879.0,0.31641892
373499.0,0.30198598
376839.0,0.33425382
383041.0,0.30806985
386391.0,0.27840072
387181.0,0.26629236
394847.0,0.28734845
407607.0,0.2703856
410241.0,0.32382345
419803.0,0.28607285
425865.0,0.23318423
429303.0,0.2612203
431025.0,0.25204238
433939.0,0.24696647
446257.0,0.23939255
449451.0,0.27192232
449847.0,0.3103947
455189.0,0.2354009
459997.0,0.24338827
462151.0,0.24763368
473171.0,0.24088076
473423.0,0.23911951
476247.0,0.24198852
480151.0,0.2562376
504769.0,0.21576479
505445.0,0.21038139
524451.0,0.21561028
561021.0,0.23369685
561719.0,0.19354524
574797.0,0.1993544
582181.0,0.19748588
582459.0,0.21579713
592671.0,0.20080347
607961.0,0.21621032
614557.0,0.20827235
616241.0,0.19542922
616383.0,0.20950583
624401.0,0.20180361
638959.0,0.20803848
642371.0,0.19853312
644481.0,0.20092802
653849.0,0.20776851
656811.0,0.2009925
659789.0,0.20005466
660785.0,0.20121135
662789.0,0.2211476
677429.0,0.22176798
679121.0,0.22529589
688166.0,0.23674408
706112.0,0.23686226
709880.0,0.25301194
713884.0,0.24827546
718040.0,0.24473797
721530.0,0.22031613
729478.0,0.22583418
738054.0,0.21922112
745288.0,0.22864358
746948.0,0.23490542
749668.0,0.23554666
753238.0,0.22862923
758010.0,0.2237306
764826.0,0.21974887
766038.0,0.23724508
773466.0,0.24346605
777318.0,0.23652253
779122.0,0.23875627
781392.0,0.25685048
781634.0,0.23627166
793458.0,0.23672305
795252.0,0.22499646
795508.0,0.22636965
804578.0,0.22516191
806878.0,0.23184663
819854.0,0.21572648
820932.0,0.22825348
821418.0,0.22271445
823862.0,0.22148864
825672.0,0.23910628
826644.0,0.21618165
838452.0,0.23441575
846404.0,0.22059537
860584.0,0.21401018
861306.0,0.21621577
865470.0,0.22120927
867326.0,0.23048806
877854.0,0.21663341
882394.0,0.21985963
889534.0,0.20799795
890270.0,0.20920303
893824.0,0.22957395
899870.0,0.20373134
901582.0,0.20740357
908118.0,0.22088495
914030.0,0.21242492
932664.0,0.20189129
934412.0,0.2129216
974180.0,0.21085015
977304.0,0.21468212
983874.0,0.20595893
984740.0,0.20319007
990472.0,0.21779856
996798.0,0.2089773
1010248.0,0.2316816
1012248.0,0.20322126
1012372.0,0.23005196
1014618.0,0.22443219
1015378.0,0.21951374
1016614.0,0.20237345
1017486.0,0.21114063
1020366.0,0.21317215
1021726.0,0.21411306
1034974.0,0.20066881
1035476.0,0.1935454
1046632.0,0.19621083
1055266.0,0.18526572
1057412.0,0.1897162
1057916.0,0.18713337
1062430.0,0.20335378
1063046.0,0.19774319
1063422.0,0.20767082
1063800.0,0.18985972
1067568.0,0.20242509
1070464.0,0.20830488
1073980.0,0.19695672
1099740.0,0.18073407
1109170.0,0.20811604
1115996.0,0.21628672
1116752.0,0.22139756
1153962.0,0.18068756
1154988.0,0.20121557
1159544.0,0.19494493
1169656.0,0.17747405
1172314.0,0.18959072
1175476.0,0.16865316
1178248.0,0.18031107
