global_step,value
1587.0,1.3700207
7229.0,1.3054686
8417.0,1.2966434
16455.0,1.2171707
16949.0,1.215641
21631.0,0.9394258
28557.0,0.8509035
32941.0,1.0547845
33075.0,1.0417545
35347.0,1.1862066
39433.0,1.1714976
41277.0,1.1829889
41987.0,1.1765851
46171.0,1.2028865
47833.0,1.2205634
50831.0,1.2437063
51137.0,1.2453578
53997.0,1.2536021
62781.0,1.1188152
63271.0,1.1337506
64229.0,1.1308371
76147.0,1.0646945
81281.0,1.0042624
85565.0,1.0168471
85971.0,1.0066423
89017.0,0.99570733
93193.0,0.9706404
95765.0,0.95501065
102683.0,0.84923095
103539.0,0.8151623
106149.0,0.79389405
112133.0,0.8214405
113899.0,0.79932857
122293.0,0.70659214
128547.0,0.68378127
129115.0,0.7161774
129207.0,0.70215404
129755.0,0.6590955
132049.0,0.69659567
137503.0,0.6391275
145343.0,0.5649643
155739.0,0.5951243
158975.0,0.57285154
159073.0,0.5668458
162165.0,0.5392343
164653.0,0.5118527
173521.0,0.51386434
179549.0,0.48238918
191805.0,0.5026198
191927.0,0.50005555
195349.0,0.5107091
207249.0,0.52935416
208361.0,0.5336762
211463.0,0.5750296
215273.0,0.51501685
227743.0,0.4943415
232589.0,0.4773092
233629.0,0.4972034
237797.0,0.47124985
246101.0,0.4578715
258251.0,0.41620556
261115.0,0.37086752
266023.0,0.38364458
279305.0,0.34585527
280051.0,0.35404655
285035.0,0.35900414
287509.0,0.3326223
295365.0,0.35413128
295739.0,0.34652165
301829.0,0.31736284
306321.0,0.29182938
314159.0,0.31256154
315553.0,0.31060383
319685.0,0.2852137
332083.0,0.28542224
333085.0,0.27266243
339577.0,0.2522029
343891.0,0.31283697
361147.0,0.2578755
361545.0,0.2625881
373905.0,0.22388119
381281.0,0.18477009
381411.0,0.17819333
394019.0,0.21366315
397415.0,0.19932084
397795.0,0.17346855
399115.0,0.17549597
403281.0,0.22705081
422913.0,0.24442701
433933.0,0.22022337
441577.0,0.2549497
456279.0,0.22066368
458543.0,0.216412
463707.0,0.2135043
464121.0,0.21770473
484905.0,0.25408852
489461.0,0.25295058
492673.0,0.23322791
503133.0,0.26951715
509611.0,0.2440633
524433.0,0.21187958
527949.0,0.2287378
528641.0,0.24305733
529303.0,0.24205941
541905.0,0.19619612
549109.0,0.21292166
549259.0,0.19710405
563149.0,0.20563138
565071.0,0.23600145
566153.0,0.21318331
569683.0,0.19323424
573231.0,0.19509843
577747.0,0.21292296
581315.0,0.19264221
584735.0,0.18889603
589265.0,0.1758967
597095.0,0.18956815
604105.0,0.18035696
607405.0,0.19683838
607557.0,0.18762305
610443.0,0.19200829
611529.0,0.19619614
615395.0,0.18995214
620923.0,0.18754657
625083.0,0.1808118
628673.0,0.1975428
634497.0,0.20430575
637827.0,0.17794926
643223.0,0.19197786
648937.0,0.19962665
649063.0,0.19888672
664371.0,0.17652674
665757.0,0.1916894
674815.0,0.1861931
675231.0,0.19421773
701082.0,0.24851292
713420.0,0.24975452
718076.0,0.24707282
719528.0,0.25900453
723776.0,0.22287472
724896.0,0.23210548
726236.0,0.23088966
729398.0,0.23257497
745360.0,0.21803695
759110.0,0.19448723
774830.0,0.211611
783166.0,0.1989833
791654.0,0.184505
798258.0,0.20673645
799780.0,0.23973672
800976.0,0.20140891
801314.0,0.20231201
802968.0,0.18858089
814580.0,0.17585236
829466.0,0.16844809
836740.0,0.20416938
838048.0,0.16829576
847978.0,0.17543146
855754.0,0.17495815
862102.0,0.18132837
867990.0,0.1739348
871712.0,0.17917366
875554.0,0.18558162
877466.0,0.16826646
885180.0,0.1718187
886248.0,0.16702993
896374.0,0.18510145
901824.0,0.18344064
902562.0,0.1619042
906802.0,0.14899938
910912.0,0.17070289
911760.0,0.15676494
922064.0,0.14818858
928744.0,0.1475297
929716.0,0.1485464
937356.0,0.174111
938318.0,0.15498374
940280.0,0.1467647
941970.0,0.14955509
943924.0,0.14751469
950864.0,0.14967676
952584.0,0.13563757
975186.0,0.15816152
982994.0,0.15024729
985944.0,0.16531946
987154.0,0.15536693
991444.0,0.17367104
993660.0,0.1549822
1000274.0,0.15968016
1005162.0,0.17007805
1013752.0,0.16961418
1016344.0,0.16134404
1019522.0,0.17508219
1020766.0,0.15319099
1021610.0,0.15799992
1028498.0,0.16489102
1029742.0,0.1508806
1034156.0,0.1521712
1035894.0,0.16788165
1037738.0,0.15088324
1047808.0,0.1795741
1051270.0,0.16518795
1057918.0,0.15412249
1060242.0,0.23097932
1066176.0,0.16588894
1067280.0,0.15204266
1072236.0,0.14138356
1081104.0,0.16722201
1085070.0,0.13425909
1091974.0,0.14079784
1098542.0,0.15997389
1102112.0,0.1456337
1110166.0,0.14045696
1121540.0,0.16710995
1126634.0,0.14927356
1128492.0,0.1489702
1140516.0,0.16962244
1144494.0,0.1700625
1144728.0,0.16254425
1166830.0,0.14739932
