global_step,value
12630.0,1.3708483
13162.0,1.2987076
16400.0,1.2877415
16864.0,1.3265306
18466.0,1.3162702
18660.0,1.3059938
21772.0,1.349065
22626.0,1.1617543
23484.0,1.175554
26726.0,1.1216736
30034.0,1.0863277
38530.0,0.97590685
41430.0,0.9339288
44918.0,0.87468946
45074.0,0.90460783
53758.0,0.8955465
54090.0,0.9091602
56400.0,0.8915556
60192.0,0.85188574
60826.0,0.87526023
64324.0,0.80741274
67084.0,0.7841159
67574.0,0.8428264
73408.0,0.77018094
93120.0,0.7389795
95164.0,0.7336055
95936.0,0.75661814
99554.0,0.55479825
99812.0,0.6744132
102060.0,0.6566835
102422.0,0.70742863
103626.0,0.75276566
104420.0,0.4890912
106936.0,0.68747723
109230.0,0.77614594
110460.0,0.7531572
110620.0,0.7240883
111602.0,0.7373621
119938.0,0.65230185
122640.0,0.6130722
124734.0,0.56447136
129570.0,0.5026923
143056.0,0.4567224
158084.0,0.4091096
165882.0,0.41048062
171366.0,0.3721112
171572.0,0.4252487
180806.0,0.3833216
182472.0,0.32641533
187124.0,0.30504978
187232.0,0.32939118
193002.0,0.3634462
214152.0,0.2966731
215848.0,0.29975492
225458.0,0.21963653
231424.0,0.21789043
234790.0,0.23891628
237782.0,0.24020533
240480.0,0.22574264
242578.0,0.25172186
243044.0,0.24200822
247968.0,0.20977907
257310.0,0.20611015
258486.0,0.2124356
264702.0,0.18773803
265076.0,0.19724892
278464.0,0.21263178
290696.0,0.17946635
315160.0,0.16568242
316038.0,0.1716722
318442.0,0.16513711
321080.0,0.15912285
328028.0,0.13978837
344798.0,0.13794492
350398.0,0.13363552
350666.0,0.14326482
374550.0,0.14081126
382716.0,0.1398578
389580.0,0.12444106
390878.0,0.12240151
399100.0,0.11707233
422390.0,0.109235615
431298.0,0.11399432
435496.0,0.11849087
436560.0,0.12290822
438806.0,0.12237179
446188.0,0.10289964
452558.0,0.10112717
465712.0,0.11088238
468888.0,0.11357079
472212.0,0.10995706
484918.0,0.10250019
505166.0,0.12031135
512172.0,0.09738401
514594.0,0.100960195
521884.0,0.09521517
543398.0,0.09937683
555648.0,0.09985633
561252.0,0.087530695
566712.0,0.095411256
569136.0,0.08343814
574058.0,0.08783457
591720.0,0.09157952
595840.0,0.087297045
600812.0,0.08826006
605084.0,0.08665218
621072.0,0.08655621
622998.0,0.087231755
644070.0,0.0873203
671310.0,0.08778336
675790.0,0.078760795
683176.0,0.07624539
683736.0,0.07425838
690365.0,0.1268721
699719.0,0.11525682
704407.0,0.11923837
709259.0,0.12107836
719513.0,0.11927942
729181.0,0.12871525
736317.0,0.11728359
741363.0,0.123369455
747205.0,0.1053785
751111.0,0.094995864
757833.0,0.106034786
758747.0,0.098257974
760719.0,0.10249507
763389.0,0.10593903
764669.0,0.09229863
767703.0,0.11045597
771335.0,0.10801469
781753.0,0.09029183
788237.0,0.11095829
789523.0,0.104308866
796605.0,0.08428816
801551.0,0.09499694
813747.0,0.086698934
821707.0,0.0819156
824085.0,0.089181684
830403.0,0.09474602
845463.0,0.08502389
852761.0,0.08739596
859327.0,0.0803673
871107.0,0.07040342
884203.0,0.07753934
892041.0,0.09361899
907515.0,0.09222979
911275.0,0.07450835
913707.0,0.07960013
915991.0,0.08297048
945761.0,0.088449635
966609.0,0.085911654
972249.0,0.069437586
977385.0,0.07195519
982025.0,0.06875889
1007983.0,0.075463
1017819.0,0.07081752
1036141.0,0.074155256
1038215.0,0.06876842
1057413.0,0.07635828
1057549.0,0.067734644
1063097.0,0.06650013
1065817.0,0.07860823
1080127.0,0.058144584
1086293.0,0.07317353
1091495.0,0.06687726
1126869.0,0.0690733
1130467.0,0.06828827
1134057.0,0.071973726
1143381.0,0.05958856
1148585.0,0.06847681
1164335.0,0.074666716
