global_step,value
38.0,1.608338
52.0,1.609091
98.0,1.6027241
112.0,1.6056417
158.0,1.5426995
172.0,1.6080694
222.0,1.5532824
236.0,1.5867618
284.0,1.4823045
298.0,1.5724448
348.0,1.5503963
362.0,1.5353723
412.0,1.3290629
426.0,1.5057051
476.0,1.3318815
490.0,1.4355422
540.0,1.4622067
554.0,1.2596337
604.0,1.360524
618.0,1.3498054
670.0,1.483071
684.0,1.3536111
734.0,1.3428422
748.0,1.3273938
800.0,1.3101788
814.0,1.3087527
864.0,1.2674447
878.0,1.3112262
930.0,1.3044246
944.0,1.3326871
996.0,1.3117086
1010.0,1.3866731
1062.0,1.3435009
1076.0,1.3572518
1126.0,1.2974513
1140.0,1.2853408
1192.0,1.2862219
1206.0,1.2542347
1258.0,1.2642093
1272.0,1.2211655
1324.0,1.2279351
1338.0,1.3771516
1390.0,1.2190661
1404.0,1.3472242
1456.0,1.2475368
1470.0,1.2151688
1522.0,1.2395544
1536.0,1.2586116
1588.0,1.3374885
1602.0,1.2795633
1654.0,1.3216218
1668.0,1.3778926
1722.0,1.2772251
1736.0,1.3285087
1788.0,1.260795
1802.0,1.3089079
1856.0,1.3352057
1870.0,1.2908949
1922.0,1.326547
1936.0,1.3148756
1990.0,1.3074313
2004.0,1.3489116
2058.0,1.325583
2072.0,1.255615
2126.0,1.3026506
2140.0,1.2798989
2194.0,1.329198
2208.0,1.2271532
2262.0,1.2896624
2276.0,1.2865824
2330.0,1.3204522
2344.0,1.2025237
2400.0,1.2806758
2414.0,1.1124538
2468.0,1.3130277
2482.0,1.3038473
2538.0,1.2927898
2552.0,1.052195
2606.0,1.267066
2620.0,1.2538106
2676.0,1.3082244
2690.0,1.2350191
2746.0,1.2472247
2760.0,1.3548226
2816.0,1.2994568
2830.0,1.224316
2886.0,1.3583214
2900.0,1.2502419
2958.0,1.2161233
2972.0,1.332407
3028.0,1.2313169
3042.0,1.2685243
3100.0,1.2361726
3114.0,1.2085482
3172.0,1.1930674
3186.0,0.970388
3244.0,1.2018533
3258.0,1.1022274
3314.0,1.2064619
3328.0,1.1963938
3386.0,1.047129
3400.0,1.066995
3458.0,1.0881989
3472.0,1.0728091
3532.0,1.2660091
3546.0,1.0497409
3604.0,1.0454359
3618.0,1.2339672
3674.0,1.1912072
3688.0,1.0132885
3748.0,1.0721871
3762.0,1.0004002
3820.0,1.0170493
3834.0,0.9707015
3894.0,1.0948508
3908.0,0.97911936
3966.0,0.9961636
3980.0,1.0044174
4040.0,1.1285548
4054.0,1.168352
4114.0,1.0370473
4128.0,1.0704263
4186.0,0.98658335
4200.0,0.95087165
4260.0,1.1552209
4274.0,0.9297661
4334.0,1.0411699
4348.0,0.9782383
4408.0,1.0650753
4422.0,1.0302957
4482.0,0.9891241
4496.0,1.000791
4556.0,1.0154929
4570.0,0.9694486
4630.0,1.0625199
4644.0,1.1022971
4706.0,0.9168262
4720.0,1.0475235
4780.0,0.98605525
4794.0,1.1224779
4854.0,1.1104004
4868.0,0.9350114
4928.0,0.9498927
4942.0,1.0788697
5002.0,0.9116316
5016.0,0.99464613
5076.0,1.0158852
5090.0,1.0772909
5152.0,1.0376577
5166.0,1.0674706
5226.0,0.9673383
5240.0,0.8819068
5302.0,0.896489
5316.0,0.98397505
5378.0,0.935414
5392.0,0.9003562
5454.0,0.98183346
5468.0,0.96840626
5530.0,0.87122285
5544.0,0.8654204
5606.0,1.0236845
5620.0,0.9103253
5682.0,0.87650675
5696.0,0.92489237
5758.0,0.89749557
5772.0,0.88329357
5834.0,1.0383557
5848.0,0.97495085
5912.0,0.92642504
5926.0,0.942
5988.0,0.9436857
6002.0,0.9978452
6066.0,0.8676978
6080.0,0.9285975
6144.0,0.95835614
6158.0,0.8959454
6220.0,0.9063319
6234.0,0.9082983
6296.0,0.840515
6310.0,0.949651
6374.0,0.82833236
6388.0,0.8297859
6452.0,0.9746075
6466.0,0.9622904
6528.0,0.82269144
6542.0,0.9731924
6606.0,0.8697553
6620.0,0.9237065
6684.0,0.963038
6698.0,0.83887744
6762.0,1.0349429
6776.0,0.91695535
6838.0,0.88312554
6852.0,0.93942803
6916.0,0.833253
6930.0,0.81420636
6994.0,0.8192163
7008.0,0.8288083
7072.0,0.82703215
7086.0,0.75543785
7150.0,0.79471755
7164.0,0.9016284
7228.0,0.9507815
7242.0,0.7857108
7306.0,0.9164852
7320.0,0.80807805
7384.0,0.81486815
7398.0,0.88125354
7462.0,0.77854264
7476.0,1.0111893
7540.0,0.90802556
7554.0,0.77105063
7618.0,0.9261695
7632.0,0.761783
7698.0,0.77431846
7712.0,0.78659886
7776.0,0.8125575
7790.0,0.8641945
7854.0,0.8675539
7868.0,0.9636654
7934.0,0.91881204
7948.0,0.8774558
8014.0,0.8895555
8028.0,0.8930702
8092.0,0.74658114
8106.0,0.7847062
8172.0,0.862534
8186.0,0.91868925
8252.0,0.85917413
8266.0,0.82524943
8330.0,0.7983037
8344.0,0.88288504
8410.0,0.7902742
8424.0,0.8291454
8492.0,0.77842474
8506.0,0.8849858
8572.0,0.9301267
8586.0,0.8285
8652.0,0.8246651
8666.0,0.9223167
8732.0,0.85247266
8746.0,0.800518
8812.0,0.88110536
8826.0,0.7267072
8892.0,0.77577513
8906.0,0.8583078
8972.0,0.85689217
8986.0,0.74341273
9052.0,0.7944753
9066.0,0.9067737
9132.0,0.74036676
9146.0,0.8378125
9214.0,0.86900437
9228.0,0.7511562
9294.0,0.83499116
9308.0,0.7716876
9376.0,0.7537064
9390.0,0.79863626
9456.0,0.80707544
9470.0,0.80671376
9536.0,0.75556505
9550.0,0.90669286
9618.0,0.79760396
9632.0,0.91590554
9698.0,0.7741766
9712.0,0.9316525
9780.0,0.7828709
9794.0,0.6688411
9862.0,0.8420408
9876.0,0.76471114
9942.0,0.7922867
9956.0,0.8442702
10024.0,0.74121135
10038.0,0.6869835
10106.0,0.6896847
10120.0,0.8992583
10186.0,0.8304435
10200.0,0.79047245
10268.0,0.72235245
10282.0,0.792472
10348.0,0.64272994
10362.0,0.805251
10428.0,0.8881314
10442.0,0.7052652
10512.0,0.75340986
10526.0,0.80521894
10592.0,0.8167352
10606.0,0.82897675
10674.0,0.779914
10688.0,0.82856905
10756.0,0.6673388
10770.0,0.76113605
10836.0,0.74420464
10850.0,0.7154911
10918.0,0.74135876
10932.0,0.70644015
11000.0,0.6684863
11014.0,0.7406725
11084.0,0.7420983
11098.0,0.77835
11166.0,0.69242156
11180.0,0.7901298
11248.0,0.71359193
11262.0,0.8910518
11330.0,0.7303695
11344.0,0.820964
11412.0,0.7849137
11426.0,0.8081383
11494.0,0.7777881
11508.0,0.7094865
11576.0,0.6576597
11590.0,0.67222786
11660.0,0.74890107
11674.0,0.72941667
11744.0,0.8429423
11758.0,0.6997316
11826.0,0.62777436
11840.0,0.7636488
11910.0,0.7240392
11924.0,0.77248144
11994.0,0.671031
12008.0,0.79573196
12076.0,0.7853223
12090.0,0.7419147
12160.0,0.915738
12174.0,0.7488392
12244.0,0.73062974
12258.0,0.7628223
12328.0,0.75757235
12342.0,0.72980845
12412.0,0.8914143
12426.0,0.59440535
12494.0,0.65829027
12508.0,0.6714603
12580.0,0.8457052
12594.0,0.74700564
12662.0,0.8592492
12676.0,0.69393355
12746.0,0.58409846
12760.0,0.67447895
12830.0,0.6508872
12844.0,0.6600432
12914.0,0.76279145
12928.0,0.64753586
12998.0,0.75400215
13012.0,0.6273257
13082.0,0.6959573
13096.0,0.7195667
13168.0,0.74194556
13182.0,0.7088684
13252.0,0.69166416
13266.0,0.7061912
13336.0,0.6915619
13350.0,0.71212554
13420.0,0.64911115
13434.0,0.661279
13504.0,0.70431113
13518.0,0.6910658
13588.0,0.70741594
13602.0,0.6317592
13674.0,0.66981345
13688.0,0.7318331
13758.0,0.7332674
13772.0,0.5560867
13844.0,0.6656407
13858.0,0.7132918
13928.0,0.79378897
13942.0,0.58451736
14014.0,0.71666694
14028.0,0.57978415
14098.0,0.5568569
14112.0,0.7654657
14182.0,0.71371806
14196.0,0.49538687
14266.0,0.49156204
14280.0,0.7226873
14352.0,0.6820746
14366.0,0.6844094
14436.0,0.7384147
14450.0,0.602393
14522.0,0.6111983
14536.0,0.63204795
14608.0,0.5758203
14622.0,0.6336845
14694.0,0.6773651
14708.0,0.62172765
14778.0,0.6717262
14792.0,0.55988467
14864.0,0.5819468
14878.0,0.65099955
14950.0,0.57503456
14964.0,0.6580582
15036.0,0.61881185
15050.0,0.64319193
15120.0,0.59608096
15134.0,0.61083937
15204.0,0.66522294
15218.0,0.6009165
15290.0,0.5134657
15304.0,0.63066167
15376.0,0.44291487
15390.0,0.6827256
15462.0,0.5229422
15476.0,0.6327432
15548.0,0.63112414
15562.0,0.5367887
15634.0,0.59962535
15648.0,0.5775288
15720.0,0.71637803
15734.0,0.60242087
15806.0,0.5689448
15820.0,0.7777962
15892.0,0.58629394
15906.0,0.618999
15978.0,0.6272992
15992.0,0.6251548
16064.0,0.5979965
16078.0,0.61748517
16150.0,0.5600661
16164.0,0.5997007
16236.0,0.6421753
16250.0,0.5468108
16324.0,0.4681806
16338.0,0.52007467
16410.0,0.68230987
16424.0,0.50466126
16496.0,0.64270705
16510.0,0.47751585
16582.0,0.561376
16596.0,0.6360301
16670.0,0.5077308
16684.0,0.6438879
16758.0,0.47967482
16772.0,0.63043046
16844.0,0.5625121
16858.0,0.61877507
