global_step,value
39.0,1.3858258
53.0,1.3860493
99.0,1.3855923
113.0,1.3860661
159.0,1.3761919
173.0,1.385906
223.0,1.3795205
237.0,1.384721
285.0,1.3825587
299.0,1.3818412
349.0,1.38228
363.0,1.3801401
413.0,1.3750904
427.0,1.3766043
477.0,1.3452977
491.0,1.3715943
541.0,1.384921
555.0,1.3666337
605.0,1.3719997
619.0,1.3655558
671.0,1.37581
685.0,1.3244814
735.0,1.3325936
749.0,1.3027818
801.0,1.3458872
815.0,1.3098885
865.0,1.3279021
879.0,1.3233757
931.0,1.3312551
945.0,1.3650467
997.0,1.337265
1011.0,1.369042
1063.0,1.320504
1077.0,1.3535966
1127.0,1.3457034
1141.0,1.3797942
1193.0,1.284445
1207.0,1.3322378
1259.0,1.3574913
1273.0,1.3704189
1325.0,1.2641624
1339.0,1.354148
1391.0,1.2703316
1405.0,1.340981
1457.0,1.3355393
1471.0,1.3152761
1523.0,1.3443857
1537.0,1.2727946
1589.0,1.3659765
1603.0,1.3280594
1655.0,1.310839
1669.0,1.3746684
1723.0,1.3192003
1737.0,1.3059223
1789.0,1.337398
1803.0,1.3187046
1857.0,1.3288556
1871.0,1.3028758
1923.0,1.3461643
1937.0,1.3478017
1991.0,1.3245057
2005.0,1.3280333
2059.0,1.2722502
2073.0,1.3790934
2127.0,1.3605196
2141.0,1.3421918
2195.0,1.3043348
2209.0,1.3514888
2263.0,1.3640245
2277.0,1.3504276
2331.0,1.2196016
2345.0,1.3762379
2401.0,1.3610355
2415.0,1.3710684
2469.0,1.2694829
2483.0,1.3514459
2539.0,1.3467168
2553.0,1.375771
2607.0,1.3569889
2621.0,1.1858194
2677.0,1.3474216
2691.0,1.3508587
2747.0,1.1647317
2761.0,1.0992454
2817.0,1.313157
2831.0,1.3633021
2887.0,1.36009
2901.0,1.3509028
2959.0,1.3121997
2973.0,1.3410543
3029.0,1.0953195
3043.0,1.0563838
3101.0,1.1819103
3115.0,1.1811421
3173.0,1.3172661
3187.0,1.3675153
3245.0,1.2971131
3259.0,1.3117625
3315.0,1.3073697
3329.0,1.2254876
3387.0,1.350138
3401.0,1.2253084
3459.0,1.3242877
3473.0,1.2711796
3533.0,1.3329638
3547.0,1.3562013
3605.0,1.3588675
3619.0,1.0963477
3675.0,1.1685542
3689.0,1.3623084
3749.0,1.3534166
3763.0,1.2639158
3821.0,1.313457
3835.0,1.3466412
3895.0,1.3424236
3909.0,1.2106522
3967.0,1.2836554
3981.0,1.1791759
4041.0,1.3641453
4055.0,1.1804304
4115.0,1.3683922
4129.0,1.2640384
4187.0,1.3541477
4201.0,1.234622
4261.0,1.2553403
4275.0,1.2569221
4335.0,1.2262334
4349.0,1.2177694
4409.0,1.2630914
4423.0,1.2214829
4483.0,1.2347938
4497.0,1.3247986
4557.0,1.3539573
4571.0,1.2162306
4631.0,1.3357395
4645.0,1.218967
4707.0,1.219297
4721.0,1.2419327
4781.0,1.2243336
4795.0,1.3562336
4855.0,1.293867
4869.0,1.3217489
4929.0,1.2228427
4943.0,1.1532135
5003.0,1.2465575
5017.0,1.3479385
5077.0,1.3483983
5091.0,1.3693371
5153.0,1.1078756
5167.0,1.3028733
5227.0,1.216957
5241.0,1.2641736
5303.0,1.1648954
5317.0,1.081959
5379.0,1.2599605
5393.0,1.2197559
5455.0,1.2246518
5469.0,1.2237848
5531.0,1.2402942
5545.0,1.104162
5607.0,1.2085406
5621.0,1.1105705
5683.0,1.2700714
5697.0,1.3352565
5759.0,1.1259936
5773.0,1.2759222
5835.0,1.1940811
5849.0,1.084633
5913.0,1.1927131
5927.0,1.3496984
5989.0,1.2222651
6003.0,1.2838087
6067.0,1.1280323
6081.0,1.1759533
6145.0,1.3171557
6159.0,1.2304294
6221.0,1.3315926
6235.0,1.1554551
6297.0,1.2727242
6311.0,1.3220142
6375.0,1.0294507
6389.0,1.2128551
6453.0,1.0454373
6467.0,1.3023505
6529.0,1.288064
6543.0,1.1709992
6607.0,1.0262145
6621.0,1.3204707
6685.0,1.3349704
6699.0,1.2648731
6763.0,1.1594002
6777.0,1.2400208
6839.0,1.3147284
6853.0,1.2574244
6917.0,1.2361832
6931.0,1.0752001
6995.0,1.1136734
7009.0,1.2671916
7073.0,1.2052991
7087.0,1.1157141
7151.0,1.3277854
7165.0,1.2852231
7229.0,1.2442056
7243.0,0.9784233
7307.0,1.2576804
7321.0,0.98866594
7385.0,1.2684283
7399.0,1.3065156
7463.0,1.2860494
7477.0,1.2054986
7541.0,1.0448098
7555.0,1.0719508
7619.0,1.2462363
7633.0,1.2883456
7699.0,1.0762345
7713.0,0.91581446
7777.0,1.2964945
7791.0,0.97190434
7855.0,1.1711185
7869.0,1.1835971
7935.0,1.312377
7949.0,1.0083926
8015.0,1.261092
8029.0,1.3060106
8093.0,1.0418979
8107.0,1.2704595
8173.0,1.310015
8187.0,0.94525874
8253.0,0.89711124
8267.0,1.2791448
8331.0,1.2730066
8345.0,1.2822003
8411.0,1.1600335
8425.0,1.0807568
8493.0,1.1720089
8507.0,0.9448151
8573.0,1.2699642
8587.0,1.1287937
8653.0,0.86613226
8667.0,1.306681
8733.0,1.1442046
8747.0,0.8481909
8813.0,1.2835927
8827.0,0.9951631
8893.0,1.2358376
8907.0,1.2682527
8973.0,1.257834
8987.0,1.2385547
9053.0,1.149223
9067.0,1.1947802
9133.0,1.2368217
9147.0,1.2688967
9215.0,0.98217934
9229.0,1.2291603
9295.0,1.1543927
9309.0,1.2531166
9377.0,1.1129832
9391.0,0.8757715
9457.0,0.88964415
9471.0,1.1777252
9537.0,1.102926
9551.0,0.97114015
9619.0,1.2560756
9633.0,1.0004452
9699.0,1.1801351
9713.0,0.96688604
9781.0,1.1523497
9795.0,0.9321447
9863.0,1.339962
9877.0,1.1295395
9943.0,0.862375
