global_step,value
2.0,-0.8377007
4.0,-0.8998703
6.0,-0.8207535
8.0,-0.89399225
10.0,-0.87050545
12.0,-0.8357724
14.0,-0.842821
16.0,-0.8337121
18.0,-0.85749525
20.0,-0.8390585
22.0,-0.87420785
24.0,-0.84491426
26.0,-0.81065166
28.0,-0.83761007
30.0,-0.8187113
32.0,-0.86289185
62.0,-0.820802
64.0,-0.8616667
66.0,-0.838764
68.0,-0.83054525
70.0,-0.84063077
72.0,-0.86847353
74.0,-0.8473948
76.0,-0.83006775
78.0,-0.867658
80.0,-0.8475926
82.0,-0.8508025
84.0,-0.7655685
86.0,-0.87045455
88.0,-0.8649392
90.0,-0.87146467
92.0,-0.82890576
122.0,-0.83300906
124.0,-0.8359615
126.0,-0.85482454
128.0,-0.7521303
130.0,-0.8163201
132.0,-0.8187617
134.0,-0.8169271
136.0,-0.84957767
138.0,-0.805419
140.0,-0.77794677
142.0,-0.8083495
144.0,-0.8422687
146.0,-0.7779886
148.0,-0.7708333
150.0,-0.77919036
152.0,-0.81914896
182.0,-0.78450793
184.0,-0.7527514
186.0,-0.7607547
188.0,-0.66965646
190.0,-0.8076679
192.0,-0.7387729
194.0,-0.7670433
196.0,-0.7182586
198.0,-0.7957854
200.0,-0.80508476
202.0,-0.7083806
204.0,-0.7658397
206.0,-0.82284427
208.0,-0.71974844
210.0,-0.68863493
212.0,-0.72581065
214.0,-0.75555557
216.0,-0.7307342
246.0,-0.7821542
248.0,-0.7598191
250.0,-0.76327574
252.0,-0.73050195
254.0,-0.80114067
256.0,-0.78829175
258.0,-0.69256413
260.0,-0.6548867
262.0,-0.7707682
264.0,-0.73083645
266.0,-0.7439623
268.0,-0.657908
270.0,-0.6979721
272.0,-0.7095703
274.0,-0.712334
276.0,-0.6335249
278.0,-0.7360308
308.0,-0.6512476
310.0,-0.59524727
312.0,-0.72063184
314.0,-0.7796159
316.0,-0.74521965
318.0,-0.73741895
320.0,-0.73345983
322.0,-0.71576226
324.0,-0.69473344
326.0,-0.66075784
328.0,-0.6934109
330.0,-0.74569994
332.0,-0.7075
334.0,-0.6842004
336.0,-0.59232247
338.0,-0.6869509
340.0,-0.6618868
342.0,-0.75238097
372.0,-0.62465405
374.0,-0.6830454
376.0,-0.61954457
378.0,-0.56335926
380.0,-0.61921865
382.0,-0.624231
384.0,-0.70152384
386.0,-0.7353497
388.0,-0.63985926
390.0,-0.60572326
392.0,-0.7209923
394.0,-0.6227017
396.0,-0.63644445
398.0,-0.6471638
400.0,-0.5108738
402.0,-0.6769133
404.0,-0.6278964
406.0,-0.56913817
436.0,-0.67814106
438.0,-0.65920967
440.0,-0.6391779
442.0,-0.6874677
444.0,-0.6164112
446.0,-0.6401905
448.0,-0.64060944
450.0,-0.65639096
452.0,-0.66803116
454.0,-0.64074075
456.0,-0.6368353
458.0,-0.6075845
460.0,-0.5274732
462.0,-0.69633204
464.0,-0.66892326
466.0,-0.6730159
468.0,-0.6112587
470.0,-0.548212
500.0,-0.58051777
502.0,-0.5467181
504.0,-0.6189666
506.0,-0.58667916
508.0,-0.6101338
510.0,-0.67134506
512.0,-0.63099414
514.0,-0.716185
516.0,-0.5758664
518.0,-0.60830116
520.0,-0.6380038
522.0,-0.63268983
