global_step,value
38.0,1.6094015
52.0,1.6093593
98.0,1.6093988
112.0,1.6093761
158.0,1.608878
172.0,1.6091994
218.0,1.6078595
232.0,1.6092577
280.0,1.6092203
294.0,1.6090056
342.0,1.6094117
356.0,1.6092594
402.0,1.6093444
416.0,1.6089718
464.0,1.6093585
478.0,1.6093476
524.0,1.602997
538.0,1.6090075
586.0,1.6094112
600.0,1.6089623
646.0,1.600633
660.0,1.6063296
708.0,1.597922
722.0,1.5960231
770.0,1.6047069
784.0,1.608687
830.0,1.609331
844.0,1.5964552
892.0,1.6006583
906.0,1.597313
954.0,1.5947063
968.0,1.6060725
1016.0,1.6053861
1030.0,1.5941428
1076.0,1.6023545
1090.0,1.6066965
1138.0,1.6006444
1152.0,1.6065524
1200.0,1.563884
1214.0,1.5866902
1262.0,1.5035889
1276.0,1.5873663
1324.0,1.6069497
1338.0,1.6086205
1386.0,1.5914427
1400.0,1.5995579
1448.0,1.6087278
1462.0,1.5725605
1510.0,1.5197227
1524.0,1.600462
1572.0,1.5861075
1586.0,1.4698622
1634.0,1.5598407
1648.0,1.5800174
1698.0,1.5579665
1712.0,1.6073085
1760.0,1.5941303
1774.0,1.5766857
1822.0,1.3981658
1836.0,1.5398524
1886.0,1.5569465
1900.0,1.3438
1948.0,1.5245998
1962.0,1.5144671
2012.0,1.5575435
2026.0,1.595428
2074.0,1.44084
2088.0,1.5540248
2138.0,1.4957517
2152.0,1.5338854
2200.0,1.384589
2214.0,1.2745119
2264.0,1.4950827
2278.0,1.3580348
2328.0,1.3850348
2342.0,1.5402571
2390.0,1.5817381
2404.0,1.4617691
2454.0,1.3072546
2468.0,1.3598106
2518.0,1.5030631
2532.0,1.5858318
2580.0,1.5544568
2594.0,1.3713118
2644.0,1.5364571
2658.0,1.391275
2708.0,1.5636221
2722.0,1.5794545
2772.0,1.4945201
2786.0,1.5362656
2836.0,1.2785494
2850.0,1.4987717
2900.0,1.3686136
2914.0,1.5204225
2964.0,1.4650955
2978.0,1.5914088
3028.0,1.428119
3042.0,1.5728922
3092.0,1.4627414
3106.0,1.485754
3156.0,1.2991278
3170.0,1.5093012
3220.0,1.3806863
3234.0,1.4203639
3284.0,1.3257854
3298.0,1.4714018
3348.0,1.3569655
3362.0,1.4745299
3412.0,1.3679997
3426.0,1.4002552
3476.0,1.4238905
3490.0,1.4860231
3540.0,1.3097123
3554.0,1.4480534
3604.0,1.4679052
3618.0,1.4810095
3668.0,1.4811133
3682.0,1.2452873
3734.0,1.2873093
3748.0,1.4644456
3798.0,1.2378815
3812.0,1.4842659
3862.0,1.3530538
3876.0,1.3695595
3928.0,1.3460201
3942.0,1.4415439
3992.0,1.3656093
4006.0,1.4347624
4056.0,1.345143
4070.0,1.3613849
4122.0,1.3610598
4136.0,1.3728298
4186.0,1.4028683
4200.0,1.3820105
4250.0,1.4282326
4264.0,1.3367603
4316.0,1.2832296
4330.0,1.4106661
4380.0,1.4443179
4394.0,1.3637648
4444.0,1.3683754
4458.0,1.3577577
4510.0,1.3164304
4524.0,1.3554595
4574.0,1.3552693
4588.0,1.3939537
4640.0,1.3218446
4654.0,1.4314464
4704.0,1.3561351
4718.0,1.3742858
4768.0,1.2319515
4782.0,1.3615408
4834.0,1.3957098
4848.0,1.3545938
4898.0,1.3024331
4912.0,1.3877655
4964.0,1.2762266
4978.0,1.3570247
5028.0,1.4846992
5042.0,1.4534556
5092.0,1.3557502
5106.0,1.3326355
5158.0,1.2991762
5172.0,1.2498616
5222.0,1.4025519
5236.0,1.3703521
5288.0,1.4615548
5302.0,1.2245245
5352.0,1.3752011
5366.0,1.314782
5418.0,1.3978478
5432.0,1.2886384
5482.0,1.5143744
5496.0,1.3914608
5546.0,1.3464555
5560.0,1.3259566
5612.0,1.3243289
5626.0,1.3801299
5676.0,1.4342571
5690.0,1.3347551
5742.0,1.3867106
5756.0,1.2284961
5806.0,1.302512
5820.0,1.4119513
5872.0,1.3592446
5886.0,1.3196371
5936.0,1.4352055
5950.0,1.3062353
6002.0,1.3175874
6016.0,1.3388216
6066.0,1.3151889
6080.0,1.3692975
6132.0,1.3110355
6146.0,1.3639069
6196.0,1.2726505
6210.0,1.317006
6262.0,1.2872884
