global_step,value
39.0,1.3862674
53.0,1.3862605
99.0,1.3862907
113.0,1.3862627
159.0,1.3859495
173.0,1.3862743
219.0,1.385912
233.0,1.3861861
281.0,1.386198
295.0,1.386215
343.0,1.3862563
357.0,1.3862492
403.0,1.3861334
417.0,1.3862226
465.0,1.3861318
479.0,1.3862307
525.0,1.3829333
539.0,1.3859528
587.0,1.3862647
601.0,1.3858242
647.0,1.3861536
661.0,1.385182
709.0,1.3852522
723.0,1.3845434
771.0,1.3840953
785.0,1.3860967
831.0,1.3862003
845.0,1.383455
893.0,1.3850049
907.0,1.3832166
955.0,1.3828464
969.0,1.386173
1017.0,1.3861974
1031.0,1.3838738
1077.0,1.3855624
1091.0,1.3858161
1139.0,1.383904
1153.0,1.3862095
1201.0,1.3816102
1215.0,1.3852843
1263.0,1.381862
1277.0,1.3840827
1325.0,1.384069
1339.0,1.3854502
1387.0,1.3812246
1401.0,1.3808483
1449.0,1.3861296
1463.0,1.3844767
1511.0,1.3764344
1525.0,1.3860813
1573.0,1.3848618
1587.0,1.3843052
1635.0,1.3845779
1649.0,1.383924
1699.0,1.3831666
1713.0,1.3858883
1761.0,1.3857406
1775.0,1.3835868
1823.0,1.3795725
1837.0,1.378557
1887.0,1.3855143
1901.0,1.3476686
1949.0,1.3806078
1963.0,1.3764373
2013.0,1.3830647
2027.0,1.3814753
2075.0,1.3813683
2089.0,1.3848845
2139.0,1.3801986
2153.0,1.3823113
2201.0,1.374552
2215.0,1.3592701
2265.0,1.3800797
2279.0,1.3658938
2329.0,1.3388448
2343.0,1.3862053
2391.0,1.383816
2405.0,1.377307
2455.0,1.3652284
2469.0,1.3566629
2519.0,1.3749275
2533.0,1.3840972
2581.0,1.3793125
2595.0,1.3601558
2645.0,1.3708891
2659.0,1.3487307
2709.0,1.3850751
2723.0,1.3808409
2773.0,1.3842744
2787.0,1.3819476
2837.0,1.3635352
2851.0,1.3655758
2901.0,1.3541775
2915.0,1.3660241
2965.0,1.3647555
2979.0,1.3854336
3029.0,1.386184
3043.0,1.3760056
3093.0,1.3766413
3107.0,1.3791605
3157.0,1.3516374
3171.0,1.3789074
3221.0,1.378378
3235.0,1.3677891
3285.0,1.3619143
3299.0,1.3833807
3349.0,1.361681
3363.0,1.3821733
3413.0,1.3659899
3427.0,1.3745465
3477.0,1.3531175
3491.0,1.3572686
3541.0,1.3787624
3555.0,1.3697219
3605.0,1.3839736
3619.0,1.3616318
3669.0,1.3687546
3683.0,1.3244585
3735.0,1.364595
3749.0,1.3836977
3799.0,1.3744609
3813.0,1.3777125
3863.0,1.3517413
3877.0,1.3557534
3929.0,1.361022
3943.0,1.3601071
3993.0,1.3833089
4007.0,1.3833141
4057.0,1.3578894
4071.0,1.377127
4123.0,1.3773665
4137.0,1.3056378
4187.0,1.3498977
4201.0,1.3733454
4251.0,1.3797948
4265.0,1.3809984
4317.0,1.361533
4331.0,1.3500668
4381.0,1.3750774
4395.0,1.3603383
4445.0,1.3495243
4459.0,1.3694776
4511.0,1.1912541
4525.0,1.3563863
4575.0,1.3522718
4589.0,1.3812898
4641.0,1.2999465
4655.0,1.3327097
4705.0,1.3201097
4719.0,1.3791795
4769.0,1.3608658
4783.0,1.3836212
4835.0,1.3601915
4849.0,1.3719105
4899.0,1.3059608
4913.0,1.3754238
4965.0,1.3799108
4979.0,1.3417445
5029.0,1.373005
5043.0,1.3814627
5093.0,1.3660983
5107.0,1.322717
5159.0,1.332284
5173.0,1.2958746
5223.0,1.3607019
5237.0,1.3769968
5289.0,1.379391
5303.0,1.3703513
5353.0,1.3800193
5367.0,1.3618118
5419.0,1.3307195
5433.0,1.3711491
5483.0,1.3745261
5497.0,1.3004863
5547.0,1.3751181
5561.0,1.3329513
5613.0,1.3609692
5627.0,1.3721322
5677.0,1.3834889
5691.0,1.3704927
5743.0,1.3795788
5757.0,1.3795549
5807.0,1.332331
5821.0,1.2928379
5873.0,1.3511091
5887.0,1.3185239
5937.0,1.3747705
5951.0,1.3764523
6003.0,1.3735702
6017.0,1.3539284
6067.0,1.3100134
6081.0,1.3691701
6133.0,1.3778558
6147.0,1.2988734
6197.0,1.380883
6211.0,1.330177
6263.0,1.3693519
6277.0,1.3486437
6327.0,1.3521891
6341.0,1.3614091
6393.0,1.3790247
6407.0,1.3725865
6459.0,1.1805171
6473.0,1.3724339
6523.0,1.3526931
6537.0,1.3555055
6589.0,1.3727632
6603.0,1.3154202
6653.0,1.3757879
6667.0,1.288264
6719.0,1.3676589
6733.0,1.3753526
6783.0,1.3767245
6797.0,1.3057137
6849.0,1.3428736
6863.0,1.3855426
6915.0,1.3841807
6929.0,1.3298665
6979.0,1.3428247
6993.0,1.3566204
7045.0,1.3192877
7059.0,1.2906803
7109.0,1.3746465
7123.0,1.2938924
7175.0,1.3762937
7189.0,1.3508773
7241.0,1.34511
7255.0,1.1445572
7305.0,1.3342535
7319.0,1.2836868
7371.0,1.2303965
7385.0,1.3114803
7437.0,1.303748
7451.0,1.380455
7501.0,1.3725971
7515.0,1.2822591
7567.0,1.2763958
7581.0,1.3340935
7633.0,1.351033
7647.0,1.3657539
7697.0,1.3700817
7711.0,1.3763232
7763.0,1.3312432
7777.0,1.3344729
7829.0,1.3518139
7843.0,1.3666402
7895.0,1.2601174
7909.0,1.3231512
7961.0,1.3627766
7975.0,1.3364419
8025.0,1.326528
8039.0,1.3714039
8091.0,1.3823265
8105.0,1.2240057
8157.0,1.3725903
8171.0,1.3461343
8221.0,1.3052247
8235.0,1.3684169
8287.0,1.3576303
8301.0,1.313797
8353.0,1.3636087
8367.0,1.3376127
8419.0,1.28949
8433.0,1.375726
8483.0,1.3699322
8497.0,1.3617479
8549.0,1.2630742
8563.0,1.3557513
8615.0,1.3835399
8629.0,1.3333763
8681.0,1.3650542
8695.0,1.3556675
8747.0,1.2576231
8761.0,1.3574991
8813.0,1.3502653
8827.0,1.3400872
8877.0,1.234143
8891.0,1.332313
8943.0,1.3450949
8957.0,1.3056377
9009.0,1.3775148
9023.0,1.3720608
9075.0,1.3599237
9089.0,1.321827
9139.0,1.355454
9153.0,1.3448683
9205.0,1.3682355
9219.0,1.3359123
9271.0,1.251449
9285.0,1.2277254
9337.0,1.2618065
9351.0,1.3265544
9403.0,1.267153
9417.0,1.3574897
9469.0,1.2947285
9483.0,1.3428771
9535.0,1.3391764
9549.0,1.3121557
9599.0,1.3704166
9613.0,1.3198439
9665.0,1.3651357
9679.0,1.3314209
9731.0,1.2583789
9745.0,1.3667147
9797.0,1.3757553
9811.0,1.309233
9863.0,1.2260234
9877.0,1.3642304
9929.0,1.3632541
9943.0,1.3663162
9995.0,1.3287493
10009.0,1.3469085
10061.0,1.2771028
10075.0,1.1485165
10127.0,1.3594832
10141.0,1.2458384
10193.0,1.2318813
10207.0,1.3700669
10259.0,1.1941526
10273.0,1.3198907
10325.0,1.3504326
10339.0,1.237675
10391.0,1.3361973
10405.0,1.3442215
10457.0,1.2404568
10471.0,1.273573
10523.0,1.3281832
10537.0,1.3127754
10589.0,1.3204666
10603.0,1.3778751
10655.0,1.3612672
10669.0,1.34291
10721.0,1.1812966
10735.0,1.3560265
10787.0,1.3304257
10801.0,1.1615716
10853.0,1.3226337
10867.0,1.2756947
10919.0,1.3532429
10933.0,1.3297487
10985.0,1.3387865
10999.0,1.2714276
11051.0,1.1855143
11065.0,1.3650138
11119.0,1.191783
11133.0,1.2860464
11185.0,1.3773054
11199.0,1.2897575
11251.0,1.3494718
11265.0,1.3354863
11317.0,1.3220553
11331.0,1.3793234
11383.0,1.3106759
11397.0,1.3452579
11449.0,1.3059496
11463.0,1.3501518
11515.0,1.3372836
11529.0,1.3279531
11583.0,1.3300445
11597.0,1.3450471
11649.0,1.2454504
11663.0,1.3703715
11715.0,1.3691124
11729.0,1.3102067
11781.0,1.3790886
11795.0,1.3618227
11847.0,1.2536219
11861.0,1.2507784
11913.0,1.2381197
11927.0,1.3625617
11979.0,1.3098199
11993.0,1.3594615
12047.0,1.3079727
12061.0,1.3045329
12113.0,1.3480734
12127.0,1.22015
12179.0,1.3044453
12193.0,1.3411813
12245.0,1.3749566
12259.0,1.3440452
12313.0,1.3282914
12327.0,1.3088834
12379.0,1.2975844
