global_step,value
38.0,1.6094227
52.0,1.6094157
98.0,1.609402
112.0,1.6093588
158.0,1.6093866
172.0,1.6092446
220.0,1.6090639
234.0,1.607746
280.0,1.60891
294.0,1.6093916
342.0,1.609084
356.0,1.6090379
402.0,1.6090434
416.0,1.6092957
464.0,1.6091107
478.0,1.6081895
524.0,1.6077834
538.0,1.5991253
586.0,1.6045401
600.0,1.6076308
648.0,1.6089107
662.0,1.6084158
708.0,1.6088372
722.0,1.608991
770.0,1.6076099
784.0,1.6082274
832.0,1.6008079
846.0,1.6092228
892.0,1.6046319
906.0,1.5912285
954.0,1.607134
968.0,1.6054354
1016.0,1.607037
1030.0,1.5692806
1078.0,1.5968494
1092.0,1.6080408
1138.0,1.6005847
1152.0,1.5941687
1202.0,1.5706692
1216.0,1.5574237
1262.0,1.5951272
1276.0,1.5962571
1324.0,1.5831797
1338.0,1.6058066
1386.0,1.5512419
1400.0,1.595065
1448.0,1.4808131
1462.0,1.5498148
1512.0,1.6016563
1526.0,1.573173
1572.0,1.5957853
1586.0,1.3997221
1636.0,1.5495204
1650.0,1.5948981
1698.0,1.5288655
1712.0,1.5481441
1760.0,1.5764302
1774.0,1.6011145
1822.0,1.5642618
1836.0,1.5695921
1886.0,1.5864948
1900.0,1.5533806
1948.0,1.5205661
1962.0,1.5900898
2010.0,1.6039376
2024.0,1.3724068
2074.0,1.5602275
2088.0,1.42958
2136.0,1.4783503
2150.0,1.580798
2200.0,1.5095681
2214.0,1.5892202
2262.0,1.4810705
2276.0,1.3644879
2326.0,1.5361191
2340.0,1.4276454
2390.0,1.3543514
2404.0,1.3801253
2454.0,1.5896475
2468.0,1.4566227
2516.0,1.5533352
2530.0,1.3842871
2580.0,1.526703
2594.0,1.4061025
2644.0,1.3625968
2658.0,1.457012
2708.0,1.3369803
2722.0,1.4999303
2770.0,1.4910302
2784.0,1.5621655
2834.0,1.4874195
2848.0,1.4303212
2898.0,1.3481965
2912.0,1.5456188
2962.0,1.3211985
2976.0,1.4531974
3026.0,1.4706168
3040.0,1.5620978
3090.0,1.3868078
3104.0,1.4094203
3154.0,1.3818139
3168.0,1.4576406
3218.0,1.3884025
3232.0,1.4574288
3282.0,1.4142274
3296.0,1.394394
3346.0,1.4809438
3360.0,1.3516256
3412.0,1.503708
3426.0,1.349473
3476.0,1.4298308
3490.0,1.4324819
3540.0,1.45608
3554.0,1.4986957
3604.0,1.4760758
3618.0,1.4200906
3668.0,1.3984098
3682.0,1.5255947
3732.0,1.3252316
3746.0,1.3700575
3798.0,1.3915038
3812.0,1.4021398
3862.0,1.4411688
3876.0,1.4978517
3926.0,1.3755741
3940.0,1.3424712
3990.0,1.3046095
4004.0,1.4362853
4054.0,1.322109
4068.0,1.4904125
4120.0,1.2902011
4134.0,1.4188108
4184.0,1.3491045
4198.0,1.4022604
4248.0,1.3980732
4262.0,1.3601421
4314.0,1.3299342
4328.0,1.3767335
4378.0,1.3464941
4392.0,1.2947973
4442.0,1.486649
4456.0,1.3504105
4506.0,1.3527466
4520.0,1.4324504
4572.0,1.2479986
4586.0,1.3157823
4636.0,1.3538468
4650.0,1.3244772
4700.0,1.4201815
4714.0,1.262995
4766.0,1.4068309
4780.0,1.3426908
4830.0,1.3926189
4844.0,1.3704664
4894.0,1.4001783
4908.0,1.3929386
4960.0,1.4152263
4974.0,1.3975383
5024.0,1.2992429
5038.0,1.3571161
5088.0,1.3068433
5102.0,1.3586948
5154.0,1.2470924
5168.0,1.1824069
5218.0,1.3061876
5232.0,1.2823955
