global_step,value
39.0,1.3862803
53.0,1.3862871
99.0,1.3862782
113.0,1.3862504
159.0,1.3862683
173.0,1.3861094
221.0,1.3859105
235.0,1.3860046
281.0,1.3860264
295.0,1.3862766
343.0,1.3859725
357.0,1.3861026
403.0,1.3861301
417.0,1.3862904
465.0,1.3861026
479.0,1.3858865
525.0,1.3859829
539.0,1.3815664
587.0,1.3850695
601.0,1.3854196
649.0,1.3860883
663.0,1.3854089
709.0,1.3862401
723.0,1.3862677
771.0,1.385826
785.0,1.3850756
833.0,1.3843112
847.0,1.3861775
893.0,1.3858464
907.0,1.3852881
955.0,1.3861656
969.0,1.3856246
1017.0,1.3848679
1031.0,1.3838091
1079.0,1.382098
1093.0,1.3862597
1139.0,1.3853664
1153.0,1.3853656
1203.0,1.3839573
1217.0,1.3852074
1263.0,1.3858868
1277.0,1.3829262
1325.0,1.3826407
1339.0,1.3861434
1387.0,1.378867
1401.0,1.3857356
1449.0,1.3820823
1463.0,1.3822875
1513.0,1.3851115
1527.0,1.3835295
1573.0,1.3828609
1587.0,1.3700207
1637.0,1.3821446
1651.0,1.3834372
1699.0,1.3839978
1713.0,1.3825454
1761.0,1.385335
1775.0,1.3860277
1823.0,1.3801817
1837.0,1.3840843
1887.0,1.3804272
1901.0,1.3784019
1949.0,1.3791684
1963.0,1.3853443
2011.0,1.3860384
2025.0,1.3637422
2075.0,1.3745658
2089.0,1.37258
2137.0,1.376057
2151.0,1.3846724
2201.0,1.3704468
2215.0,1.384655
2263.0,1.3580737
2277.0,1.3352131
2327.0,1.3813334
2341.0,1.3669218
2391.0,1.3685248
2405.0,1.3677083
2455.0,1.3841146
2469.0,1.3841027
2517.0,1.3846856
2531.0,1.3396559
2581.0,1.3799907
2595.0,1.3406404
2645.0,1.3650774
2659.0,1.3459742
2709.0,1.3772173
2723.0,1.3798548
2771.0,1.353503
2785.0,1.3843069
2835.0,1.3793002
2849.0,1.3824849
2899.0,1.3697325
2913.0,1.379686
2963.0,1.3676116
2977.0,1.3571744
3027.0,1.3746563
3041.0,1.3805151
3091.0,1.3752773
3105.0,1.3746462
3155.0,1.3218203
3169.0,1.3595934
3219.0,1.363034
3233.0,1.3814702
3283.0,1.3370994
3297.0,1.3568763
3347.0,1.374074
3361.0,1.3681619
3413.0,1.3785372
3427.0,1.3757049
3477.0,1.3700126
3491.0,1.379735
3541.0,1.383054
3555.0,1.3766626
3605.0,1.3810494
3619.0,1.3759179
3669.0,1.3462795
3683.0,1.3800832
3733.0,1.3496844
3747.0,1.334995
3799.0,1.3651483
3813.0,1.3553518
3863.0,1.359237
3877.0,1.3817339
3927.0,1.3301706
3941.0,1.3669815
3991.0,1.3756936
4005.0,1.3446485
4055.0,1.3381178
4069.0,1.3832926
4121.0,1.3538802
4135.0,1.3596853
4185.0,1.3730611
4199.0,1.3625851
4249.0,1.313402
4263.0,1.3661798
4315.0,1.3724775
4329.0,1.3791856
4379.0,1.3419253
4393.0,1.3571554
4443.0,1.3821464
4457.0,1.298073
4507.0,1.3394674
4521.0,1.3539242
4573.0,1.3642853
4587.0,1.2588414
4637.0,1.3147882
4651.0,1.3347284
4701.0,1.3662891
4715.0,1.3265564
4767.0,1.3397225
4781.0,1.3580315
4831.0,1.3267269
4845.0,1.3807635
4895.0,1.355156
4909.0,1.3797438
4961.0,1.3454192
4975.0,1.3744583
5025.0,1.322929
5039.0,1.2943397
5089.0,1.3729877
5103.0,1.339719
5155.0,1.3508674
5169.0,1.303355
5219.0,1.3783641
5233.0,1.3200924
5285.0,1.3542999
5299.0,1.3598689
5349.0,1.3749231
5363.0,1.3713974
5415.0,1.3626829
5429.0,1.3555343
5479.0,1.3187433
5493.0,1.373243
5543.0,1.3285301
5557.0,1.3556491
5609.0,1.3164616
5623.0,1.321831
5673.0,1.350805
5687.0,1.3619006
5739.0,1.3790941
5753.0,1.3656175
5803.0,1.3538793
5817.0,1.3634657
5867.0,1.3775952
5881.0,1.3830014
5933.0,1.352694
5947.0,1.347368
5997.0,1.3574873
6011.0,1.3603039
6063.0,1.3642558
6077.0,1.37535
6127.0,1.3456613
6141.0,1.3505449
6191.0,1.3173356
6205.0,1.3488107
6257.0,1.3116292
6271.0,1.2356173
6321.0,1.3696245
6335.0,1.3812616
6387.0,1.352007
6401.0,1.3813163
6451.0,1.3704726
6465.0,1.3473761
6515.0,1.3790662
6529.0,1.2805219
6581.0,1.3700173
6595.0,1.374438
6645.0,1.3714826
6659.0,1.3219198
6711.0,1.3250508
6725.0,1.2565417
6775.0,1.3135444
6789.0,1.3528972
6841.0,1.3508475
6855.0,1.3695704
6905.0,1.3668647
6919.0,1.2973582
