global_step,value
38.0,1.5684901
52.0,1.5126747
100.0,1.3057379
114.0,1.4648863
166.0,1.3081247
180.0,1.3528343
232.0,1.31606
246.0,1.3095698
296.0,1.3343796
310.0,1.3511319
362.0,1.2655175
376.0,1.3498698
428.0,1.2756974
442.0,1.3515279
496.0,1.2753361
510.0,1.2571371
566.0,1.2115526
580.0,1.2734188
638.0,1.1845746
652.0,1.2344896
710.0,0.9929539
724.0,1.092952
784.0,1.0501637
798.0,1.0488143
858.0,0.935829
872.0,0.98690486
932.0,0.9006516
946.0,1.0097107
1010.0,0.9350564
1024.0,0.95152366
1086.0,0.95125693
1100.0,0.9078811
1164.0,0.88010323
1178.0,0.8428489
1244.0,0.8541319
1258.0,0.84927183
1324.0,0.8616928
1338.0,0.8655247
1404.0,0.82433593
1418.0,0.8798647
1484.0,0.82809794
1498.0,0.7608335
1566.0,0.7410677
1580.0,0.82071996
1650.0,0.73483205
1664.0,0.87056625
1732.0,0.67810726
1746.0,0.8065313
1816.0,0.77705634
1830.0,0.7555921
1898.0,0.77351874
1912.0,0.59254825
1980.0,0.688941
1994.0,0.7488802
2064.0,0.63984877
2078.0,0.68405133
2146.0,0.58126056
2160.0,0.6806576
2230.0,0.6739751
2244.0,0.6468638
2314.0,0.5762679
2328.0,0.63548744
2398.0,0.5588275
2412.0,0.6447926
2484.0,0.598227
2498.0,0.51028264
2568.0,0.5133213
2582.0,0.60720783
2652.0,0.48657885
2666.0,0.55331606
2738.0,0.5188997
2752.0,0.57722646
2824.0,0.4447438
2838.0,0.5606841
2910.0,0.48332155
2924.0,0.5392864
2998.0,0.5386015
3012.0,0.5016099
3086.0,0.49802706
3100.0,0.48712823
3176.0,0.54318136
3190.0,0.41879484
3264.0,0.5200474
3278.0,0.43250766
3356.0,0.4268161
3370.0,0.49202752
3444.0,0.47008935
3458.0,0.4787219
3534.0,0.40533566
3548.0,0.43413165
3624.0,0.4196318
3638.0,0.47816914
3716.0,0.47073627
3730.0,0.38421962
3806.0,0.4534479
3820.0,0.45173004
3900.0,0.40985262
3914.0,0.40640712
3992.0,0.47798976
4006.0,0.41061097
4084.0,0.4366448
4098.0,0.4179122
4176.0,0.4858688
4190.0,0.3731558
4270.0,0.358744
4284.0,0.43726164
4364.0,0.4404405
4378.0,0.41465405
4458.0,0.3579747
4472.0,0.40554968
4554.0,0.3984929
4568.0,0.39395472
4648.0,0.36158958
4662.0,0.38980067
4744.0,0.43764293
4758.0,0.33519825
4840.0,0.39384437
4854.0,0.38575462
4936.0,0.36849296
4950.0,0.36169875
5032.0,0.36601272
5046.0,0.36648205
5130.0,0.31679043
5144.0,0.35997295
5228.0,0.38607427
5242.0,0.28618503
5326.0,0.39832258
5340.0,0.29523844
5426.0,0.3526463
5440.0,0.28409716
5526.0,0.3271505
5540.0,0.38272676
5626.0,0.29517356
5640.0,0.33254972
5726.0,0.35252962
5740.0,0.29483038
5826.0,0.32204768
5840.0,0.3349392
5928.0,0.36192062
5942.0,0.29270527
6030.0,0.3615384
6044.0,0.27239555
6132.0,0.34478927
6146.0,0.2697685
6234.0,0.23903456
6248.0,0.3447841
6340.0,0.25985983
6354.0,0.3438478
6446.0,0.31833175
6460.0,0.26018906
6550.0,0.34499544
6564.0,0.32987958
6658.0,0.24649243
6672.0,0.32683426
6764.0,0.20648736
6778.0,0.3400691
6874.0,0.19198453
6888.0,0.3232286
