global_step,value
39.0,1.3846436
53.0,1.3853811
101.0,1.3364708
115.0,1.3808737
167.0,1.3489592
181.0,1.3714349
233.0,1.3379447
247.0,1.3303276
297.0,1.3439633
311.0,1.3495951
363.0,1.2522875
377.0,1.3345145
429.0,1.320141
443.0,1.3267529
497.0,1.3205712
511.0,1.2713653
567.0,1.3029468
581.0,1.3061627
639.0,1.2875758
653.0,1.3059748
711.0,1.2691637
725.0,1.2689322
785.0,1.2510691
799.0,1.2820452
859.0,1.2898316
873.0,1.2018938
933.0,1.1348693
947.0,1.315935
1011.0,1.2231839
1025.0,1.132436
1087.0,1.2910237
1101.0,1.0885168
1165.0,1.2424031
1179.0,1.2007958
1245.0,1.1546749
1259.0,1.2497165
1325.0,1.1244705
1339.0,1.1558642
1405.0,1.1463345
1419.0,1.1418912
1485.0,1.1021409
1499.0,1.0825281
1567.0,1.12313
1581.0,1.0060393
1651.0,1.1187443
1665.0,0.998221
1733.0,1.097912
1747.0,1.0366721
1817.0,0.99135345
1831.0,1.1253709
1899.0,0.96576047
1913.0,1.0428383
1981.0,1.058251
1995.0,1.0057229
2065.0,0.9172444
2079.0,1.0335885
2147.0,0.9795861
2161.0,0.94929284
2231.0,0.9200732
2245.0,0.9061459
2315.0,0.9378033
2329.0,0.8632585
2399.0,0.9618581
2413.0,0.916283
2485.0,0.8968318
2499.0,0.90928596
2569.0,0.9066066
2583.0,0.87054664
2653.0,0.87381494
2667.0,0.8523472
2739.0,0.85596067
2753.0,0.72792965
2825.0,0.8789697
2839.0,0.6802401
2911.0,0.83093387
2925.0,0.8011077
2999.0,0.7852354
3013.0,0.6484372
3087.0,0.7564491
3101.0,0.6922164
3177.0,0.78083104
3191.0,0.67197883
3265.0,0.6982753
3279.0,0.75409114
3357.0,0.7167603
3371.0,0.7276467
3445.0,0.7260774
3459.0,0.61211294
3535.0,0.727146
3549.0,0.61112237
3625.0,0.7501432
3639.0,0.62217945
3717.0,0.62111056
3731.0,0.7351975
3807.0,0.5897799
3821.0,0.7161089
3901.0,0.55903774
3915.0,0.7277614
3993.0,0.7188991
4007.0,0.6913156
4085.0,0.6516034
4099.0,0.52000993
4177.0,0.67500955
4191.0,0.58957833
4271.0,0.6439072
4285.0,0.4466165
4365.0,0.679484
4379.0,0.44021356
4459.0,0.6383874
4473.0,0.6376671
4555.0,0.6673611
4569.0,0.4577462
4649.0,0.6510834
4663.0,0.47362837
4745.0,0.62034637
4759.0,0.6279691
4841.0,0.47034827
4855.0,0.6355452
4937.0,0.57903266
4951.0,0.49231723
5033.0,0.57553494
5047.0,0.5452653
5131.0,0.6829948
5145.0,0.5159686
5229.0,0.57788855
5243.0,0.61395115
5327.0,0.55720246
5341.0,0.62773854
5427.0,0.5751405
5441.0,0.6438756
5527.0,0.53081656
5541.0,0.5128147
5627.0,0.67742836
5641.0,0.519534
5727.0,0.50204307
5741.0,0.6389896
5827.0,0.53271353
5841.0,0.50912213
5929.0,0.5236199
5943.0,0.65544385
6031.0,0.5558216
6045.0,0.6174809
6133.0,0.5198325
6147.0,0.6163006
6235.0,0.5892307
6249.0,0.55652213
6341.0,0.589378
6355.0,0.49777737
6447.0,0.5388938
6461.0,0.57679796
6551.0,0.5375806
6565.0,0.50320417
6659.0,0.5466544
6673.0,0.5081494
6765.0,0.5696992
6779.0,0.5830919
6875.0,0.49088496
6889.0,0.58847
6983.0,0.5042352
6997.0,0.5976475
7091.0,0.5167844
7105.0,0.59092575
7201.0,0.52605224
7215.0,0.49735725
7309.0,0.6046908
7323.0,0.52282995
7419.0,0.45739648
7433.0,0.60424036
7529.0,0.5378252
7543.0,0.4808937
7643.0,0.46216142
7657.0,0.49153286
7755.0,0.5046794
7769.0,0.50964934
7869.0,0.44696882
7883.0,0.5180688
7981.0,0.505713
7995.0,0.6441543
8099.0,0.6193033
8113.0,0.51842594
8215.0,0.4335495
8229.0,0.53173685
8331.0,0.4490004
8345.0,0.5498912
8447.0,0.42408326
8461.0,0.51378703
8565.0,0.52662456
8579.0,0.43818143
8687.0,0.43186623
8701.0,0.5208783
8807.0,0.4661574
8821.0,0.502836
8929.0,0.5333616
8943.0,0.48972082
9049.0,0.5116008
9063.0,0.49095935
9173.0,0.5670496
9187.0,0.4781718
9297.0,0.4999922
9311.0,0.5450004
9419.0,0.46713483
9433.0,0.53046626
