global_step,value
2.0,-0.8911154
4.0,-0.86343044
6.0,-0.8362347
8.0,-0.87047064
10.0,-0.83149207
12.0,-0.85826975
14.0,-0.82249683
16.0,-0.814891
18.0,-0.83831125
20.0,-0.7951852
22.0,-0.76593405
24.0,-0.7795107
26.0,-0.7249244
28.0,-0.7204805
30.0,-0.7458408
32.0,-0.73059523
62.0,-0.7243517
64.0,-0.6481338
66.0,-0.6426104
68.0,-0.59315586
70.0,-0.70163214
72.0,-0.59065896
74.0,-0.6549287
76.0,-0.6475016
78.0,-0.51692706
80.0,-0.6208812
82.0,-0.6912879
84.0,-0.6165718
86.0,-0.64461344
88.0,-0.64867926
90.0,-0.6276407
92.0,-0.5869159
94.0,-0.6061635
124.0,-0.6044271
126.0,-0.6747396
128.0,-0.6355471
130.0,-0.60058594
132.0,-0.58080417
134.0,-0.62123555
136.0,-0.67259115
138.0,-0.5447656
140.0,-0.55361754
142.0,-0.6193813
144.0,-0.6093567
146.0,-0.5860026
148.0,-0.5604444
150.0,-0.61324376
152.0,-0.5273472
154.0,-0.6127714
156.0,-0.62922287
158.0,-0.5934363
160.0,-0.6250485
190.0,-0.5747748
192.0,-0.555746
194.0,-0.6053411
196.0,-0.57664746
198.0,-0.5691358
200.0,-0.6217674
202.0,-0.6081254
204.0,-0.6316092
206.0,-0.59349597
208.0,-0.5765432
210.0,-0.60870695
212.0,-0.5520231
214.0,-0.61434036
216.0,-0.6415879
218.0,-0.56834954
220.0,-0.629644
222.0,-0.5985788
224.0,-0.5827564
226.0,-0.5982792
256.0,-0.58062017
258.0,-0.6409379
260.0,-0.5829442
262.0,-0.6338327
264.0,-0.6537778
266.0,-0.5199623
268.0,-0.6678385
270.0,-0.6293282
272.0,-0.54739183
274.0,-0.5841424
276.0,-0.5894531
278.0,-0.5547217
280.0,-0.58197856
282.0,-0.6122773
284.0,-0.54588085
286.0,-0.56621796
288.0,-0.6024762
290.0,-0.5578914
320.0,-0.5516981
322.0,-0.5631068
324.0,-0.59751433
326.0,-0.59108526
328.0,-0.5461733
330.0,-0.5526802
332.0,-0.6050544
334.0,-0.5833967
336.0,-0.57113665
338.0,-0.54102564
340.0,-0.5570513
342.0,-0.52394456
344.0,-0.5862672
346.0,-0.53595144
348.0,-0.55584574
350.0,-0.57327104
352.0,-0.5448552
354.0,-0.5935323
356.0,-0.58579767
386.0,-0.6492838
388.0,-0.5330171
390.0,-0.53235674
392.0,-0.60518235
394.0,-0.50962394
396.0,-0.56615186
398.0,-0.47087318
400.0,-0.6217949
402.0,-0.5076972
404.0,-0.47599244
406.0,-0.5063371
408.0,-0.46017477
410.0,-0.52110684
412.0,-0.48822007
414.0,-0.4810592
416.0,-0.41444868
418.0,-0.42410654
420.0,-0.40227863
422.0,-0.43048543
452.0,-0.4622482
454.0,-0.36446124
456.0,-0.46769825
458.0,-0.45674983
460.0,-0.42884988
462.0,-0.37027195
464.0,-0.36415094
466.0,-0.38880408
468.0,-0.36963946
470.0,-0.41863117
472.0,-0.4083009
474.0,-0.35678294
476.0,-0.33223087
478.0,-0.33091602
480.0,-0.43333334
482.0,-0.36455223
484.0,-0.43704426
486.0,-0.3328846
488.0,-0.3858567
490.0,-0.23498727
520.0,-0.3362484
522.0,-0.3638836
524.0,-0.26047254
526.0,-0.34060946
528.0,-0.19918546
530.0,-0.27702448
532.0,-0.28184754
534.0,-0.22153449
536.0,-0.23831126
