,precision,recall,f1-score,support
0.0,0.2682926829268293,0.36666666666666664,0.30985915492957744,30.0
1.0,0.189873417721519,0.5555555555555556,0.2830188679245283,27.0
2.0,0.45454545454545453,0.19230769230769232,0.2702702702702703,26.0
3.0,0.32142857142857145,0.3,0.3103448275862069,30.0
4.0,0.35714285714285715,0.3448275862068966,0.3508771929824561,29.0
5.0,0.3333333333333333,0.11428571428571428,0.1702127659574468,35.0
6.0,0.16666666666666666,0.02564102564102564,0.044444444444444446,39.0
7.0,0.2,0.10344827586206896,0.13636363636363635,29.0
8.0,0.17647058823529413,0.21428571428571427,0.1935483870967742,28.0
9.0,0.21739130434782608,0.37037037037037035,0.273972602739726,27.0
accuracy,,,,0.24666666666666667
macro avg,0.2685144876348352,0.2587388601181705,0.23429121502950673,300.0
weighted avg,0.26590317646371303,0.24666666666666667,0.2263734508067525,300.0
