,precision,recall,f1-score,support
0.0,0.2571428571428571,0.6,0.36,30.0
1.0,0.17307692307692307,0.3333333333333333,0.22784810126582278,27.0
2.0,0.3333333333333333,0.07692307692307693,0.125,26.0
3.0,0.0,0.0,0.0,30.0
4.0,0.21212121212121213,0.2413793103448276,0.22580645161290322,29.0
5.0,0.3333333333333333,0.02857142857142857,0.05263157894736842,35.0
6.0,0.2,0.02564102564102564,0.045454545454545456,39.0
7.0,0.4117647058823529,0.2413793103448276,0.30434782608695654,29.0
8.0,0.4,0.14285714285714285,0.21052631578947367,28.0
9.0,0.2403846153846154,0.9259259259259259,0.3816793893129771,27.0
accuracy,,,,0.24666666666666667
macro avg,0.2561156980274627,0.26160105539415884,0.19332942084700472,300.0
weighted avg,0.25434590736061324,0.24666666666666667,0.18463761892304653,300.0
