,precision,recall,f1-score,support
0,0.43157894736842106,0.5222929936305732,0.47262247838616717,157.0
1,0.39552238805970147,0.35570469798657717,0.3745583038869258,149.0
2,0.3486238532110092,0.24203821656050956,0.2857142857142857,157.0
3,0.47953216374269003,0.5734265734265734,0.5222929936305732,143.0
4,0.6918238993710691,0.7432432432432432,0.7166123778501629,148.0
5,0.64,0.7314285714285714,0.6826666666666666,175.0
6,0.45528455284552843,0.3393939393939394,0.3888888888888889,165.0
7,0.4782608695652174,0.4748201438848921,0.47653429602888087,139.0
8,0.3288590604026846,0.4152542372881356,0.36704119850187267,118.0
9,0.4330708661417323,0.3691275167785235,0.39855072463768115,149.0
accuracy,,,,0.47933333333333333
macro avg,0.4682556600708054,0.47667301336215395,0.46854822141921043,1500.0
weighted avg,0.4728805682038008,0.47933333333333333,0.47212073941966826,1500.0
