,precision,recall,f1-score,support
0,0.4979757085020243,0.82,0.6196473551637279,150.0
1,0.5555555555555556,0.5161290322580645,0.5351170568561873,155.0
2,0.1111111111111111,0.057692307692307696,0.0759493670886076,156.0
3,0.5909090909090909,0.4140127388535032,0.4868913857677903,157.0
4,0.6120689655172413,0.4797297297297297,0.5378787878787878,148.0
5,0.8095238095238095,0.46258503401360546,0.5887445887445888,147.0
6,0.29310344827586204,0.35172413793103446,0.31974921630094044,145.0
7,0.3380952380952381,0.47019867549668876,0.39335180055401664,151.0
8,0.28421052631578947,0.17880794701986755,0.21951219512195122,151.0
9,0.37656903765690375,0.6428571428571429,0.47493403693931396,140.0
accuracy,,,,0.43666666666666665
macro avg,0.4469122491462626,0.43937367458519433,0.42517757904159126,1500.0
weighted avg,0.4464583803913725,0.43666666666666665,0.42381911730157384,1500.0
