,precision,recall,f1-score,support
0,0.319672131147541,0.4968152866242038,0.3890274314214464,157.0
1,0.29577464788732394,0.28187919463087246,0.28865979381443296,149.0
2,0.3384615384615385,0.2802547770700637,0.30662020905923343,157.0
3,0.3805970149253731,0.35664335664335667,0.3682310469314079,143.0
4,0.5424836601307189,0.5608108108108109,0.5514950166112957,148.0
5,0.5958904109589042,0.49714285714285716,0.5420560747663551,175.0
6,0.48,0.36363636363636365,0.41379310344827586,165.0
7,0.29927007299270075,0.2949640287769784,0.2971014492753623,139.0
8,0.32142857142857145,0.3050847457627119,0.3130434782608696,118.0
9,0.3785310734463277,0.44966442953020136,0.4110429447852761,149.0
accuracy,,,,0.39266666666666666
macro avg,0.3952109121379,0.388689585062842,0.38810705483739555,1500.0
weighted avg,0.4010129512889196,0.39266666666666666,0.3927483978757481,1500.0
