,precision,recall,f1-score,support
0,0.16666666666666666,0.1337579617834395,0.14840989399293286,157.0
1,0.061224489795918366,0.020134228187919462,0.0303030303030303,149.0
2,0.16666666666666666,0.19745222929936307,0.18075801749271136,157.0
3,0.12903225806451613,0.1958041958041958,0.15555555555555553,143.0
4,0.2916666666666667,0.5675675675675675,0.38532110091743116,148.0
5,0.14556962025316456,0.26285714285714284,0.18737270875763748,175.0
6,0.11688311688311688,0.05454545454545454,0.07438016528925619,165.0
7,0.09836065573770492,0.04316546762589928,0.06,139.0
8,0.10810810810810811,0.1016949152542373,0.10480349344978167,118.0
9,0.10144927536231885,0.04697986577181208,0.06422018348623854,149.0
accuracy,,,,0.16466666666666666
macro avg,0.13856275242048477,0.16239590286970315,0.13911241492445753,1500.0
weighted avg,0.13958619309741266,0.16466666666666666,0.140536701246973,1500.0
