,precision,recall,f1-score,support
0,0.3159340659340659,0.512249443207127,0.39082412914188613,449.0
1,0.3179916317991632,0.2962962962962963,0.30676084762865796,513.0
2,0.3242630385487528,0.2848605577689243,0.303287380699894,502.0
3,0.3856812933025404,0.3193116634799235,0.34937238493723843,523.0
4,0.5136363636363637,0.4956140350877193,0.5044642857142857,456.0
5,0.5372093023255814,0.4714285714285714,0.5021739130434782,490.0
6,0.3424657534246575,0.37154989384288745,0.3564154786150712,471.0
7,0.3459915611814346,0.2918149466192171,0.31660231660231664,562.0
8,0.35294117647058826,0.30120481927710846,0.3250270855904659,498.0
9,0.3609375,0.43097014925373134,0.39285714285714285,536.0
accuracy,,,,0.3738
macro avg,0.37970516866231474,0.3775300376261506,0.37477849648304373,5000.0
weighted avg,0.37838040751062374,0.3738,0.37243168249648606,5000.0
