,precision,recall,f1-score,support
0,0.1583710407239819,0.155902004454343,0.15712682379349044,449.0
1,0.023076923076923078,0.005847953216374269,0.009331259720062208,513.0
2,0.22290076335877862,0.2908366533864542,0.25237683664649957,502.0
3,0.17872968980797638,0.23135755258126195,0.20166666666666666,523.0
4,0.27741935483870966,0.5657894736842105,0.3722943722943723,456.0
5,0.09861932938856016,0.20408163265306123,0.13297872340425532,490.0
6,0.11278195488721804,0.06369426751592357,0.0814111261872456,471.0
7,0.17209302325581396,0.06583629893238434,0.09523809523809525,562.0
8,0.1461187214611872,0.1285140562248996,0.13675213675213674,498.0
9,0.1888412017167382,0.08208955223880597,0.11443433029908974,536.0
accuracy,,,,0.1746
macro avg,0.1578952002515887,0.17939494448877186,0.1553610371001914,5000.0
weighted avg,0.1573936308471088,0.1746,0.15274706842361518,5000.0
