,precision,recall,f1-score,support
0,0.0,0.0,0.0,153.0
1,0.16666666666666666,0.043859649122807015,0.06944444444444445,114.0
2,0.27722772277227725,0.23931623931623933,0.2568807339449541,117.0
3,0.0,0.0,0.0,94.0
4,0.30578512396694213,0.42045454545454547,0.35406698564593303,88.0
5,0.17834394904458598,0.45901639344262296,0.2568807339449541,61.0
6,0.21666666666666667,0.22807017543859648,0.2222222222222222,57.0
7,0.23076923076923078,0.4166666666666667,0.297029702970297,36.0
8,0.023255813953488372,0.047619047619047616,0.03125,21.0
9,0.024539877300613498,0.6666666666666666,0.047337278106508875,6.0
accuracy,,,,0.1753681392235609
macro avg,0.14232550511404712,0.25216693837271925,0.1535112101279314,747.0
weighted avg,0.147947816639473,0.1753681392235609,0.1460499888727537,747.0
