,precision,recall,f1-score,support
0,0.23529411764705882,0.009259259259259259,0.017817371937639197,432.0
1,0.13761467889908258,0.033860045146726865,0.054347826086956534,443.0
2,0.22337662337662337,0.2182741116751269,0.220795892169448,394.0
3,0.375,0.017595307917888565,0.033613445378151266,341.0
4,0.28421052631578947,0.43548387096774194,0.34394904458598724,248.0
5,0.1079429735234216,0.26903553299492383,0.15406976744186046,197.0
6,0.16766467065868262,0.16470588235294117,0.1661721068249258,170.0
7,0.23790322580645162,0.4068965517241379,0.3002544529262086,145.0
8,0.03592814371257485,0.08450704225352113,0.05042016806722689,71.0
9,0.016359918200409,0.2857142857142857,0.030947775628626693,28.0
accuracy,,,,0.15107330903199676
macro avg,0.1821294878140094,0.19253318900065533,0.13723878510470308,2469.0
weighted avg,0.2171942750764513,0.15107330903199676,0.13046277389654826,2469.0
