,precision,recall,f1-score,support
0,0.3157894736842105,0.6363636363636364,0.4221105527638191,132.0
1,0.2926829268292683,0.3310344827586207,0.3106796116504854,145.0
2,0.4330708661417323,0.3525641025641026,0.3886925795053004,156.0
3,0.48201438848920863,0.4557823129251701,0.46853146853146854,147.0
4,0.2894736842105263,0.0728476821192053,0.11640211640211641,151.0
5,0.4270833333333333,0.5503355704697986,0.48093841642228735,149.0
6,0.41496598639455784,0.3674698795180723,0.38977635782747605,166.0
7,0.3108108108108108,0.15436241610738255,0.2062780269058296,149.0
8,0.44155844155844154,0.425,0.4331210191082802,160.0
9,0.5376884422110553,0.7379310344827587,0.622093023255814,145.0
accuracy,,,,0.404
macro avg,0.3945138353663144,0.40836911173087465,0.3838623172372877,1500.0
weighted avg,0.3957957916315339,0.404,0.38297000092832345,1500.0
