,precision,recall,f1-score,support
0,0.2222222222222222,0.41379310344827586,0.2891566265060241,145.0
1,0.16304347826086957,0.18072289156626506,0.17142857142857143,166.0
2,0.21551724137931033,0.17006802721088435,0.19011406844106463,147.0
3,0.11458333333333333,0.08661417322834646,0.09865470852017938,127.0
4,0.28524590163934427,0.58,0.3824175824175824,150.0
5,0.2288135593220339,0.1836734693877551,0.20377358490566036,147.0
6,0.375,0.0736196319018405,0.12307692307692307,163.0
7,0.32098765432098764,0.15757575757575756,0.2113821138211382,165.0
8,0.25,0.13194444444444445,0.17272727272727273,144.0
9,0.2702702702702703,0.410958904109589,0.32608695652173914,146.0
accuracy,,,,0.238
macro avg,0.24456836607483715,0.23889704028731584,0.21688184083661555,1500.0
weighted avg,0.24766030554552104,0.238,0.21706608950274167,1500.0
