,precision,recall,f1-score,support
0,0.14285714285714285,0.08275862068965517,0.10480349344978165,145.0
1,0.2073732718894009,0.2710843373493976,0.23498694516971277,166.0
2,0.3076923076923077,0.05442176870748299,0.09248554913294797,147.0
3,0.029850746268656716,0.015748031496062992,0.020618556701030927,127.0
4,0.24299065420560748,0.6933333333333334,0.3598615916955017,150.0
5,0.19298245614035087,0.14965986394557823,0.1685823754789272,147.0
6,0.125,0.04294478527607362,0.0639269406392694,163.0
7,0.30303030303030304,0.06060606060606061,0.10101010101010101,165.0
8,0.20689655172413793,0.041666666666666664,0.06936416184971099,144.0
9,0.1591928251121076,0.4863013698630137,0.23986486486486486,146.0
accuracy,,,,0.19133333333333333
macro avg,0.1917866258920015,0.18985248379333247,0.14555045799918484,1500.0
weighted avg,0.19492489196862076,0.19133333333333333,0.14751639159279245,1500.0
