,precision,recall,f1-score,support
0,0.24552429667519182,0.6442953020134228,0.3555555555555555,149.0
1,0.3383458646616541,0.2830188679245283,0.30821917808219174,159.0
2,0.10126582278481013,0.06201550387596899,0.07692307692307693,129.0
3,0.2716049382716049,0.14473684210526316,0.18884120171673818,152.0
4,0.19626168224299065,0.13043478260869565,0.15671641791044774,161.0
5,0.16744186046511628,0.2589928057553957,0.2033898305084746,139.0
6,0.15891472868217055,0.2887323943661972,0.20500000000000002,142.0
7,0.4473684210526316,0.3269230769230769,0.37777777777777777,156.0
8,0.5,0.10294117647058823,0.17073170731707318,136.0
9,0.3617021276595745,0.192090395480226,0.2509225092250923,177.0
accuracy,,,,0.24533333333333332
macro avg,0.2788429742495745,0.2434181147523363,0.22940772550164282,1500.0
weighted avg,0.28265103042728473,0.24533333333333332,0.2331934840416161,1500.0
