,precision,recall,f1-score,support
0,0.0,0.0,0.0,6.0
1,0.2,0.5333333333333333,0.2909090909090909,15.0
2,0.5185185185185185,0.3888888888888889,0.4444444444444444,36.0
3,0.46296296296296297,0.5102040816326531,0.48543689320388356,49.0
4,0.6376811594202898,0.6470588235294118,0.6423357664233575,68.0
5,0.6666666666666666,0.651685393258427,0.6590909090909091,89.0
6,0.5714285714285714,0.5309734513274337,0.5504587155963302,113.0
7,0.45614035087719296,0.4482758620689655,0.45217391304347826,116.0
8,0.3880597014925373,0.3880597014925373,0.3880597014925373,134.0
9,0.543859649122807,0.4881889763779528,0.5145228215767635,127.0
accuracy,,,,0.49800796812749004
macro avg,0.4445317580489546,0.4586668511909604,0.44274322557807944,753.0
weighted avg,0.512086837632861,0.49800796812749004,0.5026379472406157,753.0
