,precision,recall,f1-score,support
0,0.24,0.35294117647058826,0.28571428571428564,17.0
1,0.29577464788732394,0.6,0.39622641509433965,70.0
2,0.44715447154471544,0.5092592592592593,0.4761904761904762,108.0
3,0.5282051282051282,0.5659340659340659,0.5464190981432361,182.0
4,0.5201793721973094,0.5576923076923077,0.5382830626450116,208.0
5,0.6048387096774194,0.5119453924914675,0.55452865064695,293.0
6,0.46060606060606063,0.5049833887043189,0.48177496038034867,301.0
7,0.4282238442822384,0.42206235011990406,0.4251207729468599,417.0
8,0.44545454545454544,0.45901639344262296,0.4521337946943484,427.0
9,0.6065989847715736,0.4704724409448819,0.5299334811529933,508.0
accuracy,,,,0.4879494271039115
macro avg,0.4577035764626315,0.49543067750594155,0.46863249976088495,2531.0
weighted avg,0.5018563553717769,0.4879494271039115,0.49089947650242544,2531.0
