,precision,recall,f1-score,support
0,0.2,0.16560509554140126,0.18118466898954702,157.0
1,0.0625,0.020134228187919462,0.03045685279187817,149.0
2,0.18478260869565216,0.21656050955414013,0.1994134897360704,157.0
3,0.13023255813953488,0.1958041958041958,0.1564245810055866,143.0
4,0.28620689655172415,0.5608108108108109,0.3789954337899544,148.0
5,0.14696485623003194,0.26285714285714284,0.18852459016393444,175.0
6,0.12941176470588237,0.06666666666666667,0.088,165.0
7,0.09090909090909091,0.04316546762589928,0.058536585365853655,139.0
8,0.12,0.1016949152542373,0.11009174311926606,118.0
9,0.13043478260869565,0.06040268456375839,0.08256880733944953,149.0
accuracy,,,,0.172
macro avg,0.1481442557840612,0.1693701716866172,0.14741967523015403,1500.0
weighted avg,0.14933878888707436,0.172,0.14912932526454498,1500.0
