,precision,recall,f1-score,support
0,0.16993464052287582,0.17371937639198218,0.1718061674008811,449.0
1,0.022058823529411766,0.005847953216374269,0.009244992295839752,513.0
2,0.22658610271903323,0.29880478087649404,0.2577319587628866,502.0
3,0.17851739788199697,0.22562141491395793,0.19932432432432434,523.0
4,0.27450980392156865,0.5526315789473685,0.36681222707423583,456.0
5,0.09901960784313725,0.20612244897959184,0.13377483443708607,490.0
6,0.11827956989247312,0.07006369426751592,0.08800000000000001,471.0
7,0.17937219730941703,0.0711743772241993,0.10191082802547771,562.0
8,0.15892420537897312,0.13052208835341367,0.14332965821389196,498.0
9,0.18454935622317598,0.08022388059701492,0.11183355006501951,536.0
accuracy,,,,0.1766
macro avg,0.16117517052220628,0.18147315937679126,0.1583768540599643,5000.0
weighted avg,0.16060065853511385,0.1766,0.1556741195054126,5000.0
