,precision,recall,f1-score,support
0,0.1790341578327444,0.31211498973305957,0.2275449101796407,487.0
1,0.22413793103448276,0.2771317829457364,0.24783362218370883,516.0
2,0.07086614173228346,0.07258064516129033,0.07171314741035857,496.0
3,0.18384401114206128,0.1252371916508539,0.1489841986455982,527.0
4,0.0847457627118644,0.00922509225092251,0.016638935108153077,542.0
5,0.11538461538461539,0.012295081967213115,0.022222222222222223,488.0
6,0.16459977452085683,0.2891089108910891,0.20977011494252873,505.0
7,0.105,0.13876651982378854,0.11954459203036052,454.0
8,0.23821989528795812,0.1780821917808219,0.2038073908174692,511.0
9,0.16066066066066065,0.22573839662447256,0.18771929824561404,474.0
accuracy,,,,0.163
macro avg,0.15264929503075275,0.1640280802829248,0.1455778431785654,5000.0
weighted avg,0.15315930178505477,0.163,0.14519506765660375,5000.0
