,precision,recall,f1-score,support
0,0.3047945205479452,0.6054421768707483,0.4054669703872437,147.0
1,0.625,0.21739130434782608,0.3225806451612903,161.0
2,0.12941176470588237,0.22,0.16296296296296298,150.0
3,0.3493150684931507,0.36428571428571427,0.35664335664335667,140.0
4,0.21428571428571427,0.32,0.25668449197860965,150.0
5,0.19523809523809524,0.24404761904761904,0.21693121693121692,168.0
6,0.4375,0.11382113821138211,0.18064516129032257,123.0
7,0.4794520547945205,0.23178807947019867,0.3125,151.0
8,0.559322033898305,0.19298245614035087,0.28695652173913044,171.0
9,0.35294117647058826,0.38848920863309355,0.3698630136986301,139.0
accuracy,,,,0.2886666666666667
macro avg,0.36472604284342014,0.28982476970069326,0.2871234340792764,1500.0
weighted avg,0.36640078503888207,0.2886666666666667,0.2871654267292356,1500.0
