,precision,recall,f1-score,support
0,0.3333333333333333,0.36666666666666664,0.3492063492063492,150.0
1,0.257396449704142,0.5612903225806452,0.35294117647058826,155.0
2,0.25806451612903225,0.20512820512820512,0.22857142857142856,156.0
3,0.11347517730496454,0.10191082802547771,0.10738255033557047,157.0
4,0.1125,0.060810810810810814,0.07894736842105263,148.0
5,0.23232323232323232,0.1564625850340136,0.18699186991869918,147.0
6,0.35555555555555557,0.4413793103448276,0.39384615384615385,145.0
7,0.3062200956937799,0.423841059602649,0.35555555555555557,151.0
8,0.1590909090909091,0.09271523178807947,0.11715481171548117,151.0
9,0.2236842105263158,0.12142857142857143,0.1574074074074074,140.0
accuracy,,,,0.254
macro avg,0.2351643479661265,0.25316335914099464,0.23280046714482863,1500.0
weighted avg,0.23460329264026225,0.254,0.23286603213382764,1500.0
