,precision,recall,f1-score,support
0,0.1623931623931624,0.12666666666666668,0.14232209737827714,150.0
1,0.29411764705882354,0.03225806451612903,0.05813953488372093,155.0
2,0.2556053811659193,0.36538461538461536,0.3007915567282322,156.0
3,0.24293785310734464,0.5477707006369427,0.33659491193737767,157.0
4,0.14864864864864866,0.07432432432432433,0.0990990990990991,148.0
5,0.22941176470588234,0.2653061224489796,0.24605678233438485,147.0
6,0.21316614420062696,0.4689655172413793,0.29310344827586204,145.0
7,0.29,0.19205298013245034,0.23107569721115537,151.0
8,0.24210526315789474,0.152317880794702,0.18699186991869918,151.0
9,0.12903225806451613,0.02857142857142857,0.04678362573099415,140.0
accuracy,,,,0.22733333333333333
macro avg,0.22074181225028186,0.22536183007176178,0.19409586234978027,1500.0
weighted avg,0.2220052821597057,0.22733333333333333,0.1954291669641729,1500.0
