,precision,recall,f1-score,support
0,0.22580645161290322,0.5675675675675675,0.32307692307692304,37.0
1,0.3870967741935484,0.17391304347826086,0.24,69.0
2,0.4189189189189189,0.4246575342465753,0.42176870748299317,73.0
3,0.2222222222222222,0.06153846153846154,0.0963855421686747,65.0
4,0.32786885245901637,0.7407407407407407,0.45454545454545453,54.0
5,0.39622641509433965,0.3387096774193548,0.36521739130434777,62.0
6,0.25,0.16071428571428573,0.1956521739130435,56.0
7,0.2777777777777778,0.16129032258064516,0.20408163265306123,62.0
8,0.34285714285714286,0.2033898305084746,0.25531914893617025,59.0
9,0.4215686274509804,0.6825396825396826,0.5212121212121211,63.0
accuracy,,,,0.3383333333333333
macro avg,0.32703431825868495,0.3515061146334048,0.3077259095292789,600.0
weighted avg,0.33395102433899854,0.3383333333333333,0.3071112187243509,600.0
