,precision,recall,f1-score,support
0,0.25,0.28846153846153844,0.26785714285714285,52.0
1,0.3592233009708738,0.5285714285714286,0.4277456647398844,70.0
2,0.30434782608695654,0.09722222222222222,0.1473684210526316,72.0
3,0.30303030303030304,0.35714285714285715,0.32786885245901637,56.0
4,0.4153846153846154,0.4153846153846154,0.4153846153846154,65.0
5,0.36363636363636365,0.17647058823529413,0.23762376237623764,68.0
6,0.3333333333333333,0.6595744680851063,0.4428571428571429,47.0
7,0.37142857142857144,0.19696969696969696,0.2574257425742574,66.0
8,0.14285714285714285,0.0784313725490196,0.10126582278481011,51.0
9,0.2765957446808511,0.49056603773584906,0.35374149659863946,53.0
accuracy,,,,0.32
macro avg,0.3119837201409011,0.32887948253576277,0.29791386636843786,600.0
weighted avg,0.3181364756299058,0.32,0.29619601143563634,600.0
