,precision,recall,f1-score,support
0,0.5401459854014599,0.5362318840579711,0.5381818181818182,138.0
1,0.22018348623853212,0.17142857142857143,0.1927710843373494,140.0
2,0.25136612021857924,0.3026315789473684,0.2746268656716418,152.0
3,0.2601626016260163,0.20125786163522014,0.22695035460992907,159.0
4,0.20714285714285716,0.20714285714285716,0.20714285714285716,140.0
5,0.2375,0.2638888888888889,0.25,144.0
6,0.4144736842105263,0.44366197183098594,0.42857142857142855,142.0
7,0.4517766497461929,0.5297619047619048,0.4876712328767123,168.0
8,0.3728813559322034,0.2634730538922156,0.3087719298245614,167.0
9,0.48066298342541436,0.58,0.525679758308157,150.0
accuracy,,,,0.3506666666666667
macro avg,0.34362957239417813,0.34994785725859834,0.3440367329524455,1500.0
weighted avg,0.34484247484020125,0.3506666666666667,0.34485881245916267,1500.0
