,precision,recall,f1-score,support
0,0.5322283609576427,0.643652561247216,0.5826612903225806,449.0
1,0.3086816720257235,0.1871345029239766,0.23300970873786409,513.0
2,0.26194144838212635,0.3386454183266932,0.2953953084274544,502.0
3,0.27610208816705334,0.22753346080305928,0.24947589098532494,523.0
4,0.2331002331002331,0.21929824561403508,0.22598870056497175,456.0
5,0.2616632860040568,0.26326530612244897,0.2624618514750763,490.0
6,0.4411764705882353,0.47770700636942676,0.45871559633027525,471.0
7,0.48258706467661694,0.5177935943060499,0.4995708154506438,562.0
8,0.34963325183374083,0.28714859437751006,0.3153252480705623,498.0
9,0.5080385852090032,0.5895522388059702,0.5457685664939551,536.0
accuracy,,,,0.3756
macro avg,0.3655152460944432,0.37517309288963857,0.3668372976858708,5000.0
weighted avg,0.3666326073069228,0.3756,0.36758963195368116,5000.0
