,precision,recall,f1-score,support
0,0.4,0.02666666666666667,0.05,150.0
1,0.27671232876712326,0.6516129032258065,0.38846153846153847,155.0
2,0.26356589147286824,0.21794871794871795,0.23859649122807017,156.0
3,0.3474576271186441,0.2611464968152866,0.29818181818181816,157.0
4,0.6120689655172413,0.4797297297297297,0.5378787878787878,148.0
5,0.525,0.5714285714285714,0.5472312703583062,147.0
6,0.532258064516129,0.6827586206896552,0.5981873111782477,145.0
7,0.6333333333333333,0.37748344370860926,0.4730290456431535,151.0
8,0.5606060606060606,0.4900662251655629,0.5229681978798587,151.0
9,0.5515463917525774,0.7642857142857142,0.6407185628742516,140.0
accuracy,,,,0.448
macro avg,0.47025486630839775,0.45231270896643194,0.42952530236840325,1500.0
weighted avg,0.46733167137859893,0.448,0.42575302439440693,1500.0
