,precision,recall,f1-score,support
0,0.16113744075829384,0.23129251700680273,0.18994413407821228,147.0
1,0.22624434389140272,0.3105590062111801,0.2617801047120419,161.0
2,0.15428571428571428,0.18,0.16615384615384615,150.0
3,0.18478260869565216,0.24285714285714285,0.20987654320987653,140.0
4,0.10759493670886076,0.11333333333333333,0.11038961038961038,150.0
5,0.06779661016949153,0.023809523809523808,0.03524229074889868,168.0
6,0.0,0.0,0.0,123.0
7,0.16393442622950818,0.13245033112582782,0.14652014652014653,151.0
8,0.19457013574660634,0.25146198830409355,0.2193877551020408,171.0
9,0.1323529411764706,0.12949640287769784,0.13090909090909092,139.0
accuracy,,,,0.16466666666666666
macro avg,0.13926991576620004,0.1615260245525602,0.1470203521823764,1500.0
weighted avg,0.14205112461992797,0.16466666666666666,0.14979302388547125,1500.0
