,precision,recall,f1-score,support
0,0.11290322580645161,0.1437371663244353,0.12646793134598014,487.0
1,0.3623445825932504,0.3953488372093023,0.37812789620018533,516.0
2,0.13075780089153047,0.1774193548387097,0.15055603079555174,496.0
3,0.18471337579617833,0.27514231499051234,0.22103658536585366,527.0
4,0.12658227848101267,0.07380073800738007,0.09324009324009325,542.0
5,0.1038961038961039,0.04918032786885246,0.06675938803894298,488.0
6,0.02702702702702703,0.0019801980198019802,0.0036900369003690036,505.0
7,0.14342629482071714,0.07929515418502203,0.10212765957446808,454.0
8,0.12064343163538874,0.08806262230919765,0.10180995475113122,511.0
9,0.17202432667245873,0.4177215189873418,0.24369230769230768,474.0
accuracy,,,,0.1702
macro avg,0.14843184476201193,0.17016882327405553,0.14875078839048833,5000.0
weighted avg,0.149082979683267,0.1702,0.1493490254943596,5000.0
