,precision,recall,f1-score,support
0,0.39095744680851063,0.98,0.55893536121673,150.0
1,0.04878048780487805,0.012903225806451613,0.02040816326530612,155.0
2,0.22794117647058823,0.1987179487179487,0.21232876712328766,156.0
3,0.49074074074074076,0.6751592356687898,0.5683646112600537,157.0
4,0.4696969696969697,0.20945945945945946,0.2897196261682243,148.0
5,0.4418604651162791,0.5170068027210885,0.47648902821316613,147.0
6,0.5135135135135135,0.1310344827586207,0.2087912087912088,145.0
7,0.4883720930232558,0.1390728476821192,0.21649484536082475,151.0
8,0.24468085106382978,0.152317880794702,0.18775510204081633,151.0
9,0.3542319749216301,0.8071428571428572,0.4923747276688453,140.0
accuracy,,,,0.37933333333333336
macro avg,0.3670775719160196,0.3822814740752037,0.3231661441108463,1500.0
weighted avg,0.36534752189974856,0.37933333333333336,0.3216876147692916,1500.0
