,precision,recall,f1-score,support
0,0.19402985074626866,0.2669404517453799,0.2247191011235955,487.0
1,0.23994452149791956,0.33527131782945735,0.27970897332255457,516.0
2,0.12965964343598055,0.16129032258064516,0.14375561545372867,496.0
3,0.2,0.2504743833017078,0.22240943555181128,527.0
4,0.10927835051546392,0.09778597785977859,0.10321324245374879,542.0
5,0.07784431137724551,0.02663934426229508,0.03969465648854962,488.0
6,0.12962962962962962,0.013861386138613862,0.025044722719141325,505.0
7,0.13383838383838384,0.11674008810572688,0.12470588235294118,454.0
8,0.1479944674965422,0.20939334637964774,0.17341977309562398,511.0
9,0.1341222879684418,0.14345991561181434,0.13863404689092762,474.0
accuracy,,,,0.1632
macro avg,0.14963414465058755,0.16218565338150664,0.14753054494526224,5000.0
weighted avg,0.15013134201908934,0.1632,0.1482374515796785,5000.0
