,precision,recall,f1-score,support
0,0.2542372881355932,0.5172413793103449,0.3409090909090909,58.0
1,0.2872340425531915,0.24107142857142858,0.2621359223300971,112.0
2,0.41836734693877553,0.22905027932960895,0.296028880866426,179.0
3,0.32407407407407407,0.25735294117647056,0.28688524590163933,136.0
4,0.28440366972477066,0.2767857142857143,0.28054298642533937,112.0
5,0.22340425531914893,0.2,0.21105527638190955,105.0
6,0.16346153846153846,0.27419354838709675,0.20481927710843373,62.0
7,0.13432835820895522,0.32142857142857145,0.18947368421052632,28.0
accuracy,,,,0.26641414141414144
macro avg,0.26118882167700597,0.2896404828111544,0.2589812955166828,792.0
weighted avg,0.2968235756137473,0.26641414141414144,0.2685898870325347,792.0
