,precision,recall,f1-score,support
-9,0.0,0.0,0.0,6.0
-8,0.0,0.0,0.0,19.0
-7,0.009259259259259259,0.022222222222222223,0.0130718954248366,45.0
-6,0.0,0.0,0.0,45.0
-5,0.0,0.0,0.0,83.0
-4,0.03896103896103896,0.061855670103092786,0.04780876494023904,97.0
-3,0.08421052631578947,0.07142857142857142,0.07729468599033816,112.0
-2,0.0782608695652174,0.075,0.07659574468085106,120.0
-1,0.047244094488188976,0.15,0.0718562874251497,120.0
0,0.0,0.0,0.0,1543.0
1,0.031055900621118012,0.041666666666666664,0.03558718861209965,120.0
2,0.05776173285198556,0.14035087719298245,0.08184143222506395,114.0
3,0.07142857142857142,0.01020408163265306,0.017857142857142856,98.0
4,0.0,0.0,0.0,78.0
5,0.0,0.0,0.0,61.0
6,0.0,0.0,0.0,56.0
7,0.019736842105263157,0.08571428571428572,0.0320855614973262,35.0
8,0.008534850640113799,0.2608695652173913,0.016528925619834715,23.0
9,0.0,0.0,0.0,5.0
accuracy,,,,0.026258992805755395
macro avg,0.02349756243350242,0.048384838956729764,0.02476461206699379,2780.0
weighted avg,0.016865718970407187,0.026258992805755395,0.017464201448104556,2780.0
