,precision,recall,f1-score,support
-9,0.0034482758620689655,0.10256410256410256,0.006672226855713094,39.0
-8,0.009535160905840286,0.08421052631578947,0.017130620985010704,95.0
-7,0.017673048600883652,0.07792207792207792,0.028811524609843937,154.0
-6,0.024193548387096774,0.04081632653061224,0.030379746835443033,147.0
-5,0.03225806451612903,0.011235955056179775,0.016666666666666666,267.0
-4,0.034482758620689655,0.002631578947368421,0.004889975550122249,380.0
-3,0.0340632603406326,0.039660056657223795,0.03664921465968587,353.0
-2,0.049009384775808136,0.11691542288557213,0.06906686260102865,402.0
-1,0.03773584905660377,0.004830917874396135,0.008565310492505354,414.0
0,0.0,0.0,0.0,4691.0
1,0.07395993836671803,0.10714285714285714,0.08751139471285324,448.0
2,0.054009819967266774,0.07674418604651163,0.06340057636887608,430.0
3,0.049079754601226995,0.09169054441260745,0.06393606393606394,349.0
4,0.041884816753926704,0.022857142857142857,0.029574861367837338,350.0
5,0.04666666666666667,0.025735294117647058,0.03317535545023696,272.0
6,0.0299625468164794,0.0963855421686747,0.04571428571428572,166.0
7,0.0,0.0,0.0,144.0
8,0.0058309037900874635,0.04081632653061224,0.01020408163265306,98.0
9,0.011372867587327376,0.3111111111111111,0.021943573667711602,45.0
accuracy,,,,0.028018173950670706
macro avg,0.02921929819028696,0.06596157732318352,0.03022591274244934,9244.0
weighted avg,0.019826983951209395,0.028018173950670706,0.01937242250082091,9244.0
